Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,3e-05,17.389198,[14  1] ; [ 3 13],[8.22580645 6.77419355] ; [8.77419355 7.22580645],1
p11,1,0.000649,11.629844,[12  3] ; [ 3 13],[7.25806452 7.74193548] ; [7.74193548 8.25806452],1
p10,1,0.002275,9.313568,[11  4] ; [ 3 13],[6.77419355 8.22580645] ; [7.22580645 8.77419355],0
n6,1,0.009545,6.717953,[11  3] ; [ 5 11],[7.46666667 6.53333333] ; [8.53333333 7.46666667],0
p8,1,0.015079,5.907222,[8 7] ; [ 2 14],[ 4.83870968 10.16129032] ; [ 5.16129032 10.83870968],0
p7,1,0.018455,5.552467,[9 6] ; [ 3 13],[5.80645161 9.19354839] ; [6.19354839 9.80645161],0
p4,1,0.044311,4.044678,[8 7] ; [ 3 13],[5.32258065 9.67741935] ; [ 5.67741935 10.32258065],0
a5,1,0.081054,3.043636,[12  3] ; [8 8],[9.67741935 5.32258065] ; [10.32258065  5.67741935],0
r4,1,0.10439,2.637153,[10  5] ; [ 6 10],[7.74193548 7.25806452] ; [8.25806452 7.74193548],0
r3,1,0.124362,2.361504,[13  2] ; [10  6],[11.12903226  3.87096774] ; [11.87096774  4.12903226],0
s6,1,0.143235,2.142857,[9 5] ; [ 6 10],[7. 7.] ; [8. 8.],0
n3,1,0.164264,1.934524,[3 1] ; [3 6],[1.84615385 2.15384615] ; [4.15384615 4.84615385],0
v3,1,0.165461,1.92359,[ 1 14] ; [ 4 12],[ 2.41935484 12.58064516] ; [ 2.58064516 13.41935484],0
s8,1,0.165623,1.922123,[ 5 10] ; [ 2 14],[ 3.38709677 11.61290323] ; [ 3.61290323 12.38709677],0
p6,1,0.165623,1.922123,[ 5 10] ; [ 2 14],[ 3.38709677 11.61290323] ; [ 3.61290323 12.38709677],0
p3,1,0.19271,1.69678,[6 9] ; [ 3 13],[ 4.35483871 10.64516129] ; [ 4.64516129 11.35483871],0
v1,1,0.207673,1.587576,[7 8] ; [ 4 12],[5.32258065 9.67741935] ; [ 5.67741935 10.32258065],0
s1,1,0.315905,1.005826,[ 1 14] ; [ 3 13],[ 1.93548387 13.06451613] ; [ 2.06451613 13.93548387],0
d1,1,0.320489,0.986951,[ 4 11] ; [7 9],[5.32258065 9.67741935] ; [ 5.67741935 10.32258065],0
n5,1,0.365592,0.818594,[9 6] ; [7 9],[7.74193548 7.25806452] ; [8.25806452 7.74193548],0
r2,1,0.371949,0.797143,[9 6] ; [12  4],[10.16129032  4.83870968] ; [10.83870968  5.16129032],0
