Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,6.2e-05,16.045781,[20 25] ; [33  5],[28.73493976 16.26506024] ; [24.26506024 13.73493976],1
p5,1,0.012371,6.256859,[ 1 43] ; [ 7 30],[ 4.34567901 39.65432099] ; [ 3.65432099 33.34567901],0
s4,1,0.014868,5.932058,[ 8 37] ; [16 22],[13.01204819 31.98795181] ; [10.98795181 27.01204819],0
s6,1,0.016156,5.785861,[30 15] ; [33  4],[34.57317073 10.42682927] ; [28.42682927  8.57317073],0
r4,1,0.018029,5.593343,[23 22] ; [29  9],[28.19277108 16.80722892] ; [23.80722892 14.19277108],0
p6,1,0.022535,5.203983,[11 34] ; [18 19],[15.91463415 29.08536585] ; [13.08536585 23.91463415],0
b3,1,0.033224,4.534186,[ 4 27] ; [ 9 15],[ 7.32727273 23.67272727] ; [ 5.67272727 18.32727273],0
b2,1,0.033224,4.534186,[ 4 27] ; [ 9 15],[ 7.32727273 23.67272727] ; [ 5.67272727 18.32727273],0
r2,1,0.045194,4.011374,[33 11] ; [34  3],[36.39506173  7.60493827] ; [30.60493827  6.39506173],0
s7,1,0.06502,3.404471,[19 25] ; [23 13],[23.1 20.9] ; [18.9 17.1],0
d3,1,0.082134,3.022156,[23 21] ; [27 11],[26.82926829 17.17073171] ; [23.17073171 14.82926829],0
b5,1,0.085378,2.959424,[33 12] ; [21 17],[29.27710843 15.72289157] ; [24.72289157 13.27710843],0
v4,1,0.134033,2.245163,[37  7] ; [35  2],[39.11111111  4.88888889] ; [32.88888889  4.11111111],0
d4,1,0.157006,2.002832,[32 13] ; [32  6],[34.69879518 10.30120482] ; [29.30120482  8.69879518],0
a6,1,0.184294,1.762652,[29 16] ; [19 19],[26.02409639 18.97590361] ; [21.97590361 16.02409639],0
a5,1,0.230223,1.439485,[25 20] ; [26 12],[27.65060241 17.34939759] ; [23.34939759 14.65060241],0
n6,1,0.230913,1.435232,[33 12] ; [32  6],[35.24096386  9.75903614] ; [29.75903614  8.24096386],0
n3,1,0.298698,1.08,[8 4] ; [7 8],[6.66666667 5.33333333] ; [8.33333333 6.66666667],0
d5,1,0.301695,1.066687,[29 15] ; [29  9],[31.12195122 12.87804878] ; [26.87804878 11.12195122],0
a7,1,0.320344,0.987539,[23 21] ; [24 14],[25.2195122 18.7804878] ; [21.7804878 16.2195122],0
a1,1,0.335953,0.925813,[ 4 41] ; [ 6 32],[ 5.42168675 39.57831325] ; [ 4.57831325 33.42168675],0
a2,1,0.339487,0.912369,[ 5 40] ; [ 2 36],[ 3.79518072 41.20481928] ; [ 3.20481928 34.79518072],0
p11,1,0.342308,0.901767,[36  9] ; [27 11],[34.15662651 10.84337349] ; [28.84337349  9.15662651],0
p8,1,0.36812,0.81,[18 27] ; [18 18],[20. 25.] ; [16. 20.],0
n4,1,0.394476,0.725099,[29 16] ; [21 17],[27.10843373 17.89156627] ; [22.89156627 15.10843373],0
n5,1,0.410454,0.677485,[30 15] ; [22 16],[28.19277108 16.80722892] ; [23.80722892 14.19277108],0
v1,1,0.434173,0.611635,[19 23] ; [20 17],[20.73417722 21.26582278] ; [18.26582278 18.73417722],0
p7,1,0.439619,0.597277,[27 17] ; [19 17],[25.3 18.7] ; [20.7 15.3],0
s3,1,0.451335,0.567297,[31 14] ; [29  9],[32.53012048 12.46987952] ; [27.46987952 10.53012048],0
p2,1,0.452966,0.563219,[36  9] ; [27 10],[34.57317073 10.42682927] ; [28.42682927  8.57317073],0
a4,1,0.455452,0.557049,[12 33] ; [13 25],[13.55421687 31.44578313] ; [11.44578313 26.55421687],0
u3,1,0.463744,0.536842,[9 9] ; [10  6],[10.05882353  7.94117647] ; [8.94117647 7.05882353],0
d1,1,0.478579,0.502099,[19 26] ; [19 19],[20.60240964 24.39759036] ; [17.39759036 20.60240964],0
u2,1,0.491967,0.472222,[ 8 10] ; [9 7],[9. 9.] ; [8. 8.],0
v2,1,0.495844,0.46382,[18 26] ; [17 18],[19.49367089 24.50632911] ; [15.50632911 19.49367089],0
n1,1,0.500352,0.454189,[3 8] ; [6 9],[3.80769231 7.19230769] ; [5.19230769 9.80769231],0
p1,1,0.503944,0.44662,[ 3 42] ; [ 4 33],[ 3.84146341 41.15853659] ; [ 3.15853659 33.84146341],0
p12,1,0.510407,0.433233,[ 2 43] ; [ 3 35],[ 2.71084337 42.28915663] ; [ 2.28915663 35.71084337],0
b1,1,0.520666,0.412573,[17 28] ; [17 21],[18.43373494 26.56626506] ; [15.56626506 22.43373494],0
