Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.008602,6.903673,[ 3 22] ; [35 52],[ 8.48214286 16.51785714] ; [29.51785714 57.48214286],0
s4,1,0.025504,4.989325,[ 1 24] ; [21 66],[ 4.91071429 20.08928571] ; [17.08928571 69.91071429],0
p9,1,0.052965,3.745011,[21  4] ; [52 30],[17.05607477  7.94392523] ; [55.94392523 26.05607477],0
p6,1,0.053436,3.730242,[ 4 21] ; [ 4 82],[ 1.8018018 23.1981982] ; [ 6.1981982 79.8018018],0
u3,1,0.104897,2.629463,[6 7] ; [27 11],[8.41176471 4.58823529] ; [24.58823529 13.41176471],0
r4,1,0.114403,2.492322,[21  4] ; [59 28],[17.85714286  7.14285714] ; [62.14285714 24.85714286],0
r1,1,0.12785,2.318417,[19  6] ; [51 35],[15.76576577  9.23423423] ; [54.23423423 31.76576577],0
p2,1,0.149081,2.08163,[17  8] ; [45 42],[13.83928571 11.16071429] ; [48.16071429 38.83928571],0
p5,1,0.18027,1.795397,[ 2 23] ; [ 2 84],[ 0.9009009 24.0990991] ; [ 3.0990991 82.9009009],0
s3,1,0.225394,1.469695,[ 7 18] ; [36 51],[ 9.59821429 15.40178571] ; [33.40178571 53.59821429],0
d2,1,0.234187,1.41525,[ 6 19] ; [32 55],[ 8.48214286 16.51785714] ; [29.51785714 57.48214286],0
p4,1,0.237839,1.393359,[ 9 16] ; [21 66],[ 6.69642857 18.30357143] ; [23.30357143 63.69642857],0
a4,1,0.238895,1.387105,[ 5 20] ; [28 59],[ 7.36607143 17.63392857] ; [25.63392857 61.36607143],0
p10,1,0.239387,1.384199,[17  8] ; [46 38],[14.44954128 10.55045872] ; [48.55045872 35.44954128],0
s5,1,0.247186,1.339138,[ 4 21] ; [23 61],[ 6.19266055 18.80733945] ; [20.80733945 63.19266055],0
n3,1,0.292823,1.106598,[2 4] ; [28 22],[3.21428571 2.78571429] ; [26.78571429 23.21428571],0
n6,1,0.311418,1.024653,[13 12] ; [55 32],[15.17857143  9.82142857] ; [52.82142857 34.17857143],0
p12,1,0.347866,0.881227,[ 1 24] ; [ 1 85],[ 0.45045045 24.54954955] ; [ 1.54954955 84.45045045],0
p11,1,0.351026,0.869746,[15 10] ; [43 44],[12.94642857 12.05357143] ; [45.05357143 41.94642857],0
b5,1,0.365431,0.819143,[13 12] ; [54 33],[14.95535714 10.04464286] ; [52.04464286 34.95535714],0
a2,1,0.369022,0.806956,[ 2 23] ; [13 74],[ 3.34821429 21.65178571] ; [11.65178571 75.34821429],0
b2,1,0.374813,0.787645,[6 8] ; [11 26],[4.66666667 9.33333333] ; [12.33333333 24.66666667],0
b3,1,0.374813,0.787645,[6 8] ; [11 26],[4.66666667 9.33333333] ; [12.33333333 24.66666667],0
p3,1,0.376628,0.781681,[ 6 19] ; [14 72],[ 4.5045045 20.4954955] ; [15.4954955 70.5045045],0
a5,1,0.376726,0.781358,[14 11] ; [40 47],[12.05357143 12.94642857] ; [41.94642857 45.05357143],0
s2,1,0.39588,0.720805,[ 7 18] ; [32 54],[ 8.78378378 16.21621622] ; [30.21621622 55.78378378],0
a7,1,0.432832,0.615213,[19  6] ; [59 28],[17.41071429  7.58928571] ; [60.58928571 26.41071429],0
b4,1,0.446246,0.580169,[14 11] ; [56 31],[15.625  9.375] ; [54.375 32.625],0
a6,1,0.455839,0.556093,[17  8] ; [52 35],[15.40178571  9.59821429] ; [53.59821429 33.40178571],0
a3,1,0.461493,0.54227,[12 13] ; [49 38],[13.61607143 11.38392857] ; [47.38392857 39.61607143],0
