Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1.4e-05,18.837017,[56 81] ; [39 12],[69.2287234 67.7712766] ; [25.7712766 25.2287234],1
s2,1,0.000384,12.607602,[43 94] ; [31 21],[53.64021164 83.35978836] ; [20.35978836 31.64021164],1
p3,1,0.001455,10.134871,[42 95] ; [29 23],[51.46560847 85.53439153] ; [19.53439153 32.46560847],0
d4,1,0.002214,9.362984,[84 53] ; [44  8],[92.78306878 44.21693122] ; [35.21693122 16.78306878],0
d5,1,0.002667,9.022367,[76 62] ; [41 11],[84.97894737 53.02105263] ; [32.02105263 19.97894737],0
p5,1,0.003713,8.418996,[  6 129] ; [ 9 43],[ 10.82887701 124.17112299] ; [ 4.17112299 47.82887701],0
d1,1,0.003952,8.30567,[43 95] ; [28 24],[51.56842105 86.43157895] ; [19.43157895 32.56842105],0
p12,1,0.007718,7.097694,[  2 136] ; [ 5 47],[  5.08421053 132.91578947] ; [ 1.91578947 50.08421053],0
r4,1,0.00893,6.836862,[90 48] ; [44  8],[97.32631579 40.67368421] ; [36.67368421 15.32631579],0
s8,1,0.009976,6.639263,[39 99] ; [25 27],[46.48421053 91.51578947] ; [17.51578947 34.48421053],0
s3,1,0.013756,6.069225,[59 77] ; [33 19],[66.55319149 69.44680851] ; [25.44680851 26.55319149],0
a5,1,0.015755,5.830015,[80 58] ; [40 12],[87.15789474 50.84210526] ; [32.84210526 19.15789474],0
r1,1,0.015786,5.826538,[83 55] ; [41 11],[90.06315789 47.93684211] ; [33.93684211 18.06315789],0
v4,1,0.017512,5.644358,[108  27] ; [49  3],[113.34224599  21.65775401] ; [43.65775401  8.34224599],0
v2,1,0.020081,5.404848,[48 82] ; [29 23],[55. 75.] ; [22. 30.],0
b5,1,0.020792,5.344148,[71 67] ; [17 35],[63.91578947 74.08421053] ; [24.08421053 27.91578947],0
v1,1,0.025618,4.981646,[57 80] ; [30 20],[63.73796791 73.26203209] ; [23.26203209 26.73796791],0
p7,1,0.025913,4.961832,[56 79] ; [31 21],[62.80748663 72.19251337] ; [24.19251337 27.80748663],0
n6,1,0.02939,4.744621,[97 40] ; [44  7],[102.75  34.25] ; [38.25 12.75],0
r2,1,0.032259,4.584688,[106  28] ; [48  4],[110.94623656  23.05376344] ; [43.05376344  8.94623656],0
s7,1,0.032554,4.569106,[45 85] ; [26 24],[51.27777778 78.72222222] ; [19.72222222 30.27777778],0
a2,1,0.033861,4.501723,[  8 130] ; [ 8 44],[ 11.62105263 126.37894737] ; [ 4.37894737 47.62105263],0
n2,1,0.040598,4.192712,[34 20] ; [12  1],[37.07462687 16.92537313] ; [8.92537313 4.07462687],0
d2,1,0.04307,4.092661,[54 83] ; [29 23],[60.16402116 76.83597884] ; [22.83597884 29.16402116],0
r3,1,0.043914,4.059848,[107  31] ; [47  5],[111.85263158  26.14736842] ; [42.14736842  9.85263158],0
p2,1,0.079292,3.079344,[87 50] ; [40 12],[92.05820106 44.94179894] ; [34.94179894 17.05820106],0
p4,1,0.080148,3.061891,[49 87] ; [26 26],[54.25531915 81.74468085] ; [20.74468085 31.25531915],0
a3,1,0.082188,3.0211,[87 51] ; [39 12],[92. 46.] ; [34. 17.],0
b4,1,0.084999,2.966627,[71 67] ; [34 18],[76.26315789 61.73684211] ; [28.73684211 23.26315789],0
n5,1,0.110492,2.547165,[94 43] ; [41 10],[98.37765957 38.62234043] ; [36.62234043 14.37765957],0
s4,1,0.121569,2.396985,[ 19 119] ; [12 40],[ 22.51578947 115.48421053] ; [ 8.48421053 43.51578947],0
p9,1,0.121727,2.394953,[88 47] ; [40 12],[92.40641711 42.59358289] ; [35.59358289 16.40641711],0
p10,1,0.20812,1.584454,[84 53] ; [37 15],[87.70899471 49.29100529] ; [33.29100529 18.70899471],0
p11,1,0.231084,1.434179,[91 47] ; [39 13],[94.42105263 43.57894737] ; [35.57894737 16.42105263],0
n3,1,0.247448,1.337652,[31 21] ; [10  3],[32.8 19.2] ; [8.2 4.8],0
a6,1,0.257581,1.281714,[59 79] ; [27 25],[62.46315789 75.53684211] ; [23.53684211 28.46315789],0
n4,1,0.264203,1.246601,[94 44] ; [39 12],[97.11111111 40.88888889] ; [35.88888889 15.11111111],0
p1,1,0.352654,0.863884,[  8 130] ; [ 5 47],[  9.44210526 128.55789474] ; [ 3.55789474 48.44210526],0
u3,1,0.389791,0.739593,[17 34] ; [6 7],[18.328125 32.671875] ; [4.671875 8.328125],0
u2,1,0.458719,0.54902,[23 28] ; [4 8],[21.85714286 29.14285714] ; [5.14285714 6.85714286],0
a4,1,0.462522,0.539784,[50 87] ; [22 30],[52.19047619 84.80952381] ; [19.80952381 32.19047619],0
u4,1,0.470496,0.520811,[  1 137] ; [ 1 51],[  1.45263158 136.54736842] ; [ 0.54736842 51.45263158],0
v3,1,0.495791,0.463934,[41 90] ; [19 33],[42.95081967 88.04918033] ; [17.04918033 34.95081967],0
b2,1,0.560394,0.339023,[33 57] ; [14 19],[34.3902439 55.6097561] ; [12.6097561 20.3902439],0
b3,1,0.560394,0.339023,[33 57] ; [14 19],[34.3902439 55.6097561] ; [12.6097561 20.3902439],0
a1,1,0.591308,0.288307,[  8 130] ; [ 2 50],[  7.26315789 130.73684211] ; [ 2.73684211 49.26315789],0
u1,1,0.680911,0.169103,[  6 132] ; [ 3 49],[  6.53684211 131.46315789] ; [ 2.46315789 49.53684211],0
d3,1,0.732673,0.116672,[52 86] ; [21 31],[53.02105263 84.97894737] ; [19.97894737 32.02105263],0
p8,1,0.793356,0.06862,[45 93] ; [18 34],[45.75789474 92.24210526] ; [17.24210526 34.75789474],0
b1,1,0.836929,0.042363,[66 72] ; [24 28],[65.36842105 72.63157895] ; [24.63157895 27.36842105],0
a8,1,0.858968,0.031573,[ 11 116] ; [ 4 47],[ 10.70224719 116.29775281] ; [ 4.29775281 46.70224719],0
n1,1,0.961448,0.002336,[20 33] ; [5 8],[20.07575758 32.92424242] ; [4.92424242 8.07575758],0
s1,1,0.994148,5.4e-05,[  8 130] ; [ 3 49],[  7.98947368 130.01052632] ; [ 3.01052632 48.98947368],0
