Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1e-06,24.776487,[40 13] ; [ 9 30],[28.22826087 24.77173913] ; [20.77173913 18.22826087],1
r3,1,0.024037,5.091971,[20 30] ; [25 14],[25.28089888 24.71910112] ; [19.71910112 19.28089888],0
a1,1,0.033472,4.521494,[11 42] ; [ 2 37],[ 7.48913043 45.51086957] ; [ 5.51086957 33.48913043],0
v4,1,0.036966,4.35198,[25 27] ; [26 11],[29.79775281 22.20224719] ; [21.20224719 15.79775281],0
d2,1,0.045786,3.989442,[25 26] ; [11 28],[20.4 30.6] ; [15.6 23.4],0
p2,1,0.049212,3.868122,[21 29] ; [24 14],[25.56818182 24.43181818] ; [19.43181818 18.56818182],0
n1,1,0.053364,3.732478,[10 13] ; [ 3 16],[ 7.11904762 15.88095238] ; [ 5.88095238 13.11904762],0
a7,1,0.102048,2.673235,[23 29] ; [24 15],[26.85714286 25.14285714] ; [20.14285714 18.85714286],0
n2,1,0.121122,2.402746,[14  9] ; [ 7 12],[11.5 11.5] ; [9.5 9.5],0
s3,1,0.133062,2.25641,[10 42] ; [12 24],[13. 39.] ; [ 9. 27.],0
d4,1,0.137469,2.206061,[28 24] ; [27 12],[31.42857143 20.57142857] ; [23.57142857 15.42857143],0
p6,1,0.180313,1.795046,[ 7 43] ; [ 2 36],[ 5.11363636 44.88636364] ; [ 3.88636364 34.11363636],0
p5,1,0.18194,1.781708,[ 5 46] ; [ 1 37],[ 3.43820225 47.56179775] ; [ 2.56179775 35.43820225],0
u1,1,0.187228,1.739299,[ 5 48] ; [ 1 38],[ 3.45652174 49.54347826] ; [ 2.54347826 36.45652174],0
r1,1,0.20329,1.618577,[10 42] ; [12 27],[12.57142857 39.42857143] ; [ 9.42857143 29.57142857],0
s2,1,0.224178,1.477423,[ 8 44] ; [10 29],[10.28571429 41.71428571] ; [ 7.71428571 31.28571429],0
v3,1,0.235069,1.409925,[12 40] ; [ 5 33],[ 9.82222222 42.17777778] ; [ 7.17777778 30.82222222],0
s5,1,0.24495,1.351881,[ 5 47] ; [ 7 32],[ 6.85714286 45.14285714] ; [ 5.14285714 33.85714286],0
s4,1,0.265296,1.240909,[ 8 44] ; [ 3 36],[ 6.28571429 45.71428571] ; [ 4.71428571 34.28571429],0
a4,1,0.269577,1.218901,[19 33] ; [10 29],[16.57142857 35.42857143] ; [12.42857143 26.57142857],0
a8,1,0.274021,1.196509,[ 4 44] ; [ 1 36],[ 2.82352941 45.17647059] ; [ 2.17647059 34.82352941],0
a2,1,0.297544,1.085171,[ 6 47] ; [ 2 37],[ 4.60869565 48.39130435] ; [ 3.39130435 35.60869565],0
p1,1,0.298802,1.079531,[ 8 45] ; [ 3 35],[ 6.40659341 46.59340659] ; [ 4.59340659 33.40659341],0
a5,1,0.312307,1.020896,[26 27] ; [15 24],[23.61956522 29.38043478] ; [17.38043478 21.61956522],0
p11,1,0.312307,1.020896,[26 27] ; [15 24],[23.61956522 29.38043478] ; [17.38043478 21.61956522],0
v1,1,0.315406,1.007901,[14 38] ; [14 24],[16.17777778 35.82222222] ; [11.82222222 26.17777778],0
p8,1,0.321374,0.983348,[11 40] ; [12 27],[13.03333333 37.96666667] ; [ 9.96666667 29.03333333],0
d3,1,0.363701,0.825073,[23 29] ; [21 18],[25.14285714 26.85714286] ; [18.85714286 20.14285714],0
p4,1,0.415938,0.661765,[13 38] ; [13 26],[14.73333333 36.26666667] ; [11.26666667 27.73333333],0
p7,1,0.427512,0.629573,[16 35] ; [15 23],[17.76404494 33.23595506] ; [13.23595506 24.76404494],0
a6,1,0.444732,0.584042,[26 27] ; [16 23],[24.19565217 28.80434783] ; [17.80434783 21.19565217],0
b5,1,0.603509,0.269736,[27 26] ; [22 17],[28.22826087 24.77173913] ; [20.77173913 18.22826087],0
u2,1,0.635026,0.225306,[ 9 16] ; [ 9 12],[ 9.7826087 15.2173913] ; [ 8.2173913 12.7826087],0
u3,1,0.667569,0.184458,[ 6 20] ; [ 6 15],[ 6.63829787 19.36170213] ; [ 5.36170213 15.63829787],0
a3,1,0.669501,0.182186,[27 25] ; [18 20],[26. 26.] ; [19. 19.],0
n6,1,0.670896,0.180556,[29 23] ; [20 19],[28. 24.] ; [21. 18.],0
s6,1,0.687744,0.161538,[14 38] ; [12 27],[14.85714286 37.14285714] ; [11.14285714 27.85714286],0
p10,1,0.68891,0.160267,[25 26] ; [17 21],[24.06741573 26.93258427] ; [17.93258427 20.06741573],0
b1,1,0.696588,0.152046,[28 25] ; [19 20],[27.07608696 25.92391304] ; [19.92391304 19.07608696],0
n3,1,0.710822,0.137457,[12 11] ; [11  8],[12.5952381 10.4047619] ; [10.4047619  8.5952381],0
v2,1,0.759085,0.094054,[16 34] ; [13 24],[16.66666667 33.33333333] ; [12.33333333 24.66666667],0
d1,1,0.802304,0.062683,[19 34] ; [13 26],[18.43478261 34.56521739] ; [13.56521739 25.43478261],0
p3,1,0.813031,0.05594,[11 40] ; [ 9 29],[11.46067416 39.53932584] ; [ 8.53932584 29.46067416],0
b4,1,0.820129,0.051701,[30 23] ; [23 16],[30.5326087 22.4673913] ; [22.4673913 16.5326087],0
p12,1,0.836475,0.042603,[ 1 51] ; [ 1 38],[ 1.14285714 50.85714286] ; [ 0.85714286 38.14285714],0
d5,1,0.841843,0.039815,[31 22] ; [22 17],[30.5326087 22.4673913] ; [22.4673913 16.5326087],0
p9,1,0.875917,0.024382,[27 24] ; [20 19],[26.63333333 24.36666667] ; [20.36666667 18.63333333],0
s8,1,0.911404,0.012381,[ 3 50] ; [ 2 37],[ 2.88043478 50.11956522] ; [ 2.11956522 36.88043478],0
b2,1,0.940968,0.005484,[ 9 22] ; [ 6 14],[ 9.11764706 21.88235294] ; [ 5.88235294 14.11764706],0
b3,1,0.940968,0.005484,[ 9 22] ; [ 6 14],[ 9.11764706 21.88235294] ; [ 5.88235294 14.11764706],0
s1,1,0.9793,0.000673,[ 4 49] ; [ 3 36],[ 4.0326087 48.9673913] ; [ 2.9673913 36.0326087],0
