Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,51.413462,[29  9] ; [ 29 134],[10.96517413 27.03482587] ; [ 47.03482587 115.96517413],1
v1,1,0.000185,13.976666,[22 15] ; [ 44 117],[12.33333333 24.66666667] ; [ 53.66666667 107.33333333],1
s7,1,0.000311,13.004013,[15 22] ; [ 22 131],[ 7.20526316 29.79473684] ; [ 29.79473684 123.20526316],1
s8,1,0.001023,10.786194,[11 27] ; [ 15 149],[ 4.89108911 33.10891089] ; [ 21.10891089 142.89108911],0
p10,1,0.003339,8.61244,[29  9] ; [81 81],[20.9 17.1] ; [89.1 72.9],0
p7,1,0.011344,6.410613,[20 18] ; [ 50 112],[13.3 24.7] ; [ 56.7 105.3],0
p4,1,0.029629,4.730713,[16 22] ; [ 40 123],[10.58706468 27.41293532] ; [ 45.41293532 117.58706468],0
p6,1,0.04243,4.117984,[10 28] ; [ 21 140],[ 5.91959799 32.08040201] ; [ 25.08040201 135.91959799],0
p9,1,0.04582,3.988203,[28 10] ; [89 70],[22.56852792 15.43147208] ; [94.43147208 64.56852792],0
p3,1,0.046906,3.948745,[14 24] ; [ 35 128],[ 9.26368159 28.73631841] ; [ 39.73631841 123.26368159],0
s4,1,0.050987,3.808711,[ 7 31] ; [ 13 151],[ 3.76237624 34.23762376] ; [ 16.23762376 147.76237624],0
p2,1,0.068721,3.313304,[28 10] ; [94 69],[23.06467662 14.93532338] ; [98.93532338 64.06467662],0
u1,1,0.072043,3.235843,[ 7 31] ; [ 14 150],[ 3.95049505 34.04950495] ; [ 17.04950495 146.95049505],0
v3,1,0.081155,3.04161,[13 22] ; [ 36 121],[ 8.93229167 26.06770833] ; [ 40.06770833 116.93229167],0
r3,1,0.155318,2.019233,[34  4] ; [128  33],[30.93467337  7.06532663] ; [131.06532663  29.93467337],0
u3,1,0.168839,1.893218,[7 4] ; [23 33],[4.92537313 6.07462687] ; [25.07462687 30.92537313],0
s1,1,0.173411,1.853206,[ 3 35] ; [  5 157],[ 1.52 36.48] ; [  6.48 155.52],0
r2,1,0.181032,1.789128,[34  3] ; [133  27],[31.36548223  5.63451777] ; [135.63451777  24.36548223],0
v2,1,0.199236,1.647963,[18 19] ; [58 98],[14.56994819 22.43005181] ; [61.43005181 94.56994819],0
d2,1,0.203061,1.620223,[12 26] ; [69 92],[15.46733668 22.53266332] ; [65.53266332 95.46733668],0
r4,1,0.213529,1.547338,[29  9] ; [108  56],[25.77227723 12.22772277] ; [111.22772277  52.77227723],0
a8,1,0.225019,1.472071,[ 6 31] ; [ 14 136],[ 3.95721925 33.04278075] ; [ 16.04278075 133.95721925],0
v4,1,0.235118,1.40963,[33  5] ; [126  35],[30.36180905  7.63819095] ; [128.63819095  32.36180905],0
r1,1,0.278983,1.172039,[26 12] ; [96 67],[23.06467662 14.93532338] ; [98.93532338 64.06467662],0
p11,1,0.356933,0.848654,[26 12] ; [99 65],[23.51485149 14.48514851] ; [101.48514851  62.51485149],0
d4,1,0.358853,0.841902,[30  8] ; [116  46],[27.74 10.26] ; [118.26  43.74],0
n4,1,0.361165,0.833837,[27 11] ; [103  60],[24.57711443 13.42288557] ; [105.42288557  57.57711443],0
n5,1,0.365056,0.820426,[25 13] ; [93 68],[22.53266332 15.46733668] ; [95.46733668 65.53266332],0
d5,1,0.473211,0.514468,[23 14] ; [112  52],[24.85074627 12.14925373] ; [110.14925373  53.85074627],0
s5,1,0.474646,0.51114,[ 5 30] ; [ 16 142],[ 3.80829016 31.19170984] ; [ 17.19170984 140.80829016],0
n1,1,0.491583,0.47306,[4 5] ; [20 41],[3.08571429 5.91428571] ; [20.91428571 40.08571429],0
n2,1,0.510051,0.433962,[7 3] ; [36 25],[6.05633803 3.94366197] ; [36.94366197 24.05633803],0
n3,1,0.568409,0.325353,[8 3] ; [37 21],[7.17391304 3.82608696] ; [37.82608696 20.17391304],0
a3,1,0.603395,0.269906,[27 11] ; [108  54],[25.65 12.35] ; [109.35  52.65],0
a7,1,0.622336,0.242599,[24 13] ; [98 64],[22.68341709 14.31658291] ; [99.31658291 62.68341709],0
d3,1,0.638655,0.220506,[22 15] ; [90 73],[20.72 16.28] ; [91.28 71.72],0
b4,1,0.648393,0.207933,[20 18] ; [93 71],[21.25742574 16.74257426] ; [91.74257426 72.25742574],0
a2,1,0.677831,0.172578,[ 5 33] ; [ 26 138],[ 5.83168317 32.16831683] ; [ 25.16831683 138.83168317],0
a1,1,0.684157,0.165484,[ 3 35] ; [ 10 154],[ 2.44554455 35.55445545] ; [ 10.55445545 153.44554455],0
d1,1,0.718048,0.13037,[15 23] ; [70 94],[15.99009901 22.00990099] ; [69.00990099 94.99009901],0
b3,1,0.72577,0.123031,[10 11] ; [43 56],[ 9.275 11.725] ; [43.725 55.275],0
b2,1,0.72577,0.123031,[10 11] ; [43 56],[ 9.275 11.725] ; [43.725 55.275],0
p5,1,0.794566,0.067801,[ 1 35] ; [  6 158],[ 1.26 34.74] ; [  5.74 158.26],0
u2,1,0.825642,0.048529,[5 6] ; [27 28],[5.33333333 5.66666667] ; [26.66666667 28.33333333],0
a4,1,0.855299,0.033256,[16 22] ; [66 97],[15.50248756 22.49751244] ; [66.49751244 96.50248756],0
b5,1,0.858082,0.031975,[21 17] ; [88 76],[20.5049505 17.4950495] ; [88.4950495 75.5049505],0
b1,1,0.871483,0.026171,[17 21] ; [71 93],[16.55445545 21.44554455] ; [71.44554455 92.55445545],0
a6,1,0.920198,0.010037,[24 14] ; [105  59],[24.26732673 13.73267327] ; [104.73267327  59.26732673],0
a5,1,0.942336,0.005232,[22 16] ; [96 68],[22.1980198 15.8019802] ; [95.8019802 68.1980198],0
n6,1,0.98477,0.000364,[24 13] ; [106  57],[24.05 12.95] ; [105.95  57.05],0
