Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,72.162633,[218  45] ; [43 68],[183.53743316  79.46256684] ; [77.46256684 33.53743316],1
n6,1,0.0,27.579399,[227  36] ; [69 42],[208.14973262  54.85026738] ; [87.85026738 23.14973262],1
p10,1,3e-06,22.003587,[207  50] ; [62 47],[188.88797814  68.11202186] ; [80.11202186 28.88797814],1
s6,1,0.000228,13.58156,[172  85] ; [50 58],[156.31232877 100.68767123] ; [65.68767123 42.31232877],1
p9,1,0.000289,13.143414,[212  45] ; [71 38],[198.71857923  58.28142077] ; [84.28142077 24.71857923],1
p4,1,0.002158,9.410252,[137 124] ; [39 72],[123.48387097 137.51612903] ; [52.51612903 58.48387097],0
s7,1,0.002375,9.234517,[113 133] ; [31 77],[100.06779661 145.93220339] ; [43.93220339 64.06779661],0
v1,1,0.006657,7.363254,[136 120] ; [41 68],[124.14246575 131.85753425] ; [52.85753425 56.14246575],0
n1,1,0.009551,6.716767,[31 32] ; [ 6 23],[25.33695652 37.66304348] ; [11.66304348 17.33695652],0
p5,1,0.010098,6.617441,[ 32 228] ; [  4 106],[ 25.2972973 234.7027027] ; [10.7027027 99.2972973],0
p7,1,0.033238,4.5335,[157  98] ; [54 55],[147.81593407 107.18406593] ; [63.18406593 45.81593407],0
v3,1,0.044897,4.022488,[ 98 162] ; [28 77],[ 89.75342466 170.24657534] ; [36.24657534 68.75342466],0
p6,1,0.047529,3.926555,[ 86 172] ; [25 84],[ 78.03269755 179.96730245] ; [32.96730245 76.03269755],0
s8,1,0.050675,3.818994,[ 94 168] ; [28 82],[ 85.92473118 176.07526882] ; [36.07526882 73.92473118],0
p8,1,0.052137,3.771383,[125 131] ; [42 69],[116.49046322 139.50953678] ; [50.50953678 60.49046322],0
p2,1,0.054638,3.693112,[211  50] ; [79 31],[204.01617251  56.98382749] ; [85.98382749 24.01617251],0
b3,1,0.059888,3.540473,[55 91] ; [15 47],[49.13461538 96.86538462] ; [20.86538462 41.13461538],0
b2,1,0.059888,3.540473,[55 91] ; [15 47],[49.13461538 96.86538462] ; [20.86538462 41.13461538],0
