Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,6e-06,20.519836,[80  6] ; [20 14],[71.66666667 14.33333333] ; [28.33333333  5.66666667],1
s5,1,0.002199,9.375418,[27 55] ; [ 2 32],[20.5 61.5] ; [ 8.5 25.5],0
p11,1,0.002466,9.165347,[66 20] ; [17 18],[58.99173554 27.00826446] ; [24.00826446 10.99173554],0
s7,1,0.00261,9.061872,[32 50] ; [ 3 28],[25.39823009 56.60176991] ; [ 9.60176991 21.39823009],0
r4,1,0.003868,8.344765,[67 19] ; [18 17],[60.41322314 25.58677686] ; [24.58677686 10.41322314],0
p8,1,0.006013,7.546282,[43 41] ; [ 8 26],[36.30508475 47.69491525] ; [14.69491525 19.30508475],0
p10,1,0.008438,6.938103,[56 27] ; [14 20],[49.65811966 33.34188034] ; [20.34188034 13.65811966],0
a4,1,0.009973,6.639747,[10 75] ; [11 24],[14.875 70.125] ; [ 6.125 28.875],0
s8,1,0.010444,6.557488,[26 59] ; [ 3 32],[20.54166667 64.45833333] ; [ 8.45833333 26.54166667],0
r3,1,0.010986,6.467534,[74 12] ; [23 12],[68.94214876 17.05785124] ; [28.05785124  6.94214876],0
p4,1,0.018772,5.522668,[39 44] ; [ 8 26],[33.34188034 49.65811966] ; [13.65811966 20.34188034],0
s6,1,0.031812,4.608586,[44 39] ; [11 24],[38.68644068 44.31355932] ; [16.31355932 18.68644068],0
d1,1,0.038756,4.271523,[ 1 85] ; [ 3 32],[ 2.84297521 83.15702479] ; [ 1.15702479 33.84297521],0
p9,1,0.04852,3.8919,[59 23] ; [18 16],[54.43103448 27.56896552] ; [22.56896552 11.43103448],0
p3,1,0.057141,3.618496,[35 50] ; [ 8 27],[30.45833333 54.54166667] ; [12.54166667 22.45833333],0
r2,1,0.062007,3.48287,[72 14] ; [24 11],[68.23140496 17.76859504] ; [27.76859504  7.23140496],0
p2,1,0.086984,2.92932,[60 25] ; [19 16],[55.95833333 29.04166667] ; [23.04166667 11.95833333],0
p1,1,0.094198,2.80112,[11 74] ; [ 1 34],[ 8.5 76.5] ; [ 3.5 31.5],0
n4,1,0.101038,2.689076,[55 30] ; [17 18],[51. 34.] ; [21. 14.],0
v2,1,0.105377,2.622223,[25 57] ; [ 5 27],[21.57894737 60.42105263] ; [ 8.42105263 23.57894737],0
b4,1,0.138112,2.198872,[52 34] ; [16 19],[48.33057851 37.66942149] ; [19.66942149 15.33057851],0
p6,1,0.145809,2.115556,[28 56] ; [ 7 28],[24.70588235 59.29411765] ; [10.29411765 24.70588235],0
s3,1,0.151314,2.05895,[35 47] ; [20 15],[38.54700855 43.45299145] ; [16.45299145 18.54700855],0
n1,1,0.153686,2.035282,[ 7 18] ; [8 8],[ 9.14634146 15.85365854] ; [ 5.85365854 10.14634146],0
d2,1,0.170364,1.879738,[15 71] ; [10 25],[17.76859504 68.23140496] ; [ 7.23140496 27.76859504],0
p7,1,0.173438,1.852973,[46 38] ; [13 19],[42.72413793 41.27586207] ; [16.27586207 15.72413793],0
a1,1,0.242879,1.363806,[ 3 83] ; [ 3 32],[ 4.26446281 81.73553719] ; [ 1.73553719 33.26446281],0
a2,1,0.242879,1.363806,[ 3 83] ; [ 3 32],[ 4.26446281 81.73553719] ; [ 1.73553719 33.26446281],0
s2,1,0.287078,1.133274,[33 52] ; [10 25],[30.45833333 54.54166667] ; [12.54166667 22.45833333],0
u1,1,0.344487,0.893662,[ 2 84] ; [ 2 33],[ 2.84297521 83.15702479] ; [ 1.15702479 33.84297521],0
