Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,3e-06,21.540942,[57 41] ; [93 14],[71.70731707 26.29268293] ; [78.29268293 28.70731707],1
p4,1,1.4e-05,18.920573,[56 47] ; [88 19],[70.62857143 32.37142857] ; [73.37142857 33.62857143],1
p8,1,1.4e-05,18.920108,[45 56] ; [80 28],[60.40669856 40.59330144] ; [64.59330144 43.40669856],1
p3,1,4.4e-05,16.682817,[46 58] ; [77 30],[60.62559242 43.37440758] ; [62.37440758 44.62559242],1
p5,1,0.001047,10.742719,[11 92] ; [31 77],[20.50236967 82.49763033] ; [21.49763033 86.50236967],0
p10,1,0.00144,10.154065,[83 19] ; [103   5],[90.34285714 11.65714286] ; [95.65714286 12.34285714],0
s3,1,0.006729,7.343845,[98  4] ; [91 16],[92.23923445  9.76076555] ; [96.76076555 10.23923445],0
n4,1,0.010584,6.533799,[72 30] ; [92 16],[79.65714286 22.34285714] ; [84.34285714 23.65714286],0
d3,1,0.013318,6.126417,[69 35] ; [87 20],[76.89099526 27.10900474] ; [79.10900474 27.89099526],0
p1,1,0.017063,5.68986,[ 7 95] ; [19 88],[12.68899522 89.31100478] ; [13.31100478 93.68899522],0
s7,1,0.017096,5.686486,[70 29] ; [88 16],[77.05418719 21.94581281] ; [80.94581281 23.05418719],0
a1,1,0.032378,4.578395,[  3 101] ; [11 97],[ 6.86792453 97.13207547] ; [  7.13207547 100.86792453],0
p12,1,0.054644,3.692924,[ 9 95] ; [19 89],[13.73584906 90.26415094] ; [14.26415094 93.73584906],0
n6,1,0.072477,3.226014,[88 13] ; [100   6],[91.7294686  9.2705314] ; [96.2705314  9.7294686],0
p9,1,0.073313,3.207243,[91 10] ; [104   4],[94.23444976  6.76555024] ; [100.76555024   7.23444976],0
n5,1,0.073863,3.195024,[75 26] ; [91 17],[80.22009569 20.77990431] ; [85.77990431 22.22009569],0
a4,1,0.075249,3.164632,[47 57] ; [62 46],[53.47169811 50.52830189] ; [55.52830189 52.47169811],0
s8,1,0.098234,2.73398,[62 41] ; [76 31],[67.68571429 35.31428571] ; [70.31428571 36.68571429],0
d1,1,0.100529,2.69713,[62 42] ; [76 32],[67.69811321 36.30188679] ; [70.30188679 37.69811321],0
u1,1,0.100633,2.695489,[19 85] ; [30 78],[24.03773585 79.96226415] ; [24.96226415 83.03773585],0
n1,1,0.117361,2.452185,[10 16] ; [14  9],[12.73469388 13.26530612] ; [11.26530612 11.73469388],0
u2,1,0.122844,2.380676,[10 14] ; [13  7],[12.54545455 11.45454545] ; [10.45454545  9.54545455],0
u3,1,0.149854,2.073733,[15 10] ; [16  4],[17.22222222  7.77777778] ; [13.77777778  6.22222222],0
v1,1,0.187652,1.735957,[63 39] ; [76 32],[67.51428571 34.48571429] ; [71.48571429 36.51428571],0
n3,1,0.193493,1.690821,[21  6] ; [14  9],[18.9  8.1] ; [16.1  6.9],0
v3,1,0.222391,1.488876,[51 50] ; [45 62],[46.61538462 54.38461538] ; [49.38461538 57.61538462],0
r4,1,0.238217,1.391113,[95  9] ; [103   5],[97.13207547  6.86792453] ; [100.86792453   7.13207547],0
p11,1,0.252392,1.310013,[78 26] ; [88 20],[81.43396226 22.56603774] ; [84.56603774 23.43396226],0
a3,1,0.261497,1.260813,[79 25] ; [88 19],[82.31279621 21.68720379] ; [84.68720379 22.31279621],0
b2,1,0.282586,1.15461,[23 39] ; [32 37],[26.03053435 35.96946565] ; [28.96946565 40.03053435],0
b3,1,0.282586,1.15461,[23 39] ; [32 37],[26.03053435 35.96946565] ; [28.96946565 40.03053435],0
a5,1,0.315304,1.008328,[81 23] ; [90 18],[83.88679245 20.11320755] ; [87.11320755 20.88679245],0
r2,1,0.340917,0.906982,[101   1] ; [105   3],[100.05714286   1.94285714] ; [105.94285714   2.05714286],0
v4,1,0.345885,0.888498,[100   1] ; [105   3],[99.06698565  1.93301435] ; [105.93301435   2.06698565],0
a2,1,0.465755,0.53203,[28 76] ; [34 74],[30.41509434 73.58490566] ; [31.58490566 76.41509434],0
a8,1,0.47798,0.503468,[10 83] ; [14 85],[11.625 81.375] ; [12.375 86.625],0
b1,1,0.518907,0.416066,[36 68] ; [42 66],[38.26415094 65.73584906] ; [39.73584906 68.26415094],0
n2,1,0.536859,0.381393,[24  2] ; [20  3],[23.34693878  2.65306122] ; [20.65306122  2.34693878],0
b5,1,0.545189,0.366008,[63 41] ; [61 47],[60.83018868 43.16981132] ; [63.16981132 44.83018868],0
p2,1,0.592971,0.285729,[87 16] ; [94 14],[88.35545024 14.64454976] ; [92.64454976 15.35545024],0
v2,1,0.614252,0.25403,[61 39] ; [61 45],[59.22330097 40.77669903] ; [62.77669903 43.22330097],0
u4,1,0.620341,0.245389,[  3 101] ; [  2 106],[  2.45283019 101.54716981] ; [  2.54716981 105.45283019],0
a7,1,0.632923,0.228118,[73 31] ; [79 29],[74.56603774 29.43396226] ; [77.43396226 30.56603774],0
d2,1,0.634532,0.225965,[52 52] ; [57 50],[53.72511848 50.27488152] ; [55.27488152 51.72511848],0
d5,1,0.658085,0.195858,[87 17] ; [91 15],[88.15238095 15.84761905] ; [89.84761905 16.15238095],0
s6,1,0.683829,0.165847,[96  6] ; [103   5],[96.65714286  5.34285714] ; [102.34285714   5.65714286],0
r1,1,0.684725,0.164855,[82 19] ; [90 18],[83.11961722 17.88038278] ; [88.88038278 19.11961722],0
a6,1,0.695999,0.152667,[66 38] ; [70 36],[67.35238095 36.64761905] ; [68.64761905 37.35238095],0
d4,1,0.791909,0.069607,[91 13] ; [94 12],[91.61904762 12.38095238] ; [93.38095238 12.61904762],0
s4,1,0.809055,0.058393,[31 72] ; [30 75],[30.20673077 72.79326923] ; [30.79326923 74.20673077],0
b4,1,0.835183,0.043288,[65 39] ; [66 42],[64.26415094 39.73584906] ; [66.73584906 41.26415094],0
s1,1,0.844801,0.03832,[ 5 96] ; [  6 102],[ 5.31578947 95.68421053] ; [  5.68421053 102.31578947],0
r3,1,0.956185,0.003019,[99  4] ; [103   4],[99.07619048  3.92380952] ; [102.92380952   4.07619048],0
