Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,36.86443,[ 2 21] ; [94 32],[14.81879195  8.18120805] ; [81.18120805 44.81879195],1
d4,1,4e-06,21.257197,[11 12] ; [111  15],[18.83221477  4.16778523] ; [103.16778523  22.83221477],1
d2,1,0.005561,7.68742,[ 7 16] ; [77 48],[13.05405405  9.94594595] ; [70.94594595 54.05405405],0
a3,1,0.00585,7.595895,[ 9 14] ; [87 39],[14.81879195  8.18120805] ; [81.18120805 44.81879195],0
d3,1,0.009633,6.701459,[11 12] ; [94 32],[16.20805369  6.79194631] ; [88.79194631 37.20805369],0
a5,1,0.010207,6.598396,[12 11] ; [98 28],[16.97986577  6.02013423] ; [93.02013423 32.97986577],0
p8,1,0.020577,5.362262,[12 10] ; [37 89],[ 7.28378378 14.71621622] ; [41.71621622 84.28378378],0
a4,1,0.024341,5.070185,[ 6 17] ; [65 61],[10.95973154 12.04026846] ; [60.04026846 65.95973154],0
p2,1,0.072527,3.224892,[15  8] ; [103  23],[18.2147651  4.7852349] ; [99.7852349 26.2147651],0
s7,1,0.093061,2.820608,[ 7 16] ; [57 58],[10.66666667 12.33333333] ; [53.33333333 61.66666667],0
a7,1,0.103006,2.658368,[14  9] ; [97 29],[17.13422819  5.86577181] ; [93.86577181 32.13422819],0
a2,1,0.104564,2.634513,[ 2 21] ; [30 96],[ 4.93959732 18.06040268] ; [27.06040268 98.93959732],0
s2,1,0.144127,2.133338,[ 9 13] ; [71 52],[12.13793103  9.86206897] ; [67.86206897 55.13793103],0
r4,1,0.188854,1.726537,[22  1] ; [108  18],[20.06711409  2.93288591] ; [109.93288591  16.06711409],0
s1,1,0.191202,1.708332,[ 3 20] ; [  7 118],[ 1.55405405 21.44594595] ; [  8.44594595 116.55405405],0
u3,1,0.198057,1.656644,[7 7] ; [27 12],[8.98113208 5.01886792] ; [25.01886792 13.98113208],0
v2,1,0.355868,0.852421,[10 12] ; [69 54],[11.9862069 10.0137931] ; [67.0137931 55.9862069],0
s8,1,0.356511,0.850145,[ 8 15] ; [56 68],[10.01360544 12.98639456] ; [53.98639456 70.01360544],0
p5,1,0.357192,0.847743,[ 1 22] ; [ 13 111],[ 2.19047619 20.80952381] ; [ 11.80952381 112.19047619],0
s3,1,0.369714,0.804624,[10 13] ; [66 57],[11.97260274 11.02739726] ; [64.02739726 58.97260274],0
p9,1,0.3718,0.79764,[20  3] ; [97 26],[18.43150685  4.56849315] ; [98.56849315 24.43150685],0
s6,1,0.380296,0.769745,[14  8] ; [91 34],[15.71428571  6.28571429] ; [89.28571429 35.71428571],0
a1,1,0.386076,0.751266,[ 1 22] ; [  2 124],[ 0.46308725 22.53691275] ; [  2.53691275 123.46308725],0
v3,1,0.42261,0.643045,[ 6 16] ; [43 76],[ 7.64539007 14.35460993] ; [41.35460993 77.64539007],0
p6,1,0.43136,0.619158,[ 4 19] ; [31 93],[ 5.47619048 17.52380952] ; [29.52380952 94.47619048],0
a6,1,0.432382,0.616416,[13 10] ; [82 44],[14.66442953  8.33557047] ; [80.33557047 45.66442953],0
n2,1,0.476538,0.506775,[4 1] ; [23 13],[3.29268293 1.70731707] ; [23.70731707 12.29268293],0
a8,1,0.523128,0.407722,[ 3 19] ; [10 99],[ 2.18320611 19.81679389] ; [10.81679389 98.18320611],0
p3,1,0.530233,0.393946,[12 11] ; [74 51],[13.36486486  9.63513514] ; [72.63513514 52.36486486],0
r3,1,0.561039,0.337909,[21  2] ; [119   7],[21.61073826  1.38926174] ; [118.38926174   7.61073826],0
p10,1,0.570917,0.321151,[18  5] ; [90 34],[16.89795918  6.10204082] ; [91.10204082 32.89795918],0
p11,1,0.589029,0.291864,[17  6] ; [86 40],[15.89932886  7.10067114] ; [87.10067114 38.89932886],0
p1,1,0.60594,0.266129,[ 3 20] ; [ 12 114],[ 2.31543624 20.68456376] ; [ 12.68456376 113.31543624],0
p12,1,0.60594,0.266129,[ 3 20] ; [ 12 114],[ 2.31543624 20.68456376] ; [ 12.68456376 113.31543624],0
b1,1,0.607651,0.26361,[ 8 15] ; [51 75],[ 9.10738255 13.89261745] ; [49.89261745 76.10738255],0
u2,1,0.607951,0.26317,[9 5] ; [22 17],[8.18867925 5.81132075] ; [22.81132075 16.18867925],0
n6,1,0.621161,0.244239,[19  4] ; [109  17],[19.75838926  3.24161074] ; [108.24161074  17.75838926],0
s5,1,0.62271,0.242077,[ 5 16] ; [34 83],[ 5.93478261 15.06521739] ; [33.06521739 83.93478261],0
n3,1,0.641034,0.217392,[3 2] ; [26 11],[3.45238095 1.54761905] ; [25.54761905 11.45238095],0
v1,1,0.653045,0.202083,[11 12] ; [63 56],[11.98591549 11.01408451] ; [62.01408451 56.98591549],0
b4,1,0.657623,0.196424,[15  8] ; [76 50],[14.04697987  8.95302013] ; [76.95302013 49.04697987],0
b2,1,0.679045,0.171203,[4 9] ; [29 50],[4.66304348 8.33695652] ; [28.33695652 50.66304348],0
b3,1,0.679045,0.171203,[4 9] ; [29 50],[4.66304348 8.33695652] ; [28.33695652 50.66304348],0
n5,1,0.708873,0.139405,[18  5] ; [94 32],[17.2885906  5.7114094] ; [94.7114094 31.2885906],0
v4,1,0.711011,0.137269,[22  1] ; [118   8],[21.61073826  1.38926174] ; [118.38926174   7.61073826],0
r1,1,0.764601,0.089667,[17  6] ; [96 29],[17.56081081  5.43918919] ; [95.43918919 29.56081081],0
u4,1,0.773872,0.082549,[ 1 22] ; [  4 122],[ 0.77181208 22.22818792] ; [  4.22818792 121.77181208],0
n1,1,0.80203,0.062861,[2 3] ; [17 20],[2.26190476 2.73809524] ; [16.73809524 20.26190476],0
n4,1,0.834664,0.043566,[18  5] ; [101  25],[18.36912752  4.63087248] ; [100.63087248  25.36912752],0
s4,1,0.852939,0.034362,[ 3 20] ; [ 18 106],[ 3.28571429 19.71428571] ; [ 17.71428571 106.28571429],0
b5,1,0.874228,0.025056,[15  8] ; [80 46],[14.66442953  8.33557047] ; [80.33557047 45.66442953],0
r2,1,0.910565,0.012617,[21  2] ; [115  10],[21.13513514  1.86486486] ; [114.86486486  10.13513514],0
