Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,67.333915,[223 207] ; [230  50],[274.35211268 155.64788732] ; [178.64788732 101.35211268],1
p7,1,0.0,66.079337,[242 183] ; [237  38],[290.82142857 134.17857143] ; [188.17857143  86.82142857],1
p8,1,0.0,34.010419,[205 220] ; [196  82],[242.42532006 182.57467994] ; [158.57467994 119.42532006],1
p3,1,0.0,33.611539,[189 242] ; [185  95],[226.71448664 204.28551336] ; [147.28551336 132.71448664],1
s7,1,0.0,27.04739,[176 238] ; [168  99],[209.1277533 204.8722467] ; [134.8722467 132.1277533],1
p5,1,0.0,25.956799,[ 29 402] ; [ 54 226],[ 50.31364276 380.68635724] ; [ 32.68635724 247.31364276],1
s8,1,1e-06,23.397798,[162 267] ; [157 122],[193.29237288 235.70762712] ; [125.70762712 153.29237288],1
n4,1,6.3e-05,16.007483,[315 114] ; [241  39],[336.42313117  92.57686883] ; [219.57686883  60.42313117],1
p1,1,0.000122,14.760497,[ 25 405] ; [ 40 239],[ 39.42172073 390.57827927] ; [ 25.57827927 253.42172073],1
s5,1,0.000227,13.589487,[125 297] ; [115 150],[147.42358079 274.57641921] ; [ 92.57641921 172.42358079],1
a1,1,0.000388,12.588791,[  8 424] ; [ 20 260],[ 16.98876404 415.01123596] ; [ 11.01123596 268.98876404],1
s2,1,0.000581,11.836572,[202 226] ; [168 110],[224.30594901 203.69405099] ; [145.69405099 132.30594901],1
b2,1,0.00111,10.634802,[ 79 169] ; [84 93],[ 95.11529412 152.88470588] ; [ 67.88470588 109.11529412],0
b3,1,0.00111,10.634802,[ 79 169] ; [84 93],[ 95.11529412 152.88470588] ; [ 67.88470588 109.11529412],0
n5,1,0.001182,10.517748,[309 119] ; [231  48],[326.90240453 101.09759547] ; [213.09759547  65.90240453],0
u1,1,0.002891,8.874999,[ 65 367] ; [ 67 213],[ 80.08988764 351.91011236] ; [ 51.91011236 228.08988764],0
p12,1,0.002973,8.824202,[ 22 407] ; [ 31 247],[ 32.15983027 396.84016973] ; [ 20.84016973 257.15983027],0
n6,1,0.003375,8.592758,[356  74] ; [252  26],[369.26553672  60.73446328] ; [238.73446328  39.26553672],0
v1,1,0.004321,8.143851,[214 203] ; [172 104],[232.26839827 184.73160173] ; [153.73160173 122.26839827],0
a4,1,0.004818,7.946434,[176 255] ; [144 135],[194.25352113 236.74647887] ; [125.74647887 153.25352113],0
d1,1,0.008343,6.95839,[241 191] ; [184  96],[257.86516854 174.13483146] ; [167.13483146 112.86516854],0
p9,1,0.01165,6.363326,[362  64] ; [255  24],[372.82553191  53.17446809] ; [244.17446809  34.82553191],0
b1,1,0.014273,6.00402,[140 292] ; [116 164],[155.3258427 276.6741573] ; [100.6741573 179.3258427],0
p10,1,0.019917,5.419112,[350  79] ; [245  33],[361.03960396  67.96039604] ; [233.96039604  44.03960396],0
s6,1,0.021178,5.312077,[276 148] ; [199  72],[289.78417266 134.21582734] ; [185.21582734  85.78417266],0
d3,1,0.02438,5.067414,[294 138] ; [211  67],[307.26760563 124.73239437] ; [197.73239437  80.26760563],0
u4,1,0.053486,3.728683,[  5 427] ; [  9 271],[  8.49438202 423.50561798] ; [  5.50561798 274.49438202],0
a3,1,0.053495,3.728401,[300 131] ; [212  66],[311.24400564 119.75599436] ; [200.75599436  77.24400564],0
a2,1,0.055059,3.6803,[ 96 336] ; [ 80 200],[106.78651685 325.21348315] ; [ 69.21348315 210.78651685],0
s4,1,0.065105,3.402305,[ 62 368] ; [ 54 220],[ 70.85227273 359.14772727] ; [ 45.14772727 228.85227273],0
d2,1,0.066439,3.368869,[199 232] ; [149 131],[210.9535865 220.0464135] ; [137.0464135 142.9535865],0
a6,1,0.100475,2.697983,[310 122] ; [184  95],[300.15189873 131.84810127] ; [193.84810127  85.15189873],0
d4,1,0.102867,2.660519,[348  82] ; [239  40],[356.00846262  73.99153738] ; [230.99153738  48.00846262],0
n1,1,0.144404,2.130395,[30 60] ; [25 30],[34.13793103 55.86206897] ; [20.86206897 34.13793103],0
s3,1,0.145519,2.118608,[241 184] ; [173 105],[250.28449502 174.71550498] ; [163.71550498 114.28449502],0
a5,1,0.221307,1.495873,[314 118] ; [215  65],[320.96629213 111.03370787] ; [208.03370787  71.96629213],0
s1,1,0.251665,1.314036,[  8 416] ; [  9 268],[ 10.28245364 413.71754636] ; [  6.71754636 270.28245364],0
v3,1,0.276625,1.183597,[157 258] ; [115 159],[163.83164006 251.16835994] ; [108.16835994 165.83164006],0
b5,1,0.406557,0.688845,[268 164] ; [165 115],[262.71910112 169.28089888] ; [170.28089888 109.71910112],0
p11,1,0.423427,0.640784,[346  86] ; [231  49],[350.08988764  81.91011236] ; [226.91011236  53.08988764],0
r4,1,0.462998,0.538638,[403  29] ; [265  15],[405.30337079  26.69662921] ; [262.69662921  17.30337079],0
n2,1,0.479231,0.500613,[69 21] ; [40 16],[67.19178082 22.80821918] ; [41.80821918 14.19178082],0
v2,1,0.496719,0.46194,[227 182] ; [161 116],[231.32944606 177.67055394] ; [156.67055394 120.32944606],0
d5,1,0.520795,0.412318,[354  78] ; [233  45],[357.16056338  74.83943662] ; [229.83943662  48.16056338],0
r3,1,0.548543,0.359934,[415  16] ; [270   8],[416.41043724  14.58956276] ; [268.58956276   9.41043724],0
u2,1,0.604336,0.268506,[69 60] ; [39 29],[70.72081218 58.27918782] ; [37.27918782 30.72081218],0
u3,1,0.648035,0.208386,[74 56] ; [41 27],[75.50505051 54.49494949] ; [39.49494949 28.50505051],0
r1,1,0.661739,0.191418,[353  74] ; [235  45],[355.12871287  71.87128713] ; [232.87128713  47.12871287],0
b4,1,0.829492,0.046377,[255 177] ; [163 117],[253.61797753 178.38202247] ; [164.38202247 115.61797753],0
n3,1,0.951002,0.003776,[69 23] ; [41 14],[68.84353741 23.15646259] ; [41.15646259 13.84353741],0
v4,1,0.963671,0.002075,[418  11] ; [272   7],[418.09322034  10.90677966] ; [271.90677966   7.09322034],0
a7,1,0.970859,0.001334,[323 108] ; [208  70],[322.79407616 108.20592384] ; [208.20592384  69.79407616],0
a8,1,0.995403,3.3e-05,[ 56 334] ; [ 36 215],[ 55.975039 334.024961] ; [ 36.024961 214.975039],0
