Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,5e-06,20.659202,[16 11] ; [11 65],[ 7.0776699 19.9223301] ; [19.9223301 56.0776699],1
s2,1,0.005807,7.609214,[14 13] ; [18 59],[ 8.30769231 18.69230769] ; [23.69230769 53.30769231],0
d5,1,0.007121,7.242268,[22  5] ; [40 37],[16.09615385 10.90384615] ; [45.90384615 31.09615385],0
s6,1,0.011245,6.426226,[16 11] ; [24 52],[10.48543689 16.51456311] ; [29.51456311 46.48543689],0
p7,1,0.013942,6.045413,[11 16] ; [13 62],[ 6.35294118 20.64705882] ; [17.64705882 57.35294118],0
s7,1,0.02588,4.964037,[11 13] ; [16 56],[ 6.75 17.25] ; [20.25 51.75],0
s8,1,0.028148,4.818983,[11 16] ; [15 62],[ 6.75 20.25] ; [19.25 57.75],0
d1,1,0.033963,4.496542,[16 11] ; [28 50],[11.31428571 15.68571429] ; [32.68571429 45.31428571],0
r4,1,0.034856,4.452224,[22  5] ; [46 32],[17.48571429  9.51428571] ; [50.51428571 27.48571429],0
p11,1,0.036847,4.357451,[17 10] ; [31 47],[12.34285714 14.65714286] ; [35.65714286 42.34285714],0
p6,1,0.043444,4.078048,[ 6 21] ; [ 6 71],[ 3.11538462 23.88461538] ; [ 8.88461538 68.11538462],0
n4,1,0.06265,3.465797,[21  6] ; [45 33],[16.97142857 10.02857143] ; [49.02857143 28.97142857],0
s3,1,0.067325,3.347061,[14 13] ; [24 51],[10.05882353 16.94117647] ; [27.94117647 47.05882353],0
p10,1,0.06888,3.309515,[15 12] ; [27 49],[11.00970874 15.99029126] ; [30.99029126 45.00970874],0
n6,1,0.099771,2.709197,[20  6] ; [46 32],[16.5  9.5] ; [49.5 28.5],0
p8,1,0.168919,1.892512,[ 7 20] ; [11 66],[ 4.67307692 22.32692308] ; [13.32692308 63.67307692],0
v4,1,0.17973,1.799858,[22  5] ; [53 25],[19.28571429  7.71428571] ; [55.71428571 22.28571429],0
s4,1,0.180057,1.797156,[ 6 21] ; [ 9 68],[ 3.89423077 23.10576923] ; [11.10576923 65.89423077],0
r3,1,0.190586,1.713084,[21  6] ; [50 28],[18.25714286  8.74285714] ; [52.74285714 25.25714286],0
a1,1,0.231958,1.428812,[ 1 26] ; [ 9 69],[ 2.57142857 24.42857143] ; [ 7.42857143 70.57142857],0
s5,1,0.242677,1.364978,[ 6 18] ; [11 64],[ 4.12121212 19.87878788] ; [12.87878788 62.12121212],0
a3,1,0.253232,1.305387,[19  8] ; [44 32],[16.51456311 10.48543689] ; [46.48543689 29.51456311],0
u1,1,0.261252,1.262113,[ 5 22] ; [ 8 70],[ 3.34285714 23.65714286] ; [ 9.65714286 68.34285714],0
a2,1,0.274079,1.196215,[ 3 24] ; [16 62],[ 4.88571429 22.11428571] ; [14.11428571 63.88571429],0
r1,1,0.294951,1.096885,[18  9] ; [43 35],[15.68571429 11.31428571] ; [45.31428571 32.68571429],0
r2,1,0.310672,1.027815,[24  3] ; [61 15],[22.2815534  4.7184466] ; [62.7184466 13.2815534],0
d4,1,0.323338,0.975396,[20  7] ; [49 28],[17.91346154  9.08653846] ; [51.08653846 25.91346154],0
p9,1,0.328955,0.953009,[15 12] ; [33 41],[12.83168317 14.16831683] ; [35.16831683 38.83168317],0
n2,1,0.350169,0.872845,[7 2] ; [22 14],[5.8 3.2] ; [23.2 12.8],0
s1,1,0.357783,0.845661,[ 5 22] ; [ 9 69],[ 3.6 23.4] ; [10.4 67.6],0
d3,1,0.366041,0.817059,[15 12] ; [35 42],[12.98076923 14.01923077] ; [37.01923077 39.98076923],0
v1,1,0.386634,0.749502,[ 9 15] ; [22 56],[ 7.29411765 16.70588235] ; [23.70588235 54.29411765],0
b5,1,0.411981,0.673077,[18  9] ; [45 33],[16.2 10.8] ; [46.8 31.2],0
u4,1,0.427534,0.629512,[ 1 26] ; [ 1 77],[ 0.51428571 26.48571429] ; [ 1.48571429 76.51428571],0
u3,1,0.431923,0.617647,[5 3] ; [16 18],[4. 4.] ; [17. 17.],0
a5,1,0.478303,0.50273,[17 10] ; [43 35],[15.42857143 11.57142857] ; [44.57142857 33.42857143],0
n5,1,0.526821,0.400519,[19  8] ; [49 28],[17.65384615  9.34615385] ; [50.34615385 26.65384615],0
a7,1,0.530921,0.392628,[13 14] ; [43 35],[14.4 12.6] ; [41.6 36.4],0
p5,1,0.531987,0.390595,[ 3 22] ; [ 6 70],[ 2.22772277 22.77227723] ; [ 6.77227723 69.22772277],0
b3,1,0.571609,0.319998,[ 9 11] ; [20 33],[ 7.94520548 12.05479452] ; [21.05479452 31.94520548],0
b2,1,0.571609,0.319998,[ 9 11] ; [20 33],[ 7.94520548 12.05479452] ; [21.05479452 31.94520548],0
n3,1,0.622358,0.242567,[6 3] ; [19 14],[5.35714286 3.64285714] ; [19.64285714 13.35714286],0
u2,1,0.62503,0.238861,[3 5] ; [16 18],[3.61904762 4.38095238] ; [15.38095238 18.61904762],0
b4,1,0.625878,0.237692,[16 11] ; [42 36],[14.91428571 12.08571429] ; [43.08571429 34.91428571],0
a4,1,0.651642,0.203836,[12 15] ; [30 46],[11.00970874 15.99029126] ; [30.99029126 45.00970874],0
b1,1,0.692326,0.156579,[13 14] ; [41 37],[13.88571429 13.11428571] ; [40.11428571 37.88571429],0
n1,1,0.708597,0.139683,[5 4] ; [17 18],[4.5 4.5] ; [17.5 17.5],0
a8,1,0.759308,0.093875,[ 3 24] ; [ 7 70],[ 2.59615385 24.40384615] ; [ 7.40384615 69.59615385],0
a6,1,0.886099,0.020518,[15 12] ; [44 33],[15.31730769 11.68269231] ; [43.68269231 33.31730769],0
d2,1,0.914708,0.011471,[12 14] ; [36 40],[12.23529412 13.76470588] ; [35.76470588 40.23529412],0
p1,1,0.952032,0.003619,[ 3 24] ; [ 9 69],[ 3.08571429 23.91428571] ; [ 8.91428571 69.08571429],0
v3,1,1.0,0.0,[ 6 19] ; [18 57],[ 6. 19.] ; [18. 57.],0
