Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,2e-06,23.129079,[241  93] ; [27 38],[224.34085213 109.65914787] ; [43.65914787 21.34085213],1
p8,1,2e-06,22.401293,[195 135] ; [18 48],[177.5 152.5] ; [35.5 30.5],1
p10,1,6e-06,20.601149,[294  38] ; [44 22],[281.94974874  50.05025126] ; [56.05025126  9.94974874],1
p7,1,1.2e-05,19.196429,[231  93] ; [27 36],[216. 108.] ; [42. 21.],1
p9,1,4.2e-05,16.794523,[302  28] ; [48 17],[292.40506329  37.59493671] ; [57.59493671  7.40506329],1
p11,1,0.001592,9.969261,[268  67] ; [41 25],[258.14214464  76.85785536] ; [50.85785536 15.14214464],0
p3,1,0.002947,8.839908,[191 144] ; [24 41],[180.0625 154.9375] ; [34.9375 30.0625],0
n5,1,0.005181,7.815188,[268  64] ; [43 23],[259.42713568  72.57286432] ; [51.57286432 14.42713568],0
s1,1,0.005986,7.554536,[ 13 317] ; [ 8 57],[ 17.5443038 312.4556962] ; [ 3.4556962 61.5443038],0
d4,1,0.007196,7.223419,[297  37] ; [49 15],[290.36180905  43.63819095] ; [55.63819095  8.36180905],0
d3,1,0.008501,6.924809,[248  87] ; [37 27],[239.28571429  95.71428571] ; [45.71428571 18.28571429],0
n4,1,0.013032,6.164735,[268  65] ; [44 22],[260.39097744  72.60902256] ; [51.60902256 14.39097744],0
a7,1,0.015314,5.879997,[251  83] ; [40 26],[242.985  91.015] ; [48.015 17.985],0
v4,1,0.017381,5.65749,[326   7] ; [61  5],[322.98496241  10.01503759] ; [64.01503759  1.98496241],0
s3,1,0.02969,4.727131,[302  31] ; [53 12],[297.02261307  35.97738693] ; [57.97738693  7.02261307],0
a6,1,0.035596,4.416334,[228 106] ; [35 29],[220.70854271 113.29145729] ; [42.29145729 21.70854271],0
n6,1,0.060826,3.51471,[293  38] ; [52 13],[288.37121212  42.62878788] ; [56.62878788  8.37121212],0
d1,1,0.06696,3.356016,[227 108] ; [37 29],[220.54862843 114.45137157] ; [43.45137157 22.54862843],0
r1,1,0.076312,3.141737,[282  51] ; [50 16],[277.08270677  55.91729323] ; [54.91729323 11.08270677],0
p6,1,0.107874,2.585089,[153 178] ; [23 42],[147.11111111 183.88888889] ; [28.88888889 36.11111111],0
r2,1,0.108716,2.572794,[320  11] ; [61  5],[317.65994962  13.34005038] ; [63.34005038  2.65994962],0
r3,1,0.113151,2.509646,[324   8] ; [62  4],[321.98994975  10.01005025] ; [64.01005025  1.98994975],0
p5,1,0.116029,2.470126,[ 51 283] ; [ 5 59],[ 46.99497487 287.00502513] ; [ 9.00502513 54.99497487],0
d5,1,0.129415,2.299505,[286  48] ; [50 14],[281.96984925  52.03015075] ; [54.03015075  9.96984925],0
b1,1,0.1307,2.284176,[129 206] ; [32 34],[134.50124688 200.49875312] ; [26.49875312 39.50124688],0
s7,1,0.143885,2.135911,[241  82] ; [40 21],[236.36197917  86.63802083] ; [44.63802083 16.36197917],0
a2,1,0.155009,2.022254,[100 235] ; [14 52],[ 95.23690773 239.76309227] ; [18.76309227 47.23690773],0
a3,1,0.189488,1.721597,[258  76] ; [46 20],[253.84  80.16] ; [50.16 15.84],0
s8,1,0.215197,1.536118,[222 112] ; [38 27],[217.64411028 116.35588972] ; [42.35588972 22.64411028],0
s5,1,0.218342,1.515237,[173 149] ; [29 35],[168.50777202 153.49222798] ; [33.49222798 30.50777202],0
u4,1,0.277172,1.180902,[ 11 324] ; [ 4 62],[ 12.53117207 322.46882793] ; [ 2.46882793 63.53117207],0
a8,1,0.390071,0.738721,[ 46 259] ; [ 7 57],[ 43.80758808 261.19241192] ; [ 9.19241192 54.80758808],0
s4,1,0.444247,0.585287,[ 80 249] ; [19 47],[ 82.45822785 246.54177215] ; [16.54177215 49.45822785],0
v2,1,0.510199,0.433659,[186 136] ; [38 23],[188.32375979 133.67624021] ; [35.67624021 25.32375979],0
b5,1,0.510293,0.433467,[209 126] ; [44 22],[211.35910224 123.64089776] ; [41.64089776 24.35910224],0
u2,1,0.560767,0.338377,[46 28] ; [11  9],[44.87234043 29.12765957] ; [12.12765957  7.87234043],0
n3,1,0.56906,0.324258,[48 19] ; [13  7],[46.97701149 20.02298851] ; [14.02298851  5.97701149],0
a5,1,0.626992,0.236162,[258  77] ; [49 17],[256.4713217  78.5286783] ; [50.5286783 15.4713217],0
r4,1,0.650774,0.204926,[310  25] ; [60  6],[309.10224439  25.89775561] ; [60.89775561  5.10224439],0
d2,1,0.69916,0.149347,[181 153] ; [33 31],[179.5879397 154.4120603] ; [34.4120603 29.5879397],0
u3,1,0.711058,0.137222,[52 23] ; [13  7],[51.31578947 23.68421053] ; [13.68421053  6.31578947],0
b4,1,0.717814,0.130596,[195 140] ; [40 26],[196.32169576 138.67830424] ; [38.67830424 27.32169576],0
u1,1,0.753283,0.098793,[ 77 258] ; [14 52],[ 76.02244389 258.97755611] ; [14.97755611 51.02244389],0
b2,1,0.793102,0.068793,[ 78 128] ; [15 27],[ 77.25 128.75] ; [15.75 26.25],0
b3,1,0.793102,0.068793,[ 78 128] ; [15 27],[ 77.25 128.75] ; [15.75 26.25],0
n1,1,0.794355,0.067944,[29 38] ; [ 8 12],[28.49425287 38.50574713] ; [ 8.50574713 11.49425287],0
v1,1,0.805905,0.060374,[187 137] ; [38 26],[187.88659794 136.11340206] ; [37.11340206 26.88659794],0
p12,1,0.86231,0.030079,[ 38 297] ; [ 7 59],[ 37.59351621 297.40648379] ; [ 7.40648379 58.59351621],0
v3,1,0.865096,0.028863,[137 188] ; [26 34],[137.5974026 187.4025974] ; [25.4025974 34.5974026],0
p1,1,0.92292,0.009362,[ 34 299] ; [ 7 59],[ 34.21804511 298.78195489] ; [ 6.78195489 59.21804511],0
n2,1,0.930861,0.007528,[53 14] ; [16  4],[53.13793103 13.86206897] ; [15.86206897  4.13793103],0
a4,1,0.944295,0.004882,[164 171] ; [32 34],[163.74064838 171.25935162] ; [32.25935162 33.74064838],0
a1,1,0.97741,0.000802,[ 20 315] ; [ 4 62],[ 20.04987531 314.95012469] ; [ 3.95012469 62.04987531],0
