Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,29.333333,[21 11] ; [ 4 44],[10. 22.] ; [15. 33.],1
s2,1,0.000477,12.204809,[20 12] ; [11 36],[12.55696203 19.44303797] ; [18.44303797 28.55696203],1
s3,1,0.001641,9.913552,[21 10] ; [14 31],[14.27631579 16.72368421] ; [20.72368421 24.27631579],0
n3,1,0.008,7.033493,[6 9] ; [13  2],[9.5 5.5] ; [9.5 5.5],0
u3,1,0.011412,6.4,[6 2] ; [ 6 18],[3. 5.] ; [ 9. 15.],0
d4,1,0.014154,6.018809,[28  4] ; [30 18],[23.2  8.8] ; [34.8 13.2],0
n5,1,0.017997,5.596468,[25  5] ; [27 20],[20.25974026  9.74025974] ; [31.74025974 15.25974026],0
n4,1,0.018422,5.555556,[25  7] ; [25 23],[20. 12.] ; [30. 18.],0
a3,1,0.020525,5.366653,[24  8] ; [23 24],[19.03797468 12.96202532] ; [27.96202532 19.03797468],0
s6,1,0.029419,4.742916,[19 12] ; [17 30],[14.30769231 16.69230769] ; [21.69230769 25.30769231],0
p6,1,0.036419,4.377373,[12 19] ; [ 8 38],[ 8.05194805 22.94805195] ; [11.94805195 34.05194805],0
b3,1,0.04808,3.907204,[11 15] ; [ 4 20],[ 7.8 18.2] ; [ 7.2 16.8],0
b2,1,0.04808,3.907204,[11 15] ; [ 4 20],[ 7.8 18.2] ; [ 7.2 16.8],0
a5,1,0.051526,3.791103,[23  9] ; [24 24],[18.8 13.2] ; [28.2 19.8],0
b4,1,0.065743,3.386243,[14 18] ; [31 17],[18. 14.] ; [27. 21.],0
p10,1,0.067435,3.344375,[28  3] ; [33 12],[24.88157895  6.11842105] ; [36.11842105  8.88157895],0
s4,1,0.091018,2.856271,[ 8 24] ; [ 5 42],[ 5.26582278 26.73417722] ; [ 7.73417722 39.26582278],0
p11,1,0.106621,2.60361,[26  6] ; [31 17],[22.8  9.2] ; [34.2 13.8],0
b1,1,0.120575,2.409839,[13 19] ; [28 20],[16.4 15.6] ; [24.6 23.4],0
p1,1,0.1388,2.191214,[ 1 31] ; [ 6 41],[ 2.83544304 29.16455696] ; [ 4.16455696 42.83544304],0
d5,1,0.139649,2.181818,[25  7] ; [30 18],[22. 10.] ; [33. 15.],0
v3,1,0.140643,2.17091,[11 21] ; [ 9 37],[ 8.20512821 23.79487179] ; [11.79487179 34.20512821],0
