Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,2e-06,22.259689,[38  9] ; [11 26],[27.41666667 19.58333333] ; [21.58333333 15.41666667],1
d4,1,0.011441,6.39553,[29 18] ; [32  5],[34.13095238 12.86904762] ; [26.86904762 10.13095238],0
n6,1,0.029634,4.730376,[32 14] ; [17 20],[27.15662651 18.84337349] ; [21.84337349 15.15662651],0
a1,1,0.035171,4.436849,[ 8 39] ; [ 1 36],[ 5.03571429 41.96428571] ; [ 3.96428571 33.03571429],0
r3,1,0.043351,4.081656,[27 20] ; [29  8],[31.33333333 15.66666667] ; [24.66666667 12.33333333],0
d5,1,0.095993,2.770887,[26 21] ; [27 10],[29.6547619 17.3452381] ; [23.3452381 13.6547619],0
p1,1,0.097588,2.744524,[ 6 41] ; [ 1 36],[ 3.91666667 43.08333333] ; [ 3.08333333 33.91666667],0
u1,1,0.097588,2.744524,[ 6 41] ; [ 1 36],[ 3.91666667 43.08333333] ; [ 3.08333333 33.91666667],0
a6,1,0.123935,2.366878,[27 20] ; [15 22],[23.5 23.5] ; [18.5 18.5],0
n1,1,0.163187,1.944444,[10 10] ; [ 4 11],[ 8. 12.] ; [6. 9.],0
v2,1,0.168357,1.89751,[14 33] ; [16 20],[16.98795181 30.01204819] ; [13.01204819 22.98795181],0
u2,1,0.179183,1.804386,[ 6 12] ; [9 7],[ 7.94117647 10.05882353] ; [7.05882353 8.94117647],0
p10,1,0.186318,1.746495,[10 36] ; [ 4 33],[ 7.75903614 38.24096386] ; [ 6.24096386 30.75903614],0
d3,1,0.231552,1.431304,[18 29] ; [19 18],[20.70238095 26.29761905] ; [16.29761905 20.70238095],0
v1,1,0.374415,0.788959,[10 37] ; [11 26],[11.75 35.25] ; [ 9.25 27.75],0
s2,1,0.374415,0.788959,[10 37] ; [11 26],[11.75 35.25] ; [ 9.25 27.75],0
n2,1,0.38479,0.755343,[12 10] ; [6 9],[10.7027027 11.2972973] ; [7.2972973 7.7027027],0
p3,1,0.385779,0.752206,[13 34] ; [ 7 29],[11.3253012 35.6746988] ; [ 8.6746988 27.3253012],0
p11,1,0.412236,0.672344,[18 29] ; [11 26],[16.22619048 30.77380952] ; [12.77380952 24.22619048],0
a2,1,0.419363,0.652099,[ 8 39] ; [ 4 33],[ 6.71428571 40.28571429] ; [ 5.28571429 31.71428571],0
d2,1,0.446663,0.579105,[25 21] ; [17 20],[23.27710843 22.72289157] ; [18.72289157 18.27710843],0
s4,1,0.461752,0.541645,[ 4 43] ; [ 5 32],[ 5.03571429 41.96428571] ; [ 3.96428571 33.03571429],0
d1,1,0.480284,0.498217,[18 29] ; [17 20],[19.58333333 27.41666667] ; [15.41666667 21.58333333],0
a5,1,0.565651,0.330015,[25 22] ; [22 15],[26.29761905 20.70238095] ; [20.70238095 16.29761905],0
r4,1,0.565651,0.330015,[25 22] ; [22 15],[26.29761905 20.70238095] ; [20.70238095 16.29761905],0
s5,1,0.583206,0.30108,[ 7 40] ; [ 7 29],[ 7.92771084 39.07228916] ; [ 6.07228916 29.92771084],0
s3,1,0.591841,0.287478,[17 30] ; [11 25],[15.85542169 31.14457831] ; [12.14457831 23.85542169],0
s8,1,0.614485,0.253695,[ 7 40] ; [ 4 32],[ 6.22891566 40.77108434] ; [ 4.77108434 31.22891566],0
p7,1,0.642488,0.215503,[13 32] ; [ 9 28],[12.07317073 32.92682927] ; [ 9.92682927 27.07317073],0
p8,1,0.654426,0.200365,[ 7 39] ; [ 7 30],[ 7.75903614 38.24096386] ; [ 6.24096386 30.75903614],0
a7,1,0.67923,0.170994,[25 22] ; [18 19],[24.05952381 22.94047619] ; [18.94047619 18.05952381],0
a3,1,0.704895,0.14343,[28 18] ; [21 16],[27.15662651 18.84337349] ; [21.84337349 15.15662651],0
p6,1,0.714494,0.133829,[ 4 42] ; [ 4 32],[ 4.48780488 41.51219512] ; [ 3.51219512 32.48780488],0
v4,1,0.720565,0.127952,[30 17] ; [25 12],[30.77380952 16.22619048] ; [24.22619048 12.77380952],0
b2,1,0.74069,0.109521,[12 23] ; [ 7 11],[12.54716981 22.45283019] ; [ 6.45283019 11.54716981],0
b3,1,0.74069,0.109521,[12 23] ; [ 7 11],[12.54716981 22.45283019] ; [ 6.45283019 11.54716981],0
s6,1,0.755958,0.096593,[18 29] ; [15 21],[18.68674699 28.31325301] ; [14.31325301 21.68674699],0
b1,1,0.794827,0.067625,[28 19] ; [21 16],[27.41666667 19.58333333] ; [21.58333333 15.41666667],0
p4,1,0.822366,0.050401,[10 35] ; [ 9 28],[10.42682927 34.57317073] ; [ 8.57317073 28.42682927],0
b4,1,0.852642,0.034503,[27 20] ; [22 15],[27.41666667 19.58333333] ; [21.58333333 15.41666667],0
s1,1,0.857584,0.032202,[ 7 40] ; [ 5 32],[ 6.71428571 40.28571429] ; [ 5.28571429 31.71428571],0
b5,1,0.866865,0.028104,[22 25] ; [18 19],[22.38095238 24.61904762] ; [17.61904762 19.38095238],0
v3,1,0.873125,0.025501,[14 33] ; [11 24],[14.32926829 32.67073171] ; [10.67073171 24.32926829],0
u3,1,0.876682,0.02408,[ 9 10] ; [8 8],[9.22857143 9.77142857] ; [7.77142857 8.22857143],0
a4,1,0.904277,0.014463,[18 28] ; [14 23],[17.73493976 28.26506024] ; [14.26506024 22.73493976],0
s7,1,0.914984,0.011397,[10 35] ; [ 7 26],[ 9.80769231 35.19230769] ; [ 7.19230769 25.80769231],0
n3,1,0.948139,0.004231,[ 9 11] ; [6 7],[ 9.09090909 10.90909091] ; [5.90909091 7.09090909],0
r1,1,0.96562,0.001858,[29 18] ; [23 14],[29.0952381 17.9047619] ; [22.9047619 14.0952381],0
r2,1,0.989073,0.000188,[37  9] ; [29  7],[37.02439024  8.97560976] ; [28.97560976  7.02439024],0
