Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.004712,7.986926,[5 2] ; [ 2 14],[2.13043478 4.86956522] ; [ 4.86956522 11.13043478],0
s4,1,0.024865,5.033263,[4 3] ; [ 2 14],[1.82608696 5.17391304] ; [ 4.17391304 11.82608696],0
d2,1,0.035791,4.407029,[5 2] ; [ 4 12],[2.73913043 4.26086957] ; [6.26086957 9.73913043],0
v2,1,0.065584,3.390226,[4 3] ; [ 3 13],[2.13043478 4.86956522] ; [ 4.86956522 11.13043478],0
a4,1,0.065584,3.390226,[4 3] ; [ 3 13],[2.13043478 4.86956522] ; [ 4.86956522 11.13043478],0
b1,1,0.073691,3.198832,[5 2] ; [ 5 11],[3.04347826 3.95652174] ; [6.95652174 9.04347826],0
d3,1,0.073691,3.198832,[5 2] ; [ 5 11],[3.04347826 3.95652174] ; [6.95652174 9.04347826],0
s5,1,0.104355,2.637698,[3 4] ; [ 2 14],[1.52173913 5.47826087] ; [ 3.47826087 12.52173913],0
b4,1,0.106345,2.60771,[6 1] ; [8 8],[4.26086957 2.73913043] ; [9.73913043 6.26086957],0
r2,1,0.106345,2.60771,[6 1] ; [8 8],[4.26086957 2.73913043] ; [9.73913043 6.26086957],0
b3,1,0.124283,2.3625,[3 3] ; [1 7],[1.71428571 4.28571429] ; [2.28571429 5.71428571],0
b2,1,0.124283,2.3625,[3 3] ; [1 7],[1.71428571 4.28571429] ; [2.28571429 5.71428571],0
p8,1,0.12506,2.352778,[1 5] ; [8 7],[2.57142857 3.42857143] ; [6.42857143 8.57142857],0
a5,1,0.133918,2.246483,[5 2] ; [ 6 10],[3.34782609 3.65217391] ; [7.65217391 8.34782609],0
p11,1,0.221433,1.495062,[5 2] ; [7 9],[3.65217391 3.34782609] ; [8.34782609 7.65217391],0
r4,1,0.225709,1.4677,[3 4] ; [ 3 13],[1.82608696 5.17391304] ; [ 4.17391304 11.82608696],0
p10,1,0.241696,1.370677,[4 3] ; [ 5 11],[2.73913043 4.26086957] ; [6.26086957 9.73913043],0
n6,1,0.241696,1.370677,[4 3] ; [ 5 11],[2.73913043 4.26086957] ; [6.26086957 9.73913043],0
d4,1,0.265572,1.239477,[6 1] ; [10  6],[4.86956522 2.13043478] ; [11.13043478  4.86956522],0
n5,1,0.265572,1.239477,[1 6] ; [ 6 10],[2.13043478 4.86956522] ; [ 4.86956522 11.13043478],0
s6,1,0.381905,0.76456,[4 3] ; [ 6 10],[3.04347826 3.95652174] ; [6.95652174 9.04347826],0
p9,1,0.381905,0.76456,[4 3] ; [ 6 10],[3.04347826 3.95652174] ; [6.95652174 9.04347826],0
v1,1,0.391777,0.733418,[3 4] ; [ 4 12],[2.13043478 4.86956522] ; [ 4.86956522 11.13043478],0
p3,1,0.391777,0.733418,[3 4] ; [ 4 12],[2.13043478 4.86956522] ; [ 4.86956522 11.13043478],0
s2,1,0.393921,0.726803,[1 6] ; [ 5 11],[1.82608696 5.17391304] ; [ 4.17391304 11.82608696],0
a6,1,0.492519,0.471018,[2 5] ; [7 9],[2.73913043 4.26086957] ; [6.26086957 9.73913043],0
a7,1,0.55409,0.350041,[3 4] ; [9 7],[3.65217391 3.34782609] ; [8.34782609 7.65217391],0
n2,1,0.57075,0.321429,[1 1] ; [2 5],[0.66666667 1.33333333] ; [2.33333333 4.66666667],0
p4,1,0.590726,0.289211,[3 4] ; [ 5 11],[2.43478261 4.56521739] ; [ 5.56521739 10.43478261],0
r3,1,0.679109,0.171131,[5 2] ; [10  6],[4.56521739 2.43478261] ; [10.43478261  5.56521739],0
b5,1,0.75235,0.099567,[3 4] ; [8 8],[3.34782609 3.65217391] ; [7.65217391 8.34782609],0
p6,1,0.794935,0.067552,[1 6] ; [ 3 13],[1.2173913 5.7826087] ; [ 2.7826087 13.2173913],0
r1,1,0.808605,0.058673,[3 4] ; [ 6 10],[2.73913043 4.26086957] ; [6.26086957 9.73913043],0
s3,1,0.808605,0.058673,[3 4] ; [ 6 10],[2.73913043 4.26086957] ; [6.26086957 9.73913043],0
p7,1,0.808605,0.058673,[3 4] ; [ 6 10],[2.73913043 4.26086957] ; [6.26086957 9.73913043],0
p1,1,0.906855,0.01369,[1 6] ; [ 2 14],[0.91304348 6.08695652] ; [ 2.08695652 13.91304348],0
v3,1,0.910162,0.012731,[1 5] ; [ 3 13],[1.09090909 4.90909091] ; [ 2.90909091 13.09090909],0
p2,1,0.968296,0.00158,[3 4] ; [7 9],[3.04347826 3.95652174] ; [6.95652174 9.04347826],0
