Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,153.048345,[276  26] ; [34 73],[228.8997555  73.1002445] ; [81.1002445 25.8997555],1
s6,1,0.0,48.381588,[273  25] ; [68 40],[250.29064039  47.70935961] ; [90.70935961 17.29064039],1
s5,1,0.0,32.327778,[156 132] ; [24 84],[130.90909091 157.09090909] ; [49.09090909 58.90909091],1
s8,1,4.1e-05,16.805409,[226  77] ; [57 50],[209.14390244  93.85609756] ; [73.85609756 33.14390244],1
s4,1,0.001947,9.598896,[ 77 226] ; [12 96],[ 65.61313869 237.38686131] ; [23.38686131 84.61313869],0
v4,1,0.003967,8.299074,[300   4] ; [100   7],[295.86374696   8.13625304] ; [104.13625304   2.86374696],0
p9,1,0.004561,8.04582,[276  26] ; [87 20],[268.03422983  33.96577017] ; [94.96577017 12.03422983],0
d1,1,0.018019,5.594292,[208  97] ; [60 48],[197.91767554 107.08232446] ; [70.08232446 37.91767554],0
s1,1,0.032283,4.583423,[ 18 283] ; [  1 107],[ 13.98288509 287.01711491] ; [  5.01711491 102.98288509],0
n5,1,0.033239,4.533433,[252  50] ; [80 28],[244.54634146  57.45365854] ; [87.45365854 20.54634146],0
v1,1,0.049994,3.841657,[181 116] ; [53 53],[172.4516129 124.5483871] ; [61.5483871 44.4516129],0
u4,1,0.064675,3.413245,[ 15 290] ; [  1 107],[ 11.81598063 293.18401937] ; [  4.18401937 103.81598063],0
a4,1,0.071516,3.247881,[162 143] ; [46 61],[153.98058252 151.01941748] ; [54.01941748 52.98058252],0
p6,1,0.090213,2.870572,[148 153] ; [42 64],[140.51597052 160.48402948] ; [49.48402948 56.51597052],0
r4,1,0.103995,2.64318,[290  15] ; [98 10],[286.53753027  18.46246973] ; [101.46246973   6.53753027],0
v2,1,0.106624,2.60356,[185 110] ; [57 49],[178.02992519 116.97007481] ; [63.97007481 42.02992519],0
a1,1,0.116894,2.458449,[ 21 284] ; [  3 105],[ 17.72397094 287.27602906] ; [  6.27602906 101.72397094],0
n4,1,0.121715,2.395111,[258  45] ; [85 23],[252.86861314  50.13138686] ; [90.13138686 17.86861314],0
b5,1,0.124965,2.353965,[184 121] ; [56 52],[177.23970944 127.76029056] ; [62.76029056 45.23970944],0
d5,1,0.125118,2.352051,[257  45] ; [85 23],[251.91219512  50.08780488] ; [90.08780488 17.91219512],0
d2,1,0.130129,2.290967,[177 126] ; [54 54],[170.29927007 132.70072993] ; [60.70072993 47.29927007],0
