Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,88.53049,[ 50 226] ; [75 36],[ 89.14728682 186.85271318] ; [35.85271318 75.14728682],1
s6,1,0.0,75.582564,[104 184] ; [96 18],[143.28358209 144.71641791] ; [56.71641791 57.28358209],1
s3,1,0.0,54.984682,[ 94 192] ; [84 30],[127.27 158.73] ; [50.73 63.27],1
s2,1,0.0,53.699093,[ 66 221] ; [70 44],[ 97.33665835 189.66334165] ; [38.66334165 75.33665835],1
p4,1,1e-06,24.32033,[121 167] ; [79 35],[143.28358209 144.71641791] ; [56.71641791 57.28358209],1
p10,1,2.1e-05,18.087957,[177 107] ; [96 18],[194.8040201  89.1959799] ; [78.1959799 35.8040201],1
p9,1,4.5e-05,16.647169,[191  91] ; [100  14],[207.22727273  74.77272727] ; [83.77272727 30.22727273],1
p6,1,5.8e-05,16.182754,[ 59 223] ; [46 67],[ 74.96202532 207.03797468] ; [30.03797468 82.96202532],1
p3,1,0.000111,14.945885,[ 87 200] ; [58 56],[103.77805486 183.22194514] ; [41.22194514 72.77805486],1
p11,1,0.00073,11.41103,[195  94] ; [96 18],[208.68238213  80.31761787] ; [82.31761787 31.68238213],1
p5,1,0.001075,10.6934,[  8 280] ; [ 12 100],[ 14.4 273.6] ; [  5.6 106.4],0
r4,1,0.001169,10.539374,[213  76] ; [101  13],[225.17617866  63.82382134] ; [88.82382134 25.17617866],0
v4,1,0.001376,10.237856,[244  43] ; [109   4],[253.2775  33.7225] ; [99.7225 13.2775],0
p7,1,0.001664,9.887912,[139 144] ; [74 37],[152.99238579 130.00761421] ; [60.00761421 50.99238579],0
p8,1,0.002104,9.45644,[113 172] ; [64 49],[126.74623116 158.25376884] ; [50.25376884 62.74623116],0
d2,1,0.002585,9.079529,[102 186] ; [59 55],[115.34328358 172.65671642] ; [45.65671642 68.34328358],0
r3,1,0.005015,7.873962,[246  41] ; [109   5],[254.07730673  32.92269327] ; [100.92269327  13.07730673],0
r1,1,0.006044,7.537205,[189  99] ; [90 23],[200.37905237  87.62094763] ; [78.62094763 34.37905237],0
p12,1,0.008207,6.987705,[  4 283] ; [  7 106],[  7.8925 279.1075] ; [  3.1075 109.8925],0
u3,1,0.008825,6.857819,[55 65] ; [23  9],[61.57894737 58.42105263] ; [16.42105263 15.57894737],0
n6,1,0.009199,6.783868,[206  81] ; [96 18],[216.1446384  70.8553616] ; [85.8553616 28.1446384],0
a3,1,0.010513,6.545869,[167 120] ; [82 32],[178.21197007 108.78802993] ; [70.78802993 43.21197007],0
p2,1,0.012907,6.181823,[211  77] ; [96 17],[220.48877805  67.51122195] ; [86.51122195 26.48877805],0
r2,1,0.013802,6.06325,[241  44] ; [105   7],[248.38790932  36.61209068] ; [97.61209068 14.38790932],0
d1,1,0.025072,5.018908,[124 165] ; [63 51],[134.10173697 154.89826303] ; [52.89826303 61.10173697],0
a5,1,0.027677,4.848078,[174 115] ; [82 32],[183.58312655 105.41687345] ; [72.41687345 41.58312655],0
u1,1,0.028769,4.781382,[ 30 259] ; [21 93],[ 36.57320099 252.42679901] ; [14.42679901 99.57320099],0
u2,1,0.074929,3.1716,[58 63] ; [21 11],[62.47712418 58.52287582] ; [16.52287582 15.47712418],0
n4,1,0.075732,3.154193,[189 100] ; [85 29],[196.49131514  92.50868486] ; [77.50868486 36.49131514],0
s4,1,0.107652,2.588354,[ 35 251] ; [21 93],[ 40.04 245.96] ; [15.96 98.04],0
n5,1,0.13678,2.213819,[188  98] ; [83 30],[194.25062657  91.74937343] ; [76.74937343 36.25062657],0
a2,1,0.153567,2.036455,[ 46 243] ; [25 89],[ 50.91563275 238.08436725] ; [20.08436725 93.91563275],0
b1,1,0.327878,0.95726,[127 162] ; [44 70],[122.62779156 166.37220844] ; [48.37220844 65.62779156],0
a4,1,0.330871,0.945487,[103 183] ; [47 67],[107.25 178.75] ; [42.75 71.25],0
n3,1,0.353679,0.860215,[64 29] ; [16 11],[62. 31.] ; [18.  9.],0
d5,1,0.365258,0.819733,[207  81] ; [87 27],[210.62686567  77.37313433] ; [83.37313433 30.62686567],0
p1,1,0.369392,0.805708,[ 16 272] ; [  9 104],[ 17.95511222 270.04488778] ; [  7.04488778 105.95511222],0
v1,1,0.43774,0.602199,[103 182] ; [44 65],[106.33248731 178.66751269] ; [40.66751269 68.33248731],0
v2,1,0.459093,0.548104,[100 178] ; [44 66],[103.17525773 174.82474227] ; [40.82474227 69.17525773],0
a8,1,0.464765,0.534395,[ 28 240] ; [14 93],[ 30.016 237.984] ; [11.984 95.016],0
a6,1,0.46758,0.527689,[196  93] ; [73 41],[192.9057072  96.0942928] ; [76.0942928 37.9057072],0
a1,1,0.467643,0.527539,[ 12 277] ; [  3 111],[ 10.75682382 278.24317618] ; [  4.24317618 109.75682382],0
b4,1,0.476622,0.506583,[156 133] ; [66 48],[159.20099256 129.79900744] ; [62.79900744 51.20099256],0
n2,1,0.545799,0.364896,[61 32] ; [16 11],[59.675 33.325] ; [17.325  9.675],0
u4,1,0.558475,0.342352,[  3 286] ; [  2 112],[  3.58560794 285.41439206] ; [  1.41439206 112.58560794],0
d4,1,0.586057,0.296545,[207  81] ; [85 29],[209.19402985  78.80597015] ; [82.80597015 31.19402985],0
n1,1,0.609334,0.261146,[34 60] ; [ 8 18],[32.9 61.1] ; [ 9.1 16.9],0
b2,1,0.713282,0.135021,[ 48 103] ; [26 50],[ 49.2246696 101.7753304] ; [24.7753304 51.2246696],0
b3,1,0.713282,0.135021,[ 48 103] ; [26 50],[ 49.2246696 101.7753304] ; [24.7753304 51.2246696],0
