Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,58.634786,[110   8] ; [ 8 19],[96.02758621 21.97241379] ; [21.97241379  5.02758621],1
p11,1,7.6e-05,15.64552,[95 24] ; [12 16],[86.61904762 32.38095238] ; [20.38095238  7.61904762],1
r4,1,0.000149,14.383395,[109  10] ; [18 10],[102.80952381  16.19047619] ; [24.19047619  3.80952381],1
p2,1,0.00015,14.369646,[95 22] ; [13 15],[87.14482759 29.85517241] ; [20.85517241  7.14482759],1
p7,1,0.00073,11.411833,[80 37] ; [ 9 18],[72.3125 44.6875] ; [16.6875 10.3125],1
p6,1,0.002457,9.172311,[49 67] ; [ 3 24],[42.18181818 73.81818182] ; [ 9.81818182 17.18181818],0
p3,1,0.004919,7.908828,[68 49] ; [ 8 20],[61.32413793 55.67586207] ; [14.67586207 13.32413793],0
r3,1,0.007115,7.243788,[112   7] ; [21  6],[108.40410959  10.59589041] ; [24.59589041  2.40410959],0
p4,1,0.011081,6.452294,[73 45] ; [ 9 17],[67.19444444 50.80555556] ; [14.80555556 11.19444444],0
v4,1,0.021863,5.256665,[115   4] ; [24  4],[112.52380952   6.47619048] ; [26.47619048  1.52380952],0
p8,1,0.028693,4.785953,[64 52] ; [ 9 19],[58.80555556 57.19444444] ; [14.19444444 13.80555556],0
s8,1,0.044547,4.035705,[46 72] ; [ 5 22],[41.50344828 76.49655172] ; [ 9.49655172 17.50344828],0
v1,1,0.046614,3.959278,[78 39] ; [13 15],[73.42758621 43.57241379] ; [17.57241379 10.42758621],0
v2,1,0.051768,3.783251,[91 25] ; [17 11],[87. 29.] ; [21.  7.],0
u2,1,0.054321,3.702813,[22 10] ; [3 6],[19.51219512 12.48780488] ; [5.48780488 3.51219512],0
p5,1,0.058543,3.578196,[21 97] ; [ 1 27],[ 17.78082192 100.21917808] ; [ 4.21917808 23.78082192],0
a5,1,0.062915,3.458824,[89 30] ; [16 12],[85. 34.] ; [20.  8.],0
n2,1,0.083053,3.00412,[13 10] ; [8 1],[15.09375  7.90625] ; [5.90625 3.09375],0
d1,1,0.089555,2.882353,[72 47] ; [12 16],[68. 51.] ; [16. 12.],0
b1,1,0.105597,2.618912,[40 79] ; [14 14],[43.71428571 75.28571429] ; [10.28571429 17.71428571],0
s1,1,0.114828,2.48648,[  2 115] ; [ 2 26],[  3.22758621 113.77241379] ; [ 0.77241379 27.22758621],0
s5,1,0.118857,2.432315,[29 87] ; [ 3 24],[25.95804196 90.04195804] ; [ 6.04195804 20.95804196],0
r1,1,0.139284,2.18585,[96 23] ; [19  9],[93.0952381 25.9047619] ; [21.9047619  6.0952381],0
n1,1,0.149443,2.077922,[ 5 17] ; [4 4],[ 6.6 15.4] ; [2.4 5.6],0
n3,1,0.212662,1.553209,[17  6] ; [4 4],[15.58064516  7.41935484] ; [5.41935484 2.58064516],0
b5,1,0.21807,1.517028,[70 49] ; [20  8],[72.85714286 46.14285714] ; [17.14285714 10.85714286],0
n5,1,0.249861,1.324081,[93 26] ; [19  9],[90.66666667 28.33333333] ; [21.33333333  6.66666667],0
s7,1,0.250714,1.319319,[44 65] ; [ 7 18],[41.48507463 67.51492537] ; [ 9.51492537 15.48507463],0
b4,1,0.299335,1.077155,[68 51] ; [19  9],[70.42857143 48.57142857] ; [16.57142857 11.42857143],0
a3,1,0.317506,0.999192,[87 31] ; [18 10],[84.8630137 33.1369863] ; [20.1369863  7.8630137],0
s6,1,0.347974,0.880833,[55 62] ; [10 17],[52.8125 64.1875] ; [12.1875 14.8125],0
u1,1,0.371848,0.79748,[21 98] ; [ 3 25],[19.42857143 99.57142857] ; [ 4.57142857 23.42857143],0
s4,1,0.393086,0.729376,[ 10 107] ; [ 1 26],[  8.9375 108.0625] ; [ 2.0625 24.9375],0
a8,1,0.393812,0.727139,[15 85] ; [ 2 22],[13.70967742 86.29032258] ; [ 3.29032258 20.70967742],0
d4,1,0.408076,0.684399,[98 21] ; [24  3],[99.43835616 19.56164384] ; [22.56164384  4.43835616],0
a4,1,0.435312,0.608609,[56 62] ; [11 17],[54.15068493 63.84931507] ; [12.84931507 15.15068493],0
d5,1,0.435886,0.607088,[97 22] ; [21  7],[95.52380952 23.47619048] ; [22.47619048  5.52380952],0
s2,1,0.435962,0.606888,[ 19 100] ; [ 6 21],[20.37671233 98.62328767] ; [ 4.62328767 22.37671233],0
