Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,4.2e-05,16.790949,[62 22] ; [ 5 15],[54.11538462 29.88461538] ; [12.88461538  7.11538462],1
d3,1,0.005746,7.628205,[68 17] ; [10 10],[63.14285714 21.85714286] ; [14.85714286  5.14285714],0
p10,1,0.006004,7.549133,[53 30] ; [ 6 14],[47.54368932 35.45631068] ; [11.45631068  8.54368932],0
p9,1,0.008989,6.825,[63 21] ; [ 9 11],[58.15384615 25.84615385] ; [13.84615385  6.15384615],0
n5,1,0.011131,6.444288,[59 25] ; [ 8 12],[54.11538462 29.88461538] ; [12.88461538  7.11538462],0
s7,1,0.013225,6.138793,[48 29] ; [ 5 12],[43.41489362 33.58510638] ; [9.58510638 7.41489362],0
r4,1,0.025607,4.982353,[76  9] ; [14  6],[72.85714286 12.14285714] ; [17.14285714  2.85714286],0
n6,1,0.032004,4.598298,[69 15] ; [12  8],[65.42307692 18.57692308] ; [15.57692308  4.42307692],0
p7,1,0.033764,4.506616,[52 33] ; [ 7 13],[47.76190476 37.23809524] ; [11.23809524  8.76190476],0
v4,1,0.033987,4.495375,[78  7] ; [15  5],[75.28571429  9.71428571] ; [17.71428571  2.28571429],0
p6,1,0.038704,4.273806,[38 46] ; [ 4 16],[33.92307692 50.07692308] ; [ 8.07692308 11.92307692],0
s8,1,0.043493,4.076148,[42 42] ; [ 5 15],[37.96153846 46.03846154] ; [ 9.03846154 10.96153846],0
a7,1,0.046764,3.953877,[62 23] ; [10 10],[58.28571429 26.71428571] ; [13.71428571  6.28571429],0
r2,1,0.079623,3.072584,[78  6] ; [16  4],[75.92307692  8.07692308] ; [18.07692308  1.92307692],0
r1,1,0.084747,2.971429,[66 18] ; [12  8],[63. 21.] ; [15.  5.],0
b2,1,0.101732,2.67818,[ 9 38] ; [5 7],[11.15254237 35.84745763] ; [2.84745763 9.15254237],0
b3,1,0.101732,2.67818,[ 9 38] ; [5 7],[11.15254237 35.84745763] ; [2.84745763 9.15254237],0
s1,1,0.104391,2.637141,[ 4 79] ; [ 3 17],[ 5.6407767 77.3592233] ; [ 1.3592233 18.6407767],0
a1,1,0.107968,2.583722,[ 2 83] ; [ 2 18],[ 3.23809524 81.76190476] ; [ 0.76190476 19.23809524],0
s6,1,0.145367,2.120205,[65 16] ; [13  7],[62.55445545 18.44554455] ; [15.44554455  4.55445545],0
p3,1,0.155633,2.016157,[53 32] ; [ 9 11],[50.19047619 34.80952381] ; [11.80952381  8.19047619],0
b4,1,0.184039,1.764706,[48 37] ; [ 8 12],[45.33333333 39.66666667] ; [10.66666667  9.33333333],0
v1,1,0.192775,1.696282,[43 41] ; [ 7 13],[40.38461538 43.61538462] ; [ 9.61538462 10.38461538],0
a5,1,0.221083,1.497326,[56 29] ; [16  4],[58.28571429 26.71428571] ; [13.71428571  6.28571429],0
p8,1,0.255265,1.294256,[39 46] ; [ 6 13],[36.77884615 48.22115385] ; [ 8.22115385 10.77884615],0
a6,1,0.262258,1.2568,[50 35] ; [ 9 11],[47.76190476 37.23809524] ; [11.23809524  8.76190476],0
s2,1,0.281473,1.159965,[53 31] ; [10 10],[50.88461538 33.11538462] ; [12.11538462  7.88461538],0
p5,1,0.291401,1.113136,[12 73] ; [ 1 18],[10.625 74.375] ; [ 2.375 16.625],0
v2,1,0.296117,1.091599,[39 44] ; [12  8],[41.09708738 41.90291262] ; [ 9.90291262 10.09708738],0
s3,1,0.310297,1.029412,[53 32] ; [10 10],[51. 34.] ; [12.  8.],0
a4,1,0.354185,0.858408,[37 48] ; [11  9],[38.85714286 46.14285714] ; [ 9.14285714 10.85714286],0
r3,1,0.363403,0.826099,[77  7] ; [17  3],[75.92307692  8.07692308] ; [18.07692308  1.92307692],0
b5,1,0.418942,0.653281,[55 30] ; [11  9],[53.42857143 31.57142857] ; [12.57142857  7.42857143],0
v3,1,0.448019,0.57566,[29 54] ; [ 8 10],[30.40594059 52.59405941] ; [ 6.59405941 11.40594059],0
n2,1,0.453129,0.562812,[16  7] ; [5 4],[15.09375  7.90625] ; [5.90625 3.09375],0
n1,1,0.457459,0.552105,[11 12] ; [3 6],[10.0625 12.9375] ; [3.9375 5.0625],0
s5,1,0.473332,0.514186,[32 47] ; [ 6 13],[30.63265306 48.36734694] ; [ 7.36734694 11.63265306],0
a8,1,0.500884,0.453064,[ 8 66] ; [ 1 17],[ 7.23913043 66.76086957] ; [ 1.76086957 16.23913043],0
b1,1,0.600557,0.274157,[48 37] ; [10 10],[46.95238095 38.04761905] ; [11.04761905  8.95238095],0
d5,1,0.621056,0.244387,[68 17] ; [15  5],[67.19047619 17.80952381] ; [15.80952381  4.19047619],0
