Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,53.302582,[155  21] ; [10 22],[139.61538462  36.38461538] ; [25.38461538  6.61538462],1
n6,1,4e-06,21.520521,[153  21] ; [18 15],[143.73913043  30.26086957] ; [27.26086957  5.73913043],1
n5,1,1.7e-05,18.499961,[148  27] ; [17 16],[138.82211538  36.17788462] ; [26.17788462  6.82211538],1
a3,1,2.5e-05,17.781843,[133  42] ; [13 20],[122.83653846  52.16346154] ; [23.16346154  9.83653846],1
d4,1,0.000105,15.050782,[139  36] ; [15 17],[130.19323671  44.80676329] ; [23.80676329  8.19323671],1
p11,1,0.000715,11.449055,[147  29] ; [19 14],[139.78947368  36.21052632] ; [26.21052632  6.78947368],1
b3,1,0.00135,10.272606,[54 61] ; [ 2 19],[47.35294118 67.64705882] ; [ 8.64705882 12.35294118],0
b2,1,0.00135,10.272606,[54 61] ; [ 2 19],[47.35294118 67.64705882] ; [ 8.64705882 12.35294118],0
s6,1,0.001632,9.923589,[116  54] ; [13 20],[108.02955665  61.97044335] ; [20.97044335 12.02955665],0
a5,1,0.003274,8.648389,[126  50] ; [15 18],[118.73684211  57.26315789] ; [22.26315789 10.73684211],0
p8,1,0.003389,8.585083,[101  73] ; [10 23],[93.30434783 80.69565217] ; [17.69565217 15.30434783],0
r2,1,0.003664,8.443438,[157  16] ; [24  9],[152.00485437  20.99514563] ; [28.99514563  4.00485437],0
n4,1,0.008754,6.872322,[146  29] ; [21 12],[140.50480769  34.49519231] ; [26.49519231  6.50480769],0
p4,1,0.010037,6.628285,[106  69] ; [12 21],[99.27884615 75.72115385] ; [18.72115385 14.27884615],0
r3,1,0.013227,6.138453,[163  13] ; [26  7],[159.15789474  16.84210526] ; [29.84210526  3.15789474],0
s7,1,0.016304,5.769841,[97 73] ; [10 20],[90.95 79.05] ; [16.05 13.95],0
s8,1,0.022264,5.225,[86 90] ; [ 9 24],[80. 96.] ; [15. 18.],0
r4,1,0.023899,5.101975,[147  29] ; [22 11],[142.31578947  33.68421053] ; [26.68421053  6.31578947],0
p3,1,0.0295,4.738217,[95 81] ; [11 22],[89.26315789 86.73684211] ; [16.73684211 16.26315789],0
d1,1,0.032391,4.577673,[89 87] ; [10 23],[83.36842105 92.63157895] ; [15.63157895 17.36842105],0
v1,1,0.043258,4.085277,[95 76] ; [12 21],[89.69117647 81.30882353] ; [17.30882353 15.69117647],0
p5,1,0.064957,3.406068,[ 26 150] ; [ 1 32],[ 22.73684211 153.26315789] ; [ 4.26315789 28.73684211],0
d5,1,0.07827,3.100468,[132  43] ; [20 13],[127.88461538  47.11538462] ; [24.11538462  8.88461538],0
v2,1,0.081027,3.044186,[88 84] ; [11 21],[83.47058824 88.52941176] ; [15.52941176 16.47058824],0
n1,1,0.093866,2.806784,[19 28] ; [ 2 11],[16.45 30.55] ; [4.55 8.45],0
v3,1,0.09792,2.739094,[ 70 103] ; [ 8 24],[ 65.82439024 107.17560976] ; [12.17560976 19.82439024],0
s4,1,0.116762,2.460231,[ 29 147] ; [ 9 23],[ 32.15384615 143.84615385] ; [ 5.84615385 26.15384615],0
s1,1,0.122537,2.384595,[  3 173] ; [ 2 30],[  4.23076923 171.76923077] ; [ 0.76923077 31.23076923],0
u2,1,0.123995,2.366118,[19 24] ; [13  7],[21.84126984 21.15873016] ; [10.15873016  9.84126984],0
a4,1,0.135736,2.225646,[80 96] ; [10 22],[76.15384615 99.84615385] ; [13.84615385 18.15384615],0
s5,1,0.143472,2.140317,[ 69 100] ; [ 9 24],[ 65.25742574 103.74257426] ; [12.74257426 20.25742574],0
u3,1,0.25241,1.309915,[13 30] ; [ 9 11],[15.01587302 27.98412698] ; [ 6.98412698 13.01587302],0
b1,1,0.253075,1.30625,[77 99] ; [18 15],[80. 96.] ; [15. 18.],0
b5,1,0.317412,0.999579,[86 90] ; [13 20],[83.36842105 92.63157895] ; [15.63157895 17.36842105],0
n3,1,0.387955,0.745342,[32 14] ; [8 6],[30.66666667 15.33333333] ; [9.33333333 4.66666667],0
s2,1,0.390674,0.736843,[86 90] ; [13 19],[83.76923077 92.23076923] ; [15.23076923 16.76923077],0
p6,1,0.457842,0.551164,[ 66 107] ; [10 22],[ 64.13658537 108.86341463] ; [11.86341463 20.13658537],0
p12,1,0.461919,0.54124,[ 11 164] ; [ 1 32],[ 10.09615385 164.90384615] ; [ 1.90384615 31.09615385],0
a1,1,0.465642,0.532299,[ 11 165] ; [ 1 32],[ 10.10526316 165.89473684] ; [ 1.89473684 31.10526316],0
a2,1,0.509343,0.435417,[ 17 159] ; [ 2 31],[ 16. 160.] ; [ 3. 30.],0
b4,1,0.559717,0.340195,[97 79] ; [20 13],[98.52631579 77.47368421] ; [18.47368421 14.52631579],0
v4,1,0.577521,0.31026,[163  12] ; [28  3],[162.25728155  12.74271845] ; [28.74271845  2.25728155],0
s3,1,0.619216,0.246971,[103  71] ; [18 15],[101.71014493  72.28985507] ; [19.28985507 13.71014493],0
a6,1,0.626897,0.236292,[ 72 104] ; [15 18],[ 73.26315789 102.73684211] ; [13.73684211 19.26315789],0
p7,1,0.635175,0.225108,[120  55] ; [24  9],[121.15384615  53.84615385] ; [22.84615385 10.15384615],0
a8,1,0.675758,0.17494,[ 21 144] ; [ 3 27],[ 20.30769231 144.69230769] ; [ 3.69230769 26.30769231],0
p1,1,0.707286,0.141003,[ 14 162] ; [ 2 31],[ 13.47368421 162.52631579] ; [ 2.52631579 30.47368421],0
