Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,82.755278,[449   7] ; [6 5],[444.28265525  11.71734475] ; [10.71734475  0.28265525],1
r3,1,0.0,64.423117,[451   5] ; [8 4],[447.23076923   8.76923077] ; [11.76923077  0.23076923],1
r2,1,0.0,54.303988,[443  11] ; [7 5],[438.41201717  15.58798283] ; [11.58798283  0.41201717],1
n6,1,0.000405,12.51058,[397  56] ; [7 6],[392.72961373  60.27038627] ; [11.27038627  1.72961373],1
n3,1,0.001536,10.034722,[61 11] ; [3 5],[57.6 14.4] ; [6.4 1.6],0
n4,1,0.003225,8.675718,[372  84] ; [7 7],[367.7106383  88.2893617] ; [11.2893617  2.7106383],0
p3,1,0.013344,6.122887,[280 176] ; [ 4 10],[275.54042553 180.45957447] ; [8.45957447 5.54042553],0
d1,1,0.031402,4.630868,[292 165] ; [5 9],[288.17197452 168.82802548] ; [8.82802548 5.17197452],0
p8,1,0.035778,4.407651,[314 139] ; [6 8],[310.40685225 142.59314775] ; [9.59314775 4.40685225],0
p11,1,0.043211,4.08713,[386  71] ; [9 5],[383.25902335  73.74097665] ; [11.74097665  2.25902335],0
s8,1,0.050768,3.815905,[229 224] ; [ 3 10],[225.527897 227.472103] ; [6.472103 6.527897],0
p9,1,0.056904,3.625383,[401  53] ; [10  4],[398.70512821  55.29487179] ; [12.29487179  1.70512821],0
p4,1,0.097343,2.748538,[322 134] ; [7 7],[319.2 136.8] ; [9.8 4.2],0
n5,1,0.127272,2.325466,[360  95] ; [8 5],[357.77777778  97.22222222] ; [10.22222222  2.77777778],0
a6,1,0.128139,2.31491,[314 140] ; [7 7],[311.3974359 142.6025641] ; [9.6025641 4.3974359],0
u3,1,0.150443,2.067757,[67 43] ; [1 3],[65.61403509 44.38596491] ; [2.38596491 1.61403509],0
s6,1,0.168728,1.894205,[320 128] ; [7 6],[317.77874187 130.22125813] ; [9.22125813 3.77874187],0
a5,1,0.194821,1.680775,[360  97] ; [9 5],[358.03184713  98.96815287] ; [10.96815287  3.03184713],0
d5,1,0.214346,1.541826,[381  73] ; [10  4],[379.3034188  74.6965812] ; [11.6965812  2.3034188],0
v1,1,0.216143,1.529794,[266 182] ; [6 8],[263.75757576 184.24242424] ; [8.24242424 5.75757576],0
n1,1,0.219384,1.508397,[24 47] ; [1 7],[22.46835443 48.53164557] ; [2.53164557 5.46835443],0
v3,1,0.245293,1.349914,[195 246] ; [ 4 10],[192.87692308 248.12307692] ; [6.12307692 7.87692308],0
a2,1,0.271042,1.211464,[126 331] ; [ 2 12],[124.19532909 332.80467091] ; [ 3.80467091 10.19532909],0
s1,1,0.315241,1.00859,[ 12 440] ; [ 1 13],[ 12.60944206 439.39055794] ; [ 0.39055794 13.60944206],0
a8,1,0.376177,0.783159,[ 75 335] ; [ 1 11],[ 73.83886256 336.16113744] ; [2.16113744 9.83886256],0
a7,1,0.409489,0.680283,[338 118] ; [9 5],[336.66382979 119.33617021] ; [10.33617021  3.66382979],0
p12,1,0.43364,0.613055,[ 38 417] ; [ 2 12],[ 38.80597015 416.19402985] ; [ 1.19402985 12.80597015],0
p5,1,0.454668,0.558989,[ 65 390] ; [ 3 11],[ 65.97014925 389.02985075] ; [ 2.02985075 11.97014925],0
p2,1,0.476243,0.507455,[416  40] ; [12  2],[415.25106383  40.74893617] ; [12.74893617  1.25106383],0
d4,1,0.476273,0.507384,[387  66] ; [11  3],[386.06852248  66.93147752] ; [11.93147752  2.06852248],0
d3,1,0.48496,0.487688,[331 124] ; [9 5],[329.85074627 125.14925373] ; [10.14925373  3.85074627],0
a4,1,0.495981,0.463525,[218 237] ; [8 6],[219.25373134 235.74626866] ; [6.74626866 7.25373134],0
u1,1,0.509468,0.43516,[ 97 360] ; [ 4 10],[ 97.99787686 359.00212314] ; [ 3.00212314 10.99787686],0
n2,1,0.523659,0.406681,[56 16] ; [7 1],[56.7 15.3] ; [6.3 1.7],0
b4,1,0.528542,0.397193,[255 202] ; [9 5],[256.15286624 200.84713376] ; [7.84713376 6.15286624],0
s3,1,0.622311,0.242633,[270 183] ; [8 4],[270.82580645 182.17419355] ; [7.17419355 4.82580645],0
s4,1,0.636017,0.22399,[ 75 376] ; [ 3 11],[ 75.6516129 375.3483871] ; [ 2.3483871 11.6516129],0
a3,1,0.705679,0.142632,[345 110] ; [10  4],[344.40298507 110.59701493] ; [10.59701493  3.40298507],0
b3,1,0.705917,0.142389,[112 171] ; [3 6],[111.45547945 171.54452055] ; [3.54452055 5.45547945],0
b2,1,0.705917,0.142389,[112 171] ; [3 6],[111.45547945 171.54452055] ; [3.54452055 5.45547945],0
p1,1,0.807669,0.059261,[ 41 413] ; [ 1 13],[ 40.74358974 413.25641026] ; [ 1.25641026 12.74358974],0
s7,1,0.838948,0.041306,[242 195] ; [7 5],[242.34521158 194.65478842] ; [6.65478842 5.34521158],0
b1,1,0.845452,0.037996,[184 273] ; [6 8],[184.35244161 272.64755839] ; [5.64755839 8.35244161],0
s5,1,0.895795,0.017155,[180 267] ; [5 8],[179.77173913 267.22826087] ; [5.22826087 7.77173913],0
p10,1,0.904824,0.014297,[395  60] ; [12  2],[394.85074627  60.14925373] ; [12.14925373  1.85074627],0
d2,1,0.928985,0.007943,[233 222] ; [7 7],[232.8358209 222.1641791] ; [7.1641791 6.8358209],0
p6,1,0.961152,0.002372,[224 230] ; [7 7],[224.08974359 229.91025641] ; [6.91025641 7.08974359],0
b5,1,0.962793,0.002176,[264 193] ; [8 6],[263.91507431 193.08492569] ; [8.08492569 5.91507431],0
v2,1,0.978617,0.000718,[273 168] ; [8 5],[272.95374449 168.04625551] ; [8.04625551 4.95374449],0
s2,1,0.987499,0.000245,[244 211] ; [7 6],[244.02777778 210.97222222] ; [6.97222222 6.02777778],0
