Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,68.770187,[94 37] ; [ 62 169],[56.45303867 74.54696133] ; [ 99.54696133 131.45303867],1
s6,1,0.0,47.147761,[117  20] ; [118 119],[86.0828877 50.9171123] ; [148.9171123  88.0828877],1
s2,1,0.0,32.527331,[89 49] ; [ 82 158],[62.42857143 75.57142857] ; [108.57142857 131.42857143],1
s3,1,0.0,26.463842,[99 39] ; [105 132],[75.072 62.928] ; [128.928 108.072],1
d1,1,0.000134,14.580187,[93 45] ; [114 128],[75.17368421 62.82631579] ; [131.82631579 110.17368421],1
d2,1,0.000413,12.471516,[80 58] ; [ 94 146],[63.52380952 74.47619048] ; [110.47619048 129.52380952],1
u1,1,0.001179,10.523407,[ 32 106] ; [ 26 216],[ 21.06315789 116.93684211] ; [ 36.93684211 205.06315789],0
p10,1,0.003234,8.670559,[115  23] ; [165  72],[103.04  34.96] ; [176.96  60.04],0
n2,1,0.003736,8.407871,[24 18] ; [53 11],[30.50943396 11.49056604] ; [46.49056604 17.50943396],0
p4,1,0.008186,6.992394,[83 55] ; [109 128],[70.656 67.344] ; [121.344 115.656],0
a2,1,0.009248,6.774254,[39 99] ; [ 41 201],[ 29.05263158 108.94736842] ; [ 50.94736842 191.05263158],0
p3,1,0.009693,6.690409,[70 68] ; [ 89 151],[58.04761905 79.95238095] ; [100.95238095 139.04761905],0
a3,1,0.013921,6.048111,[104  34] ; [152  89],[93.21372032 44.78627968] ; [162.78627968  78.21372032],0
s5,1,0.019088,5.493437,[49 85] ; [ 58 174],[39.17486339 94.82513661] ; [ 67.82513661 164.17486339],0
n4,1,0.022315,5.221054,[108  30] ; [162  79],[98.31134565 39.68865435] ; [171.68865435  69.31134565],0
d5,1,0.025943,4.959783,[116  22] ; [178  62],[107.33333333  30.66666667] ; [186.66666667  53.33333333],0
p9,1,0.030797,4.664244,[117  21] ; [177  58],[108.77211796  29.22788204] ; [185.22788204  49.77211796],0
p12,1,0.03885,4.267431,[ 13 124] ; [ 10 229],[  8.38031915 128.61968085] ; [ 14.61968085 224.38031915],0
p6,1,0.039101,4.256471,[50 87] ; [ 63 176],[41.17287234 95.82712766] ; [ 71.82712766 167.17287234],0
n6,1,0.041148,4.169919,[120  18] ; [190  52],[112.57894737  25.42105263] ; [197.42105263  44.57894737],0
v3,1,0.047958,3.911459,[46 87] ; [ 58 175],[37.79234973 95.20765027] ; [ 66.20765027 166.79234973],0
n5,1,0.05299,3.74425,[98 39] ; [148  92],[89.39522546 47.60477454] ; [156.60477454  83.39522546],0
p8,1,0.058416,3.581796,[72 65] ; [101 137],[63.20266667 73.79733333] ; [109.79733333 128.20266667],0
v2,1,0.077373,3.119227,[64 68] ; [ 90 141],[56. 76.] ; [ 98. 133.],0
a5,1,0.077445,3.11772,[102  36] ; [157  84],[94.3060686 43.6939314] ; [164.6939314  76.3060686],0
b5,1,0.086157,2.944744,[69 69] ; [143  99],[76.98947368 61.01052632] ; [135.01052632 106.98947368],0
b2,1,0.089058,2.891317,[30 53] ; [32 95],[24.5047619 58.4952381] ; [37.4952381 89.5047619],0
b3,1,0.089058,2.891317,[30 53] ; [32 95],[24.5047619 58.4952381] ; [37.4952381 89.5047619],0
u2,1,0.099729,2.709876,[23 11] ; [45 43],[18.95081967 15.04918033] ; [49.04918033 38.95081967],0
r3,1,0.121155,2.402327,[133   5] ; [238   3],[135.08707124   2.91292876] ; [235.91292876   5.08707124],0
u3,1,0.124536,2.359331,[23 11] ; [46 42],[19.2295082 14.7704918] ; [49.7704918 38.2295082],0
p7,1,0.163148,1.944798,[88 50] ; [132 102],[81.61290323 56.38709677] ; [138.38709677  95.61290323],0
r1,1,0.184329,1.762372,[117  21] ; [191  50],[112.14775726  25.85224274] ; [195.85224274  45.14775726],0
s4,1,0.184753,1.758974,[ 30 107] ; [ 39 199],[ 25.208 111.792] ; [ 43.792 194.208],0
b1,1,0.19817,1.655812,[60 78] ; [ 89 153],[54.11052632 83.88947368] ; [ 94.88947368 147.11052632],0
n3,1,0.226683,1.461556,[29 12] ; [51 12],[31.53846154  9.46153846] ; [48.46153846 14.53846154],0
u4,1,0.27244,1.204422,[  2 136] ; [  1 241],[  1.08947368 136.91052632] ; [  1.91052632 240.08947368],0
p2,1,0.275846,1.187444,[112  26] ; [184  57],[107.77836412  30.22163588] ; [188.22163588  52.77836412],0
p5,1,0.332812,0.937924,[ 13 125] ; [ 16 224],[ 10.58730159 127.41269841] ; [ 18.41269841 221.58730159],0
n1,1,0.401038,0.705212,[12 28] ; [24 39],[13.98058252 26.01941748] ; [22.01941748 40.98058252],0
p11,1,0.429922,0.623034,[106  32] ; [177  65],[102.77368421  35.22631579] ; [180.22631579  61.77368421],0
d4,1,0.452408,0.564613,[113  25] ; [188  51],[110.18037135  27.81962865] ; [190.81962865  48.18037135],0
s1,1,0.524558,0.404923,[  7 129] ; [  9 230],[  5.80266667 130.19733333] ; [ 10.19733333 228.80266667],0
p1,1,0.531571,0.391388,[ 11 127] ; [ 15 224],[  9.51724138 128.48275862] ; [ 16.48275862 222.51724138],0
a4,1,0.578013,0.309458,[59 79] ; [ 96 145],[56.43799472 81.56200528] ; [ 98.56200528 142.43799472],0
b4,1,0.74093,0.109311,[78 60] ; [141 101],[79.53157895 58.46842105] ; [139.46842105 102.53157895],0
v4,1,0.76821,0.086858,[132   6] ; [232   9],[132.53825858   5.46174142] ; [231.46174142   9.53825858],0
a1,1,0.806397,0.060062,[  5 133] ; [ 10 232],[  5.44736842 132.55263158] ; [  9.55263158 232.44736842],0
a7,1,0.873661,0.025284,[99 39] ; [174  66],[99.66666667 38.33333333] ; [173.33333333  66.66666667],0
