Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.000111,14.933333,[6 2] ; [ 1 19],[2. 6.] ; [ 5. 15.],1
p8,1,0.002238,9.343052,[4 3] ; [ 1 19],[1.2962963 5.7037037] ; [ 3.7037037 16.2962963],0
b4,1,0.014393,5.989305,[2 6] ; [15  5],[4.85714286 3.14285714] ; [12.14285714  7.85714286],0
s3,1,0.036966,4.351974,[5 3] ; [ 4 15],[2.66666667 5.33333333] ; [ 6.33333333 12.66666667],0
v3,1,0.086086,2.946087,[3 5] ; [ 2 18],[1.42857143 6.57142857] ; [ 3.57142857 16.42857143],0
r4,1,0.086086,2.946087,[3 5] ; [ 2 18],[1.42857143 6.57142857] ; [ 3.57142857 16.42857143],0
u3,1,0.0994,2.715152,[2 1] ; [2 9],[0.85714286 2.14285714] ; [3.14285714 7.85714286],0
a8,1,0.099438,2.714533,[3 5] ; [ 2 17],[1.48148148 6.51851852] ; [ 3.51851852 15.48148148],0
b1,1,0.104935,2.628889,[7 1] ; [11  9],[5.14285714 2.85714286] ; [12.85714286  7.14285714],0
s2,1,0.189927,1.718182,[3 5] ; [ 3 17],[1.71428571 6.28571429] ; [ 4.28571429 15.71428571],0
a4,1,0.200679,1.637427,[4 4] ; [ 5 15],[2.57142857 5.42857143] ; [ 6.42857143 13.57142857],0
s1,1,0.305507,1.05,[2 6] ; [ 2 18],[1.14285714 6.85714286] ; [ 2.85714286 17.14285714],0
d4,1,0.318388,0.995556,[4 4] ; [14  6],[5.14285714 2.85714286] ; [12.85714286  7.14285714],0
r1,1,0.333998,0.933333,[3 5] ; [ 4 16],[2. 6.] ; [ 5. 15.],0
v1,1,0.333998,0.933333,[3 5] ; [ 4 16],[2. 6.] ; [ 5. 15.],0
p10,1,0.365416,0.819195,[4 4] ; [ 6 13],[2.96296296 5.03703704] ; [ 7.03703704 11.96296296],0
n4,1,0.402784,0.7,[3 5] ; [11  9],[4. 4.] ; [10. 10.],0
p5,1,0.419449,0.651857,[1 6] ; [ 1 19],[0.51851852 6.48148148] ; [ 1.48148148 18.51851852],0
p9,1,0.420113,0.65,[4 4] ; [ 6 12],[3.07692308 4.92307692] ; [ 6.92307692 11.07692308],0
n5,1,0.45426,0.56,[6 2] ; [12  8],[5.14285714 2.85714286] ; [12.85714286  7.14285714],0
v4,1,0.462832,0.539037,[4 4] ; [ 7 13],[3.14285714 4.85714286] ; [ 7.85714286 12.14285714],0
a3,1,0.472423,0.516303,[5 3] ; [ 9 10],[4.14814815 3.85185185] ; [9.85185185 9.14814815],0
u2,1,0.514828,0.424242,[1 2] ; [6 5],[1.5 1.5] ; [5.5 5.5],0
r3,1,0.549076,0.358974,[5 3] ; [10 10],[4.28571429 3.71428571] ; [10.71428571  9.28571429],0
d5,1,0.549076,0.358974,[3 5] ; [10 10],[3.71428571 4.28571429] ; [ 9.28571429 10.71428571],0
n6,1,0.549076,0.358974,[3 5] ; [10 10],[3.71428571 4.28571429] ; [ 9.28571429 10.71428571],0
d3,1,0.608757,0.261988,[2 6] ; [ 7 13],[2.57142857 5.42857143] ; [ 6.42857143 13.57142857],0
d2,1,0.608757,0.261988,[2 6] ; [ 7 13],[2.57142857 5.42857143] ; [ 6.42857143 13.57142857],0
s6,1,0.701063,0.147368,[3 5] ; [ 6 14],[2.57142857 5.42857143] ; [ 6.42857143 13.57142857],0
a6,1,0.71714,0.13125,[3 5] ; [ 9 11],[3.42857143 4.57142857] ; [ 8.57142857 11.42857143],0
b5,1,0.71714,0.13125,[5 3] ; [11  9],[4.57142857 3.42857143] ; [11.42857143  8.57142857],0
a1,1,0.846788,0.037333,[1 7] ; [ 2 18],[0.85714286 7.14285714] ; [ 2.14285714 17.85714286],0
s4,1,0.846788,0.037333,[1 7] ; [ 2 18],[0.85714286 7.14285714] ; [ 2.14285714 17.85714286],0
s8,1,0.846788,0.037333,[1 7] ; [ 2 18],[0.85714286 7.14285714] ; [ 2.14285714 17.85714286],0
v2,1,0.882832,0.021721,[2 5] ; [ 6 13],[2.15384615 4.84615385] ; [ 5.84615385 13.15384615],0
p11,1,0.90261,0.014973,[3 5] ; [ 8 12],[3.14285714 4.85714286] ; [ 7.85714286 12.14285714],0
a5,1,1.0,0.0,[4 4] ; [10 10],[4. 4.] ; [10. 10.],0
a7,1,1.0,0.0,[4 4] ; [10 10],[4. 4.] ; [10. 10.],0
n2,1,1.0,0.0,[1 1] ; [4 4],[1. 1.] ; [4. 4.],0
