Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.000139,14.510874,[ 2 35] ; [8 8],[ 6.98113208 30.01886792] ; [ 3.01886792 12.98113208],1
n3,1,0.009865,6.659119,[ 4 13] ; [5 1],[ 6.65217391 10.34782609] ; [2.34782609 3.65217391],0
s8,1,0.010736,6.508504,[ 2 35] ; [ 5 11],[ 4.88679245 32.11320755] ; [ 2.11320755 13.88679245],0
s7,1,0.015911,5.812649,[ 4 30] ; [6 8],[ 7.08333333 26.91666667] ; [ 2.91666667 11.08333333],0
a3,1,0.034032,4.493088,[18 18] ; [13  3],[21.46153846 14.53846154] ; [9.53846154 6.46153846],0
v2,1,0.037373,4.333333,[ 6 30] ; [7 9],[ 9. 27.] ; [ 4. 12.],0
p10,1,0.077881,3.108571,[12 24] ; [9 6],[14.82352941 21.17647059] ; [6.17647059 8.82352941],0
p8,1,0.084901,2.968495,[ 4 31] ; [ 5 11],[ 6.17647059 28.82352941] ; [ 2.82352941 13.17647059],0
n2,1,0.088376,2.903704,[ 5 13] ; [4 2],[ 6.75 11.25] ; [2.25 3.75],0
a2,1,0.095428,2.780342,[ 3 34] ; [ 4 12],[ 4.88679245 32.11320755] ; [ 2.11320755 13.88679245],0
u3,1,0.116025,2.470175,[ 1 18] ; [1 2],[ 1.72727273 17.27272727] ; [0.27272727 2.72727273],0
n6,1,0.116526,2.463401,[13 23] ; [9 6],[15.52941176 20.47058824] ; [6.47058824 8.52941176],0
p9,1,0.116526,2.463401,[13 23] ; [9 6],[15.52941176 20.47058824] ; [6.47058824 8.52941176],0
p2,1,0.120036,2.416848,[10 26] ; [8 8],[12.46153846 23.53846154] ; [ 5.53846154 10.46153846],0
p7,1,0.1573,1.999991,[ 9 28] ; [7 9],[11.16981132 25.83018868] ; [ 4.83018868 11.16981132],0
s2,1,0.175855,1.832311,[ 8 29] ; [6 9],[ 9.96153846 27.03846154] ; [ 4.03846154 10.96153846],0
a4,1,0.178973,1.806131,[11 25] ; [8 8],[13.15384615 22.84615385] ; [ 5.84615385 10.15384615],0
s1,1,0.185283,1.75473,[ 4 33] ; [ 4 12],[ 5.58490566 31.41509434] ; [ 2.41509434 13.58490566],0
p11,1,0.214387,1.541552,[14 23] ; [9 7],[16.05660377 20.94339623] ; [6.94339623 9.05660377],0
p3,1,0.228716,1.448829,[ 8 29] ; [ 6 10],[ 9.77358491 27.22641509] ; [ 4.22641509 11.77358491],0
s6,1,0.228716,1.448829,[ 8 29] ; [ 6 10],[ 9.77358491 27.22641509] ; [ 4.22641509 11.77358491],0
s5,1,0.236915,1.39886,[ 7 30] ; [ 1 15],[ 5.58490566 31.41509434] ; [ 2.41509434 13.58490566],0
a5,1,0.318866,0.993592,[20 17] ; [11  5],[21.64150943 15.35849057] ; [9.35849057 6.64150943],0
d1,1,0.364944,0.820807,[14 23] ; [ 4 12],[12.56603774 24.43396226] ; [ 5.43396226 10.56603774],0
r1,1,0.445795,0.581321,[10 27] ; [ 6 10],[11.16981132 25.83018868] ; [ 4.83018868 11.16981132],0
p4,1,0.445795,0.581321,[10 27] ; [ 6 10],[11.16981132 25.83018868] ; [ 4.83018868 11.16981132],0
p6,1,0.4808,0.497049,[ 4 31] ; [ 3 13],[ 4.80392157 30.19607843] ; [ 2.19607843 13.80392157],0
s3,1,0.514453,0.425,[13 23] ; [ 4 11],[12. 24.] ; [ 5. 10.],0
p12,1,0.533842,0.387073,[ 1 36] ; [ 1 15],[ 1.39622642 35.60377358] ; [ 0.60377358 15.39622642],0
d5,1,0.611324,0.258251,[18 19] ; [9 7],[18.8490566 18.1509434] ; [8.1509434 7.8490566],0
s4,1,0.624938,0.238987,[ 5 32] ; [ 3 13],[ 5.58490566 31.41509434] ; [ 2.41509434 13.58490566],0
n1,1,0.632585,0.228571,[ 7 11] ; [3 3],[ 7.5 10.5] ; [2.5 3.5],0
u2,1,0.637144,0.222497,[ 4 15] ; [1 2],[ 4.31818182 14.68181818] ; [0.68181818 2.31818182],0
r2,1,0.639914,0.218855,[16 20] ; [ 6 10],[15.23076923 20.76923077] ; [6.76923077 9.23076923],0
n4,1,0.646149,0.21079,[23 14] ; [11  5],[23.73584906 13.26415094] ; [10.26415094  5.73584906],0
b4,1,0.686227,0.1632,[23 14] ; [9 7],[22.33962264 14.66037736] ; [9.66037736 6.33962264],0
a7,1,0.696869,0.15175,[16 21] ; [ 6 10],[15.35849057 21.64150943] ; [6.64150943 9.35849057],0
p1,1,0.72864,0.120364,[ 6 31] ; [ 2 14],[ 5.58490566 31.41509434] ; [ 2.41509434 13.58490566],0
b1,1,0.742939,0.10756,[19 18] ; [9 7],[19.54716981 17.45283019] ; [8.45283019 7.54716981],0
b5,1,0.786069,0.073668,[17 20] ; [8 8],[17.45283019 19.54716981] ; [7.54716981 8.45283019],0
p5,1,0.794703,0.067708,[ 3 33] ; [ 1 15],[ 2.76923077 33.23076923] ; [ 1.23076923 14.76923077],0
r3,1,0.821833,0.05071,[16 21] ; [7 8],[16.36538462 20.63461538] ; [6.63461538 8.36538462],0
d3,1,0.827671,0.047389,[15 22] ; [7 9],[15.35849057 21.64150943] ; [6.64150943 9.35849057],0
d4,1,0.835415,0.043165,[22 15] ; [10  6],[22.33962264 14.66037736] ; [9.66037736 6.33962264],0
b2,1,0.873624,0.025299,[ 9 16] ; [4 8],[ 8.78378378 16.21621622] ; [4.21621622 7.78378378],0
b3,1,0.873624,0.025299,[ 9 16] ; [4 8],[ 8.78378378 16.21621622] ; [4.21621622 7.78378378],0
a6,1,0.882785,0.021739,[17 20] ; [7 9],[16.75471698 20.24528302] ; [7.24528302 8.75471698],0
u1,1,0.902778,0.014921,[ 2 35] ; [ 1 15],[ 2.09433962 34.90566038] ; [ 0.90566038 15.09433962],0
a1,1,0.920308,0.010009,[ 5 32] ; [ 2 14],[ 4.88679245 32.11320755] ; [ 2.11320755 13.88679245],0
n5,1,0.932528,0.007168,[25 12] ; [11  5],[25.13207547 11.86792453] ; [10.86792453  5.13207547],0
d2,1,0.962883,0.002166,[16 20] ; [7 9],[15.92307692 20.07692308] ; [7.07692308 8.92307692],0
