Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,2.8e-05,17.549063,[33 69] ; [22  7],[42.82442748 59.17557252] ; [12.17557252 16.82442748],1
b1,1,0.004175,8.206089,[54 53] ; [ 6 23],[47.20588235 59.79411765] ; [12.79411765 16.20588235],0
v1,1,0.00453,8.058294,[35 71] ; [18 11],[41.61481481 64.38518519] ; [11.38518519 17.61481481],0
r1,1,0.048557,3.890611,[63 43] ; [23  6],[67.52592593 38.47407407] ; [18.47407407 10.52592593],0
u2,1,0.076378,3.14033,[19 23] ; [7 2],[21.41176471 20.58823529] ; [4.58823529 4.41176471],0
a4,1,0.076626,3.135046,[41 66] ; [ 6 23],[36.97794118 70.02205882] ; [10.02205882 18.97794118],0
s6,1,0.081406,3.03661,[46 59] ; [18 11],[50.14925373 54.85074627] ; [13.85074627 15.14925373],0
p6,1,0.08534,2.960151,[17 89] ; [ 1 27],[14.23880597 91.76119403] ; [ 3.76119403 24.23880597],0
d4,1,0.092457,2.83106,[75 31] ; [25  4],[78.51851852 27.48148148] ; [21.48148148  7.51851852],0
p10,1,0.114869,2.485923,[59 46] ; [21  8],[62.68656716 42.31343284] ; [17.31343284 11.68656716],0
d3,1,0.114869,2.485923,[59 46] ; [21  8],[62.68656716 42.31343284] ; [17.31343284 11.68656716],0
s2,1,0.146297,2.110438,[45 61] ; [ 8 21],[41.61481481 64.38518519] ; [11.38518519 17.61481481],0
a7,1,0.147176,2.101283,[65 41] ; [22  7],[68.31111111 37.68888889] ; [18.68888889 10.31111111],0
b4,1,0.180767,1.791306,[59 48] ; [20  9],[62.15441176 44.84558824] ; [16.84558824 12.15441176],0
n3,1,0.190316,1.715166,[37 16] ; [6 6],[35.06153846 17.93846154] ; [7.93846154 4.06153846],0
v4,1,0.198691,1.651967,[93 12] ; [28  1],[94.81343284 10.18656716] ; [26.18656716  2.81343284],0
r2,1,0.209718,1.57337,[89 17] ; [27  2],[91.08148148 14.91851852] ; [24.91851852  4.08148148],0
d5,1,0.314309,1.012482,[70 36] ; [22  7],[72.23703704 33.76296296] ; [19.76296296  9.23703704],0
