Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.0,33.712139,[10 67] ; [95 89],[30.97701149 46.02298851] ; [ 74.02298851 109.97701149],1
d1,1,0.0,30.30891,[22 55] ; [121  63],[42.18773946 34.81226054] ; [100.81226054  83.18773946],1
d2,1,1e-06,24.354082,[18 59] ; [104  79],[36.13076923 40.86923077] ; [85.86923077 97.13076923],1
a3,1,6e-06,20.365865,[36 41] ; [139  45],[51.62835249 25.37164751] ; [123.37164751  60.62835249],1
p9,1,0.000109,14.977863,[50 25] ; [159  23],[60.9922179 14.0077821] ; [148.0077821  33.9922179],1
u1,1,0.000166,14.178787,[ 3 74] ; [ 43 141],[13.57088123 63.42911877] ; [ 32.42911877 151.57088123],1
d5,1,0.000228,13.586569,[50 27] ; [156  27],[61.00769231 15.99230769] ; [144.99230769  38.00769231],1
d4,1,0.000319,12.957562,[51 26] ; [157  26],[61.6 15.4] ; [146.4  36.6],1
a6,1,0.000615,11.729103,[40 37] ; [135  48],[51.82692308 25.17307692] ; [123.17307692  59.82692308],1
n4,1,0.005756,7.625134,[47 30] ; [143  41],[56.05363985 20.94636015] ; [133.94636015  50.05363985],0
p10,1,0.006237,7.480427,[52 25] ; [150  31],[60.28682171 16.71317829] ; [141.71317829  39.28682171],0
v2,1,0.010379,6.568651,[22 51] ; [85 93],[31.11952191 41.88047809] ; [ 75.88047809 102.11952191],0
p4,1,0.010744,6.507227,[37 40] ; [119  64],[46.2 30.8] ; [109.8  73.2],0
p3,1,0.022123,5.236111,[27 50] ; [93 91],[35.40229885 41.59770115] ; [84.59770115 99.40229885],0
r2,1,0.040272,4.206396,[67 10] ; [171  10],[71.03100775  5.96899225] ; [166.96899225  14.03100775],0
r1,1,0.073717,3.198261,[56 21] ; [151  32],[61.30384615 15.69615385] ; [145.69615385  37.30384615],0
d3,1,0.077864,3.108934,[47 30] ; [132  51],[53.01153846 23.98846154] ; [125.98846154  57.01153846],0
u3,1,0.085363,2.959719,[27 13] ; [21 22],[23.13253012 16.86746988] ; [24.86746988 18.13253012],0
n3,1,0.089114,2.890305,[13  9] ; [40 11],[15.97260274  6.02739726] ; [37.02739726 13.97260274],0
p7,1,0.101995,2.67407,[41 34] ; [118  62],[46.76470588 28.23529412] ; [112.23529412  67.76470588],0
b3,1,0.101998,2.674019,[ 7 32] ; [33 71],[10.90909091 28.09090909] ; [29.09090909 74.90909091],0
b2,1,0.101998,2.674019,[ 7 32] ; [33 71],[10.90909091 28.09090909] ; [29.09090909 74.90909091],0
r3,1,0.10757,2.589566,[70  6] ; [177   6],[72.47876448  3.52123552] ; [174.52123552   8.47876448],0
s7,1,0.132107,2.267571,[36 38] ; [105  73],[41.4047619 32.5952381] ; [99.5952381 78.4047619],0
p2,1,0.142798,2.147547,[58 19] ; [153  31],[62.24904215 14.75095785] ; [148.75095785  35.24904215],0
r4,1,0.176251,1.828954,[66 11] ; [168  16],[69.03448276  7.96551724] ; [164.96551724  19.03448276],0
v4,1,0.201138,1.634092,[70  7] ; [174   9],[72.26153846  4.73846154] ; [171.73846154  11.26153846],0
s5,1,0.203965,1.613755,[26 49] ; [ 77 101],[30.53359684 44.46640316] ; [ 72.46640316 105.53359684],0
v3,1,0.21375,1.545844,[17 57] ; [ 55 124],[21.05928854 52.94071146] ; [ 50.94071146 128.05928854],0
p12,1,0.219558,1.507257,[ 4 73] ; [ 18 165],[ 6.51538462 70.48461538] ; [ 15.48461538 167.51538462],0
s4,1,0.222985,1.48506,[25 50] ; [ 47 135],[21.01167315 53.98832685] ; [ 50.98832685 131.01167315],0
b4,1,0.252586,1.308945,[49 28] ; [103  81],[44.84291188 32.15708812] ; [107.15708812  76.84291188],0
b1,1,0.276995,1.181776,[34 43] ; [ 68 116],[30.09195402 46.90804598] ; [ 71.90804598 112.09195402],0
p1,1,0.350394,0.872029,[ 7 69] ; [ 11 173],[ 5.26153846 70.73846154] ; [ 12.73846154 171.26153846],0
p5,1,0.374089,0.790035,[ 6 71] ; [ 21 162],[ 7.99615385 69.00384615] ; [ 19.00384615 163.99615385],0
n1,1,0.378475,0.77565,[ 6 16] ; [19 31],[ 7.63888889 14.36111111] ; [17.36111111 32.63888889],0
n6,1,0.407523,0.686016,[62 15] ; [155  28],[64.26538462 12.73461538] ; [152.73461538  30.26538462],0
p8,1,0.417459,0.657456,[34 42] ; [91 90],[36.96498054 39.03501946] ; [88.03501946 92.96498054],0
s3,1,0.438546,0.600083,[56 20] ; [126  57],[53.40540541 22.59459459] ; [128.59459459  54.40540541],0
a1,1,0.495943,0.463608,[ 3 74] ; [ 11 173],[ 4.1302682 72.8697318] ; [  9.8697318 174.1302682],0
s2,1,0.506911,0.440439,[50 26] ; [113  71],[47.64615385 28.35384615] ; [115.35384615  68.64615385],0
n5,1,0.516512,0.420853,[56 21] ; [125  57],[53.81081081 23.18918919] ; [127.18918919  54.81081081],0
s1,1,0.590406,0.289711,[ 5 71] ; [  9 174],[ 4.10810811 71.89189189] ; [  9.89189189 173.10810811],0
b5,1,0.59828,0.277599,[45 32] ; [101  83],[43.07279693 33.92720307] ; [102.92720307  81.07279693],0
s8,1,0.667141,0.184965,[35 42] ; [89 95],[36.58237548 40.41762452] ; [87.41762452 96.58237548],0
p11,1,0.771611,0.084255,[56 21] ; [137  47],[56.93869732 20.06130268] ; [136.06130268  47.93869732],0
p6,1,0.825609,0.048548,[25 52] ; [ 62 121],[25.76538462 51.23461538] ; [ 61.23461538 121.76538462],0
n2,1,0.853031,0.034319,[16  6] ; [36 15],[15.67123288  6.32876712] ; [36.32876712 14.67123288],0
u2,1,0.866865,0.028104,[22 18] ; [25 19],[22.38095238 17.61904762] ; [24.61904762 19.38095238],0
a8,1,0.895629,0.017209,[ 9 64] ; [ 22 148],[ 9.3127572 63.6872428] ; [ 21.6872428 148.3127572],0
a7,1,0.959511,0.002577,[55 22] ; [132  52],[55.16858238 21.83141762] ; [131.83141762  52.16858238],0
