Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s4,1,0.005081,7.850323,[ 2 28] ; [3 3],[ 4.16666667 25.83333333] ; [0.83333333 5.16666667],0
s6,1,0.03265,4.564043,[ 5 25] ; [3 2],[ 6.85714286 23.14285714] ; [1.14285714 3.85714286],0
v1,1,0.035422,4.424727,[ 7 23] ; [4 2],[ 9.16666667 20.83333333] ; [1.83333333 4.16666667],0
s2,1,0.038301,4.291626,[ 4 26] ; [3 3],[ 5.83333333 24.16666667] ; [1.16666667 4.83333333],0
p9,1,0.041089,4.172327,[ 7 22] ; [4 2],[ 9.11428571 19.88571429] ; [1.88571429 4.11428571],0
n6,1,0.092903,2.823333,[ 7 23] ; [3 2],[ 8.57142857 21.42857143] ; [1.42857143 3.57142857],0
a3,1,0.116623,2.462095,[14 15] ; [5 1],[15.74285714 13.25714286] ; [3.25714286 2.74285714],0
p3,1,0.121335,2.4,[ 6 24] ; [3 3],[ 7.5 22.5] ; [1.5 4.5],0
r4,1,0.121335,2.4,[ 6 24] ; [3 3],[ 7.5 22.5] ; [1.5 4.5],0
r3,1,0.126279,2.337662,[10 20] ; [4 2],[11.66666667 18.33333333] ; [2.33333333 3.66666667],0
s1,1,0.131379,2.276129,[ 3 27] ; [2 4],[ 4.16666667 25.83333333] ; [0.83333333 5.16666667],0
b1,1,0.133614,2.25,[15 15] ; [5 1],[16.66666667 13.33333333] ; [3.33333333 2.66666667],0
p10,1,0.134842,2.235853,[ 6 23] ; [3 3],[ 7.45714286 21.54285714] ; [1.54285714 4.45714286],0
p6,1,0.14298,2.145594,[ 3 26] ; [2 4],[ 4.14285714 24.85714286] ; [0.85714286 5.14285714],0
p2,1,0.183097,1.772308,[ 7 23] ; [3 3],[ 8.33333333 21.66666667] ; [1.66666667 4.33333333],0
d4,1,0.230139,1.44,[18 12] ; [2 4],[16.66666667 13.33333333] ; [3.33333333 2.66666667],0
p1,1,0.230139,1.44,[ 4 26] ; [2 4],[ 5. 25.] ; [1. 5.],0
p7,1,0.257359,1.282909,[ 8 22] ; [3 3],[ 9.16666667 20.83333333] ; [1.83333333 4.16666667],0
p4,1,0.257359,1.282909,[ 8 22] ; [3 3],[ 9.16666667 20.83333333] ; [1.83333333 4.16666667],0
b4,1,0.371093,0.8,[16 14] ; [2 4],[15. 15.] ; [3. 3.],0
a5,1,0.371093,0.8,[14 16] ; [4 2],[15. 15.] ; [3. 3.],0
n3,1,0.372374,0.795726,[ 4 11] ; [2 2],[ 4.73684211 10.26315789] ; [1.26315789 2.73684211],0
s3,1,0.372994,0.793666,[ 9 20] ; [3 3],[ 9.94285714 19.05714286] ; [2.05714286 3.94285714],0
a7,1,0.45536,0.557276,[15 15] ; [2 4],[14.16666667 15.83333333] ; [2.83333333 3.16666667],0
v2,1,0.501991,0.450724,[ 6 23] ; [2 4],[ 6.62857143 22.37142857] ; [1.37142857 4.62857143],0
s5,1,0.515252,0.423387,[ 3 27] ; [1 4],[ 3.42857143 26.57142857] ; [0.57142857 4.42857143],0
r1,1,0.540818,0.374026,[11 19] ; [3 3],[11.66666667 18.33333333] ; [2.33333333 3.66666667],0
a6,1,0.548506,0.36,[14 16] ; [2 4],[13.33333333 16.66666667] ; [2.66666667 3.33333333],0
a2,1,0.635256,0.225,[ 3 27] ; [1 5],[ 3.33333333 26.66666667] ; [0.66666667 5.33333333],0
r2,1,0.667082,0.185034,[16 12] ; [4 2],[16.47058824 11.52941176] ; [3.52941176 2.47058824],0
d2,1,0.714219,0.1341,[12 17] ; [2 4],[11.6 17.4] ; [2.4 3.6],0
n1,1,0.718904,0.129545,[6 9] ; [2 2],[6.31578947 8.68421053] ; [1.68421053 2.31578947],0
d1,1,0.73927,0.110769,[ 8 22] ; [2 4],[ 8.33333333 21.66666667] ; [1.66666667 4.33333333],0
b3,1,0.756158,0.096429,[ 9 12] ; [3 3],[ 9.33333333 11.66666667] ; [2.66666667 3.33333333],0
b2,1,0.756158,0.096429,[ 9 12] ; [3 3],[ 9.33333333 11.66666667] ; [2.66666667 3.33333333],0
n5,1,0.759766,0.093506,[18 12] ; [4 2],[18.33333333 11.66666667] ; [3.66666667 2.33333333],0
d3,1,0.759766,0.093506,[12 18] ; [2 4],[11.66666667 18.33333333] ; [2.33333333 3.66666667],0
d5,1,0.764177,0.09,[13 17] ; [3 3],[13.33333333 16.66666667] ; [2.66666667 3.33333333],0
a4,1,0.776675,0.08046,[ 8 21] ; [2 4],[ 8.28571429 20.71428571] ; [1.71428571 4.28571429],0
a8,1,0.829357,0.046452,[ 4 26] ; [1 5],[ 4.16666667 25.83333333] ; [0.83333333 5.16666667],0
a1,1,0.850618,0.035468,[ 6 24] ; [1 5],[ 5.83333333 24.16666667] ; [1.16666667 4.83333333],0
p8,1,0.854721,0.033525,[ 4 25] ; [1 5],[ 4.14285714 24.85714286] ; [0.85714286 5.14285714],0
n4,1,0.871457,0.026182,[21  9] ; [4 2],[20.83333333  9.16666667] ; [4.16666667 1.83333333],0
b5,1,0.881316,0.022291,[14 16] ; [3 3],[14.16666667 15.83333333] ; [2.83333333 3.16666667],0
n2,1,0.905565,0.014074,[7 8] ; [2 2],[7.10526316 7.89473684] ; [1.89473684 2.10526316],0
v3,1,1.0,0.0,[ 6 24] ; [1 4],[ 6. 24.] ; [1. 4.],0
