Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,55.937988,[89 18] ; [ 5 30],[70.83098592 36.16901408] ; [23.16901408 11.83098592],1
p11,1,2e-06,22.777418,[65 42] ; [ 5 30],[52.74647887 54.25352113] ; [17.25352113 17.74647887],1
v4,1,1.1e-05,19.267938,[91 16] ; [17 18],[81.38028169 25.61971831] ; [26.61971831  8.38028169],1
s2,1,0.000109,14.974815,[47 58] ; [ 3 32],[37.5 67.5] ; [12.5 22.5],1
p9,1,0.000235,13.528086,[64 39] ; [ 8 24],[54.93333333 48.06666667] ; [17.06666667 14.93333333],1
p10,1,0.000542,11.964478,[60 44] ; [ 8 26],[51.24637681 52.75362319] ; [16.75362319 17.24637681],1
d4,1,0.000885,11.054859,[85 21] ; [18 17],[77.43262411 28.56737589] ; [25.56737589  9.43262411],1
a1,1,0.001203,10.485706,[  5 102] ; [ 8 27],[ 9.79577465 97.20422535] ; [ 3.20422535 31.79577465],0
b5,1,0.001208,10.477762,[70 37] ; [12 23],[61.78873239 45.21126761] ; [20.21126761 14.78873239],0
v2,1,0.001366,10.251362,[48 50] ; [ 6 28],[40.09090909 57.90909091] ; [13.90909091 20.09090909],0
r1,1,0.001397,10.209829,[75 32] ; [14 21],[67.06338028 39.93661972] ; [21.93661972 13.06338028],0
s6,1,0.001465,10.12256,[56 48] ; [ 8 27],[47.88489209 56.11510791] ; [16.11510791 18.88489209],0
r2,1,0.001755,9.789163,[94 11] ; [22 11],[88.26086957 16.73913043] ; [27.73913043  5.26086957],0
s8,1,0.00273,8.979517,[37 69] ; [ 3 32],[30.07092199 75.92907801] ; [ 9.92907801 25.07092199],0
s3,1,0.005397,7.741307,[49 57] ; [ 6 26],[42.24637681 63.75362319] ; [12.75362319 19.24637681],0
u2,1,0.007552,7.136642,[24 14] ; [ 3 11],[19.73076923 18.26923077] ; [7.26923077 6.73076923],0
n5,1,0.007841,7.069517,[58 48] ; [28  7],[64.65248227 41.34751773] ; [21.34751773 13.65248227],0
p7,1,0.008462,6.932927,[29 74] ; [ 2 31],[23.47794118 79.52205882] ; [ 7.52205882 25.47794118],0
u3,1,0.010017,6.631845,[24 15] ; [ 3 11],[19.86792453 19.13207547] ; [7.13207547 6.86792453],0
n6,1,0.01245,6.24568,[74 33] ; [16 19],[67.81690141 39.18309859] ; [22.18309859 12.81690141],0
d3,1,0.012611,6.22293,[65 41] ; [13 22],[58.63829787 47.36170213] ; [19.36170213 15.63829787],0
n3,1,0.018402,5.5575,[26 13] ; [ 6 12],[21.89473684 17.10526316] ; [10.10526316  7.89473684],0
s7,1,0.029029,4.765878,[38 62] ; [ 6 28],[32.8358209 67.1641791] ; [11.1641791 22.8358209],0
p1,1,0.033188,4.536067,[  6 101] ; [ 6 29],[ 9.04225352 97.95774648] ; [ 2.95774648 32.04225352],0
u1,1,0.055679,3.661626,[16 91] ; [ 1 34],[12.80985915 94.19014085] ; [ 4.19014085 30.80985915],0
