Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,73.628909,[46 78] ; [203  46],[82.77747989 41.22252011] ; [166.22252011  82.77747989],1
n6,1,3e-06,22.161559,[71 53] ; [200  49],[90.09115282 33.90884718] ; [180.90884718  68.09115282],1
a5,1,1.4e-05,18.865526,[57 68] ; [172  78],[76.33333333 48.66666667] ; [152.66666667  97.33333333],1
s7,1,0.000215,13.697141,[22 99] ; [ 88 148],[37.28291317 83.71708683] ; [ 72.71708683 163.28291317],1
s4,1,0.001226,10.451186,[ 23 102] ; [ 18 229],[ 13.77688172 111.22311828] ; [ 27.22311828 219.77688172],0
a4,1,0.002379,9.231082,[33 92] ; [105 142],[46.37096774 78.62903226] ; [ 91.62903226 155.37096774],0
a8,1,0.004933,7.904006,[  7 112] ; [ 38 192],[ 15.34383954 103.65616046] ; [ 29.65616046 200.34383954],0
d2,1,0.007529,7.142135,[38 87] ; [111 137],[49.93297587 75.06702413] ; [ 99.06702413 148.93297587],0
s8,1,0.007826,7.072865,[ 22 103] ; [ 76 174],[32.66666667 92.33333333] ; [ 65.33333333 184.66666667],0
d5,1,0.008729,6.877418,[78 46] ; [189  60],[88.7613941 35.2386059] ; [178.2386059  70.7613941],0
s6,1,0.011358,6.408442,[48 76] ; [131 118],[59.50670241 64.49329759] ; [119.49329759 129.50670241],0
a3,1,0.011632,6.366132,[68 57] ; [168  80],[79.08847185 45.91152815] ; [156.91152815  91.08847185],0
p11,1,0.013624,6.086182,[77 48] ; [185  65],[87.33333333 37.66666667] ; [174.66666667  75.33333333],0
a2,1,0.019076,5.494505,[ 13 112] ; [ 50 200],[ 21. 104.] ; [ 42. 208.],0
d1,1,0.01939,5.466037,[50 75] ; [132 118],[60.66666667 64.33333333] ; [121.33333333 128.66666667],0
r2,1,0.019523,5.45405,[102  23] ; [220  24],[109.07859079  15.92140921] ; [212.92140921  31.07859079],0
n1,1,0.021092,5.319201,[13 42] ; [30 39],[19.07258065 35.92741935] ; [23.92741935 45.07258065],0
v1,1,0.024093,5.087904,[39 85] ; [106 137],[48.99182561 75.00817439] ; [ 96.00817439 146.99182561],0
u1,1,0.024607,5.051306,[  7 118] ; [ 33 217],[ 13.33333333 111.66666667] ; [ 26.66666667 223.33333333],0
r1,1,0.031269,4.638156,[80 45] ; [186  63],[88.90374332 36.09625668] ; [177.09625668  71.90374332],0
p1,1,0.033617,4.514073,[  1 124] ; [ 13 236],[  4.67914439 120.32085561] ; [  9.32085561 239.67914439],0
r4,1,0.037881,4.310345,[88 37] ; [200  50],[96. 29.] ; [192.  58.],0
a1,1,0.070804,3.264276,[  2 123] ; [ 14 236],[  5.33333333 119.66666667] ; [ 10.66666667 239.33333333],0
p10,1,0.113033,2.511296,[75 48] ; [171  76],[81.77837838 41.22162162] ; [164.22162162  82.77837838],0
v3,1,0.115355,2.479284,[29 92] ; [ 77 164],[35.43093923 85.56906077] ; [ 70.56906077 170.43093923],0
p9,1,0.13505,2.233477,[81 41] ; [181  64],[87.09536785 34.90463215] ; [174.90463215  70.09536785],0
r3,1,0.136236,2.21997,[105  19] ; [224  25],[109.37265416  14.62734584] ; [219.62734584  29.37265416],0
b2,1,0.158271,1.990671,[13 44] ; [ 49 100],[17.15533981 39.84466019] ; [ 44.84466019 104.15533981],0
b3,1,0.158271,1.990671,[13 44] ; [ 49 100],[17.15533981 39.84466019] ; [ 44.84466019 104.15533981],0
s3,1,0.179147,1.804685,[47 78] ; [110 135],[53.04054054 71.95945946] ; [103.95945946 141.04054054],0
d4,1,0.196564,1.667721,[88 36] ; [192  57],[93.08310992 30.91689008] ; [186.91689008  62.08310992],0
p2,1,0.203913,1.614121,[84 41] ; [183  66],[89.23796791 35.76203209] ; [177.76203209  71.23796791],0
v2,1,0.219646,1.506686,[50 70] ; [115 122],[55.46218487 64.53781513] ; [109.53781513 127.46218487],0
p4,1,0.242424,1.366441,[36 88] ; [ 87 161],[41. 83.] ; [ 82. 166.],0
b1,1,0.253833,1.302083,[50 75] ; [ 85 165],[45. 80.] ; [ 90. 160.],0
a6,1,0.262748,1.254222,[76 49] ; [166  83],[80.88235294 44.11764706] ; [161.11764706  87.88235294],0
u3,1,0.279422,1.169901,[30 25] ; [37 45],[26.89781022 28.10218978] ; [40.10218978 41.89781022],0
p6,1,0.287135,1.133008,[ 21 103] ; [ 53 192],[24.86720867 99.13279133] ; [ 49.13279133 195.86720867],0
s2,1,0.314842,1.010252,[38 86] ; [ 89 159],[42.33333333 81.66666667] ; [ 84.66666667 163.33333333],0
n2,1,0.353897,0.859435,[35 20] ; [50 20],[37.4 17.6] ; [47.6 22.4],0
u4,1,0.382642,0.762195,[  1 124] ; [  5 245],[  2. 123.] ; [  4. 246.],0
b5,1,0.493563,0.46875,[83 42] ; [157  93],[80. 45.] ; [160.  90.],0
u2,1,0.58593,0.296745,[32 24] ; [43 39],[30.43478261 25.56521739] ; [44.56521739 37.43478261],0
a7,1,0.602417,0.271366,[82 42] ; [172  78],[84.21390374 39.78609626] ; [169.78609626  80.21390374],0
v4,1,0.655973,0.198453,[110  14] ; [216  32],[108.66666667  15.33333333] ; [217.33333333  30.66666667],0
p5,1,0.678513,0.171805,[  3 120] ; [  8 241],[  3.63709677 119.36290323] ; [  7.36290323 241.63709677],0
n3,1,0.724161,0.12454,[36 20] ; [41 26],[35.05691057 20.94308943] ; [41.94308943 25.05691057],0
s1,1,0.7359,0.113763,[  6 118] ; [ 10 235],[  5.37669377 118.62330623] ; [ 10.62330623 234.37669377],0
b4,1,0.767381,0.087499,[71 54] ; [146 104],[72.33333333 52.66666667] ; [144.66666667 105.33333333],0
p8,1,0.836551,0.042562,[43 80] ; [ 83 162],[42.11413043 80.88586957] ; [ 83.88586957 161.11413043],0
d3,1,0.935999,0.006448,[80 43] ; [163  86],[80.34677419 42.65322581] ; [162.65322581  86.34677419],0
p7,1,0.986222,0.000298,[53 67] ; [108 136],[53.07692308 66.92307692] ; [107.92307692 136.07692308],0
