Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,64.509265,[26 87] ; [191  92],[61.92171717 51.07828283] ; [155.07828283 127.92171717],1
s3,1,0.0,59.58621,[30 83] ; [193  86],[64.28316327 48.71683673] ; [158.71683673 120.28316327],1
s7,1,0.0,53.110517,[27 80] ; [183  92],[58.82198953 48.17801047] ; [151.17801047 123.82198953],1
s8,1,0.0,36.000016,[33 82] ; [175 108],[60.10050251 54.89949749] ; [147.89949749 135.10050251],1
s5,1,0.0,31.387157,[20 93] ; [135 145],[44.56743003 68.43256997] ; [110.43256997 169.56743003],1
s4,1,0.00269,9.006452,[  7 108] ; [ 50 232],[16.51133501 98.48866499] ; [ 40.48866499 241.51133501],0
p9,1,0.004641,8.014445,[91 22] ; [257  26],[99.3030303 13.6969697] ; [248.6969697  34.3030303],0
p10,1,0.014475,5.979281,[88 25] ; [248  35],[95.87878788 17.12121212] ; [240.12121212  42.87878788],0
p6,1,0.015802,5.824805,[38 74] ; [132 147],[48.69565217 63.30434783] ; [121.30434783 157.69565217],0
u1,1,0.016474,5.751579,[17 98] ; [ 74 212],[26.09725686 88.90274314] ; [ 64.90274314 221.09725686],0
n5,1,0.022872,5.178181,[86 29] ; [240  44],[93.95989975 21.04010025] ; [232.04010025  51.95989975],0
a2,1,0.044101,4.052702,[25 90] ; [ 91 195],[33.26683292 81.73316708] ; [ 82.73316708 203.26683292],0
p11,1,0.055792,3.658242,[101  14] ; [228  58],[94.35162095 20.64837905] ; [234.64837905  51.35162095],0
n6,1,0.059234,3.55871,[92 22] ; [249  34],[97.91939547 16.08060453] ; [243.08060453  39.91939547],0
d5,1,0.060741,3.517037,[90 25] ; [244  40],[96.26566416 18.73433584] ; [237.73433584  46.26566416],0
p4,1,0.0702,3.278335,[67 47] ; [194  90],[74.75879397 39.24120603] ; [186.24120603  97.75879397],0
r2,1,0.070858,3.263036,[109   5] ; [280   4],[111.42211055   2.57788945] ; [277.57788945   6.42211055],0
p5,1,0.073063,3.212825,[ 10 102] ; [ 45 239],[15.55555556 96.44444444] ; [ 39.44444444 244.55555556],0
n2,1,0.092887,2.823616,[12  6] ; [45  8],[14.45070423  3.54929577] ; [42.54929577 10.45070423],0
v4,1,0.095227,2.783721,[108   6] ; [279   6],[110.57142857   3.42857143] ; [276.42857143   8.57142857],0
p12,1,0.105139,2.625809,[  7 106] ; [ 33 251],[ 11.38539043 101.61460957] ; [ 28.61460957 255.38539043],0
u4,1,0.113607,2.503312,[  1 114] ; [ 11 275],[  3.44139651 111.55860349] ; [  8.55860349 277.44139651],0
p2,1,0.126376,2.336463,[104  10] ; [243  41],[99.3919598 14.6080402] ; [247.6080402  36.3919598],0
b5,1,0.151984,2.052222,[66 49] ; [186 100],[72.26932668 42.73067332] ; [179.73067332 106.26932668],0
u3,1,0.169911,1.883726,[16 13] ; [44 19],[18.91304348 10.08695652] ; [41.08695652 21.91304348],0
p1,1,0.194052,1.686582,[  8 107] ; [ 32 252],[ 11.52882206 103.47117794] ; [ 28.47117794 255.52882206],0
n1,1,0.246722,1.341769,[ 6 12] ; [26 27],[8.11267606 9.88732394] ; [23.88732394 29.11267606],0
r4,1,0.323051,0.976554,[109   6] ; [277   9],[110.69825436   4.30174564] ; [275.30174564  10.69825436],0
a8,1,0.324773,0.96963,[14 88] ; [ 46 209],[17.14285714 84.85714286] ; [ 42.85714286 212.14285714],0
n4,1,0.342662,0.900448,[91 24] ; [237  48],[94.3 20.7] ; [233.7  51.3],0
b4,1,0.388553,0.743464,[65 50] ; [175 111],[68.82793017 46.17206983] ; [171.17206983 114.82793017],0
u2,1,0.388559,0.743445,[15 14] ; [38 24],[16.89010989 12.10989011] ; [36.10989011 25.89010989],0
d3,1,0.403706,0.697259,[80 35] ; [210  75],[83.375 31.625] ; [206.625  78.375],0
d1,1,0.432361,0.616472,[70 45] ; [186 100],[73.41645885 41.58354115] ; [182.58354115 103.41645885],0
p7,1,0.503502,0.447547,[76 37] ; [193  80],[78.74870466 34.25129534] ; [190.25129534  82.74870466],0
a3,1,0.504615,0.445218,[86 28] ; [223  61],[88.50753769 25.49246231] ; [220.49246231  63.50753769],0
a5,1,0.515196,0.4235,[90 25] ; [232  54],[92.34413965 22.65586035] ; [229.65586035  56.34413965],0
a1,1,0.525529,0.40303,[  5 110] ; [ 17 269],[  6.30922693 108.69077307] ; [ 15.69077307 270.30922693],0
d4,1,0.534473,0.38588,[96 19] ; [244  40],[97.99498747 17.00501253] ; [242.00501253  41.99498747],0
r3,1,0.571557,0.320084,[111   4] ; [278   7],[111.8375   3.1625] ; [277.1625   7.8375],0
a7,1,0.576562,0.311826,[82 33] ; [211  74],[84.2375 30.7625] ; [208.7625  76.2375],0
p3,1,0.586413,0.295981,[60 54] ; [158 126],[62.44221106 51.55778894] ; [155.55778894 128.44221106],0
