Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,28.397899,[45  3] ; [11 18],[34.90909091 13.09090909] ; [21.09090909  7.90909091],1
s3,1,0.00062,11.716024,[39 11] ; [12 18],[31.875 18.125] ; [19.125 10.875],1
s2,1,0.000707,11.471441,[36 14] ; [10 20],[28.75 21.25] ; [17.25 12.75],1
p8,1,0.005008,7.876371,[46  4] ; [21 10],[41.35802469  8.64197531] ; [25.64197531  5.35802469],0
r2,1,0.006409,7.431681,[48  1] ; [24  6],[44.65822785  4.34177215] ; [27.34177215  2.65822785],0
v1,1,0.020337,5.382762,[37 12] ; [15 15],[32.25316456 16.74683544] ; [19.74683544 10.25316456],0
a3,1,0.027672,4.848356,[45  5] ; [22  9],[41.35802469  8.64197531] ; [25.64197531  5.35802469],0
r4,1,0.058986,3.565655,[48  2] ; [26  5],[45.67901235  4.32098765] ; [28.32098765  2.67901235],0
s6,1,0.072033,3.23608,[44  5] ; [20  7],[41.26315789  7.73684211] ; [22.73684211  4.26315789],0
r1,1,0.094638,2.793651,[44  6] ; [22  8],[41.25  8.75] ; [24.75  5.25],0
r3,1,0.111961,2.526316,[49  1] ; [27  3],[47.5  2.5] ; [28.5  1.5],0
d4,1,0.121343,2.399895,[45  5] ; [24  7],[42.59259259  7.40740741] ; [26.40740741  4.59259259],0
p2,1,0.13698,2.211561,[48  2] ; [27  4],[46.2962963  3.7037037] ; [28.7037037  2.2962963],0
a8,1,0.155146,2.02091,[ 9 38] ; [ 2 26],[ 6.89333333 40.10666667] ; [ 4.10666667 23.89333333],0
p6,1,0.170137,1.881739,[35 13] ; [18 13],[32.20253165 15.79746835] ; [20.79746835 10.20253165],0
s1,1,0.171939,1.865956,[ 6 44] ; [ 1 30],[ 4.32098765 45.67901235] ; [ 2.67901235 28.32098765],0
s4,1,0.186308,1.746571,[ 9 41] ; [ 2 26],[ 7.05128205 42.94871795] ; [ 3.94871795 24.05128205],0
p7,1,0.222149,1.490436,[43  6] ; [24  7],[41.0375  7.9625] ; [25.9625  5.0375],0
v3,1,0.276986,1.181818,[30 18] ; [15 15],[27.69230769 20.30769231] ; [17.30769231 12.69230769],0
v4,1,0.287495,1.131313,[49  1] ; [28  2],[48.125  1.875] ; [28.875  1.125],0
p10,1,0.295715,1.093417,[46  3] ; [27  4],[44.7125  4.2875] ; [28.2875  2.7125],0
p9,1,0.302086,1.064964,[48  2] ; [28  3],[46.91358025  3.08641975] ; [29.08641975  1.91358025],0
v2,1,0.32327,0.975669,[31 17] ; [16 14],[28.92307692 19.07692308] ; [18.07692308 11.92307692],0
a6,1,0.339508,0.912287,[32 18] ; [23  8],[33.95061728 16.04938272] ; [21.04938272  9.95061728],0
u1,1,0.351097,0.869489,[10 40] ; [ 9 22],[11.72839506 38.27160494] ; [ 7.27160494 23.72839506],0
a5,1,0.351097,0.869489,[40 10] ; [22  9],[38.27160494 11.72839506] ; [23.72839506  7.27160494],0
b4,1,0.35127,0.868864,[27 23] ; [20 11],[29.01234568 20.98765432] ; [17.98765432 13.01234568],0
d1,1,0.364639,0.821852,[34 16] ; [18 13],[32.09876543 17.90123457] ; [19.90123457 11.09876543],0
b5,1,0.458912,0.548547,[20 30] ; [15 16],[21.60493827 28.39506173] ; [13.39506173 17.60493827],0
n5,1,0.472187,0.516854,[46  4] ; [27  4],[45.0617284  4.9382716] ; [27.9382716  3.0617284],0
n4,1,0.472187,0.516854,[46  4] ; [27  4],[45.0617284  4.9382716] ; [27.9382716  3.0617284],0
d3,1,0.478502,0.502275,[36 14] ; [20 11],[34.56790123 15.43209877] ; [21.43209877  9.56790123],0
