Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.163187,1.944444,[11  4] ; [10 10],[9. 6.] ; [12.  8.],0
b1,1,0.278092,1.176389,[7 8] ; [13  7],[8.57142857 6.42857143] ; [11.42857143  8.57142857],0
p11,1,0.278092,1.176389,[8 7] ; [ 7 13],[6.42857143 8.57142857] ; [ 8.57142857 11.42857143],0
p8,1,0.599203,0.276199,[ 4 11] ; [ 7 13],[ 4.71428571 10.28571429] ; [ 6.28571429 13.71428571],0
