Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,7e-06,20.210883,[ 4 32] ; [28 19],[13.87951807 22.12048193] ; [18.12048193 28.87951807],1
p3,1,0.000243,13.461951,[ 7 29] ; [28 19],[15.18072289 20.81927711] ; [19.81927711 27.18072289],1
p7,1,0.000475,12.211487,[15 20] ; [37  9],[22.4691358 12.5308642] ; [29.5308642 16.4691358],1
p4,1,0.00195,9.595548,[13 23] ; [33 14],[19.95180723 16.04819277] ; [26.04819277 20.95180723],0
s8,1,0.003958,8.303213,[10 26] ; [28 19],[16.48192771 19.51807229] ; [21.51807229 25.48192771],0
s7,1,0.01034,6.575295,[15 19] ; [34 13],[20.56790123 13.43209877] ; [28.43209877 18.56790123],0
s6,1,0.0127,6.210389,[22 14] ; [40  7],[26.89156627  9.10843373] ; [35.10843373 11.89156627],0
v3,1,0.020852,5.33909,[ 8 28] ; [22 25],[13.01204819 22.98795181] ; [16.98795181 30.01204819],0
p10,1,0.024238,5.077505,[24 12] ; [41  6],[28.19277108  7.80722892] ; [36.80722892 10.19277108],0
n5,1,0.025287,5.004131,[22 14] ; [39  8],[26.45783133  9.54216867] ; [34.54216867 12.45783133],0
p11,1,0.025287,5.004131,[22 14] ; [39  8],[26.45783133  9.54216867] ; [34.54216867 12.45783133],0
v2,1,0.039748,4.228602,[11 25] ; [24 21],[15.55555556 20.44444444] ; [19.44444444 25.55555556],0
p1,1,0.043553,4.073816,[ 2 34] ; [10 37],[ 5.20481928 30.79518072] ; [ 6.79518072 40.20481928],0
b2,1,0.070798,3.264429,[ 6 19] ; [13 14],[ 9.13461538 15.86538462] ; [ 9.86538462 17.13461538],0
b3,1,0.070798,3.264429,[ 6 19] ; [13 14],[ 9.13461538 15.86538462] ; [ 9.86538462 17.13461538],0
n6,1,0.073577,3.201351,[24 11] ; [40  7],[27.31707317  7.68292683] ; [36.68292683 10.31707317],0
s5,1,0.079093,3.083447,[10 25] ; [22 24],[13.82716049 21.17283951] ; [18.17283951 27.82716049],0
a5,1,0.130274,2.289233,[17 19] ; [30 17],[20.38554217 15.61445783] ; [26.61445783 20.38554217],0
n1,1,0.168843,1.893182,[2 9] ; [3 3],[3.23529412 7.76470588] ; [1.76470588 4.23529412],0
p2,1,0.228499,1.45018,[25 11] ; [38  9],[27.3253012  8.6746988] ; [35.6746988 11.3253012],0
u2,1,0.24706,1.33985,[7 8] ; [12  6],[8.63636364 6.36363636] ; [10.36363636  7.63636364],0
a4,1,0.254215,1.299992,[ 8 28] ; [ 6 41],[ 6.07228916 29.92771084] ; [ 7.92771084 39.07228916],0
p5,1,0.266789,1.23318,[ 3 32] ; [ 8 39],[ 4.69512195 30.30487805] ; [ 6.30487805 40.69512195],0
b5,1,0.353619,0.860426,[25 11] ; [28 19],[22.98795181 13.01204819] ; [30.01204819 16.98795181],0
s4,1,0.353766,0.859904,[10 26] ; [ 9 38],[ 8.24096386 27.75903614] ; [10.75903614 36.24096386],0
p9,1,0.37205,0.796806,[27  9] ; [39  8],[28.62650602  7.37349398] ; [37.37349398  9.62650602],0
a7,1,0.38476,0.755437,[22 14] ; [33 14],[23.85542169 12.14457831] ; [31.14457831 15.85542169],0
s1,1,0.41865,0.654101,[ 4 31] ; [ 3 44],[ 2.98780488 32.01219512] ; [ 4.01219512 42.98780488],0
r2,1,0.444627,0.584312,[30  6] ; [41  5],[31.17073171  4.82926829] ; [39.82926829  6.17073171],0
d4,1,0.50898,0.436164,[22 14] ; [32 15],[23.42168675 12.57831325] ; [30.57831325 16.42168675],0
a6,1,0.535779,0.383418,[19 17] ; [28 19],[20.38554217 15.61445783] ; [26.61445783 20.38554217],0
a3,1,0.572528,0.318471,[20 16] ; [29 18],[21.25301205 14.74698795] ; [27.74698795 19.25301205],0
n3,1,0.585106,0.298052,[7 4] ; [3 3],[6.47058824 4.52941176] ; [3.52941176 2.47058824],0
b1,1,0.640453,0.218151,[15 21] ; [22 25],[16.04819277 19.95180723] ; [20.95180723 26.04819277],0
v1,1,0.678886,0.171382,[18 17] ; [22 25],[17.07317073 17.92682927] ; [22.92682927 24.07317073],0
v4,1,0.700891,0.147547,[33  3] ; [41  5],[32.48780488  3.51219512] ; [41.51219512  4.48780488],0
d1,1,0.724361,0.124353,[ 3 33] ; [ 5 42],[ 3.46987952 32.53012048] ; [ 4.53012048 42.46987952],0
