Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,5e-06,20.928499,[101   9] ; [8 8],[95.15873016 14.84126984] ; [13.84126984  2.15873016],1
r1,1,0.000666,11.581827,[81 29] ; [ 5 11],[75.07936508 34.92063492] ; [10.92063492  5.07936508],1
v4,1,0.001188,10.508362,[108   2] ; [13  3],[105.63492063   4.36507937] ; [15.36507937  0.63492063],0
r3,1,0.005184,7.814006,[106   3] ; [13  3],[103.768   5.232] ; [15.232  0.768],0
n5,1,0.015531,5.855222,[86 24] ; [8 8],[82.06349206 27.93650794] ; [11.93650794  4.06349206],0
p11,1,0.020432,5.374567,[85 25] ; [8 8],[81.19047619 28.80952381] ; [11.80952381  4.19047619],0
a7,1,0.022447,5.210805,[73 36] ; [ 6 10],[68.888 40.112] ; [10.112  5.888],0
b1,1,0.038131,4.299174,[39 71] ; [10  6],[42.77777778 67.22222222] ; [6.22222222 9.77777778],0
n3,1,0.041074,4.172958,[17  5] ; [2 4],[14.92857143  7.07142857] ; [4.07142857 1.92857143],0
p8,1,0.06932,3.299058,[67 42] ; [ 6 10],[63.656 45.344] ; [9.344 6.656],0
n6,1,0.074773,3.175001,[94 15] ; [11  5],[91.56 17.44] ; [13.44  2.56],0
b4,1,0.076352,3.140896,[67 43] ; [ 6 10],[63.73015873 46.26984127] ; [9.26984127 6.73015873],0
p7,1,0.091815,2.842251,[76 31] ; [8 8],[73.07317073 33.92682927] ; [10.92682927  5.07317073],0
p9,1,0.097912,2.739226,[88 21] ; [10  6],[85.456 23.544] ; [12.544  3.456],0
s6,1,0.122847,2.380645,[75 33] ; [8 8],[72.29032258 35.70967742] ; [10.70967742  5.29032258],0
p2,1,0.149289,2.079498,[97 13] ; [12  4],[95.15873016 14.84126984] ; [13.84126984  2.15873016],0
p10,1,0.175732,1.833353,[85 24] ; [10  6],[82.84 26.16] ; [12.16  3.84],0
p6,1,0.205604,1.602116,[52 56] ; [ 5 11],[49.64516129 58.35483871] ; [7.35483871 8.64516129],0
a1,1,0.277279,1.180377,[  2 108] ; [ 1 15],[  2.61904762 107.38095238] ; [ 0.38095238 15.61904762],0
s2,1,0.332866,0.937714,[55 54] ; [ 6 10],[53.192 55.808] ; [7.808 8.192],0
s3,1,0.339567,0.912066,[61 47] ; [7 9],[59.22580645 48.77419355] ; [8.77419355 7.22580645],0
d5,1,0.352762,0.863497,[81 29] ; [10  6],[79.44444444 30.55555556] ; [11.55555556  4.44444444],0
u2,1,0.377986,0.777241,[36 24] ; [4 5],[34.7826087 25.2173913] ; [5.2173913 3.7826087],0
b2,1,0.380054,0.770526,[15 47] ; [1 8],[13.97183099 48.02816901] ; [2.02816901 6.97183099],0
b3,1,0.380054,0.770526,[15 47] ; [1 8],[13.97183099 48.02816901] ; [2.02816901 6.97183099],0
a6,1,0.380127,0.770292,[61 49] ; [7 9],[59.36507937 50.63492063] ; [8.63492063 7.36507937],0
a8,1,0.381888,0.764615,[12 89] ; [ 3 12],[13.06034483 87.93965517] ; [ 1.93965517 13.06034483],0
s7,1,0.403661,0.697394,[49 54] ; [5 9],[47.53846154 55.46153846] ; [6.46153846 7.53846154],0
d2,1,0.454541,0.559304,[25 85] ; [ 5 11],[26.19047619 83.80952381] ; [ 3.80952381 12.19047619],0
s4,1,0.476826,0.506114,[19 89] ; [ 4 12],[20.03225806 87.96774194] ; [ 2.96774194 13.03225806],0
v1,1,0.521605,0.410718,[56 51] ; [7 9],[54.80487805 52.19512195] ; [8.19512195 7.80487805],0
v2,1,0.55906,0.341334,[48 58] ; [ 6 10],[46.91803279 59.08196721] ; [7.08196721 8.91803279],0
v3,1,0.560513,0.338817,[40 63] ; [ 5 11],[38.94957983 64.05042017] ; [6.05042017 9.94957983],0
d3,1,0.568112,0.325851,[70 40] ; [9 7],[68.96825397 41.03174603] ; [10.03174603  5.96825397],0
d1,1,0.592162,0.286981,[42 68] ; [ 5 11],[41.03174603 68.96825397] ; [ 5.96825397 10.03174603],0
n1,1,0.594853,0.282828,[10 12] ; [2 4],[ 9.42857143 12.57142857] ; [2.57142857 3.42857143],0
b5,1,0.669463,0.182231,[68 42] ; [9 7],[67.22222222 42.77777778] ; [9.77777778 6.22222222],0
d4,1,0.681576,0.168357,[77 33] ; [12  4],[77.6984127 32.3015873] ; [11.3015873  4.6984127],0
n4,1,0.739985,0.11014,[80 30] ; [11  5],[79.44444444 30.55555556] ; [11.55555556  4.44444444],0
s1,1,0.778028,0.079462,[  5 103] ; [ 1 15],[  5.22580645 102.77419355] ; [ 0.77419355 15.22580645],0
a4,1,0.77989,0.078099,[24 86] ; [ 3 13],[23.57142857 86.42857143] ; [ 3.42857143 12.57142857],0
s5,1,0.798779,0.064988,[29 74] ; [ 5 11],[29.42857143 73.57142857] ; [ 4.57142857 11.42857143],0
n2,1,0.82176,0.050752,[15  6] ; [4 2],[14.77777778  6.22222222] ; [4.22222222 1.77777778],0
s8,1,0.848541,0.036474,[44 66] ; [ 6 10],[43.65079365 66.34920635] ; [6.34920635 9.65079365],0
u3,1,0.874905,0.024784,[35 25] ; [5 4],[34.7826087 25.2173913] ; [5.2173913 3.7826087],0
p5,1,0.880159,0.022731,[22 86] ; [ 3 13],[21.77419355 86.22580645] ; [ 3.22580645 12.77419355],0
a3,1,0.927934,0.00818,[49 60] ; [7 9],[48.832 60.168] ; [7.168 8.832],0
p3,1,0.958151,0.002753,[68 42] ; [10  6],[68.0952381 41.9047619] ; [9.9047619 6.0952381],0
p12,1,0.986104,0.000303,[  7 103] ; [ 1 15],[  6.98412698 103.01587302] ; [ 1.01587302 14.98412698],0
