Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,7e-05,15.815571,[27  4] ; [3 9],[21.62790698  9.37209302] ; [8.37209302 3.62790698],1
s8,1,0.001653,9.900023,[23  8] ; [ 3 10],[18.31818182 12.68181818] ; [7.68181818 5.31818182],0
s3,1,0.002195,9.378994,[27  4] ; [5 7],[23.06976744  7.93023256] ; [8.93023256 3.06976744],0
s6,1,0.006685,7.355676,[29  1] ; [8 4],[26.42857143  3.57142857] ; [10.57142857  1.42857143],0
s5,1,0.015887,5.815385,[22  8] ; [4 8],[18.57142857 11.42857143] ; [7.42857143 4.57142857],0
n3,1,0.021248,5.306327,[8 1] ; [1 3],[6.23076923 2.76923077] ; [2.76923077 1.23076923],0
d5,1,0.023909,5.101186,[28  3] ; [8 5],[25.36363636  5.63636364] ; [10.63636364  2.36363636],0
n6,1,0.036636,4.367246,[30  1] ; [10  3],[28.18181818  2.81818182] ; [11.81818182  1.18181818],0
p7,1,0.041821,4.142446,[25  5] ; [7 6],[22.3255814  7.6744186] ; [9.6744186 3.3255814],0
n4,1,0.042203,4.127047,[24  7] ; [6 7],[21.13636364  9.86363636] ; [8.86363636 4.13636364],0
b4,1,0.061022,3.509394,[17 14] ; [11  2],[19.72727273 11.27272727] ; [8.27272727 4.72727273],0
d1,1,0.073418,3.204906,[23  8] ; [6 7],[20.43181818 10.56818182] ; [8.56818182 4.43181818],0
a4,1,0.081244,3.039833,[16 15] ; [ 3 10],[13.38636364 17.61363636] ; [5.61363636 7.38636364],0
u1,1,0.08599,2.947891,[10 21] ; [ 1 12],[ 7.75 23.25] ; [3.25 9.75],0
p9,1,0.123142,2.376896,[28  2] ; [10  3],[26.51162791  3.48837209] ; [11.48837209  1.51162791],0
n2,1,0.124541,2.359259,[8 1] ; [2 2],[6.92307692 2.07692308] ; [3.07692308 0.92307692],0
b1,1,0.129627,2.296963,[12 19] ; [ 2 11],[ 9.86363636 21.13636364] ; [4.13636364 8.86363636],0
p8,1,0.131475,2.275006,[19 11] ; [5 8],[16.74418605 13.25581395] ; [7.25581395 5.74418605],0
p2,1,0.160952,1.965261,[27  4] ; [9 4],[25.36363636  5.63636364] ; [10.63636364  2.36363636],0
v1,1,0.165282,1.925227,[19 12] ; [5 8],[16.90909091 14.09090909] ; [7.09090909 5.90909091],0
p11,1,0.181746,1.783292,[25  6] ; [8 5],[23.25  7.75] ; [9.75 3.25],0
v2,1,0.182455,1.777512,[20 11] ; [11  2],[21.84090909  9.15909091] ; [9.15909091 3.84090909],0
n5,1,0.186136,1.747938,[23  8] ; [7 6],[21.13636364  9.86363636] ; [8.86363636 4.13636364],0
d4,1,0.237332,1.396369,[28  3] ; [10  3],[26.77272727  4.22727273] ; [11.22727273  1.77272727],0
p4,1,0.258362,1.277513,[20 11] ; [6 7],[18.31818182 12.68181818] ; [7.68181818 5.31818182],0
r1,1,0.272019,1.206538,[26  5] ; [9 4],[24.65909091  6.34090909] ; [10.34090909  2.65909091],0
a2,1,0.340156,0.909843,[ 9 22] ; [ 2 11],[ 7.75 23.25] ; [3.25 9.75],0
b5,1,0.35506,0.855291,[19 12] ; [6 7],[17.61363636 13.38636364] ; [7.38636364 5.61363636],0
a3,1,0.399901,0.708624,[27  4] ; [10  3],[26.06818182  4.93181818] ; [10.93181818  2.06818182],0
d3,1,0.409762,0.679492,[25  6] ; [9 4],[23.95454545  7.04545455] ; [10.04545455  2.95454545],0
a7,1,0.420153,0.649888,[20 11] ; [10  3],[21.13636364  9.86363636] ; [8.86363636 4.13636364],0
p6,1,0.438988,0.598927,[13 17] ; [4 9],[11.86046512 18.13953488] ; [5.13953488 7.86046512],0
d2,1,0.598735,0.276909,[17 14] ; [6 7],[16.20454545 14.79545455] ; [6.79545455 6.20454545],0
b2,1,0.629412,0.232859,[ 5 11] ; [2 7],[ 4.48 11.52] ; [2.52 6.48],0
b3,1,0.629412,0.232859,[ 5 11] ; [2 7],[ 4.48 11.52] ; [2.52 6.48],0
p3,1,0.646796,0.209964,[19 12] ; [7 6],[18.31818182 12.68181818] ; [7.68181818 5.31818182],0
u2,1,0.659243,0.194444,[2 2] ; [2 1],[2.28571429 1.71428571] ; [1.71428571 1.28571429],0
a6,1,0.692055,0.156869,[21 10] ; [8 5],[20.43181818 10.56818182] ; [8.56818182 4.43181818],0
a5,1,0.735937,0.11373,[23  8] ; [9 4],[22.54545455  8.45454545] ; [9.45454545 3.54545455],0
p5,1,0.826783,0.047886,[ 4 27] ; [ 2 11],[ 4.22727273 26.77272727] ; [ 1.77272727 11.22727273],0
p10,1,0.826783,0.047886,[27  4] ; [11  2],[26.77272727  4.22727273] ; [11.22727273  1.77272727],0
p12,1,0.834464,0.043672,[ 3 28] ; [ 1 12],[ 2.81818182 28.18181818] ; [ 1.18181818 11.81818182],0
a8,1,0.837224,0.042208,[ 2 26] ; [ 1 10],[ 2.15384615 25.84615385] ; [ 0.84615385 10.15384615],0
