Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.000233,13.541667,[ 5 45] ; [8 7],[10. 40.] ; [ 3. 12.],1
s7,1,0.00773,7.094926,[ 6 41] ; [6 7],[ 9.4 37.6] ; [ 2.6 10.4],0
a2,1,0.01272,6.207672,[ 4 46] ; [ 5 10],[ 6.92307692 43.07692308] ; [ 2.07692308 12.92307692],0
v1,1,0.013076,6.158756,[10 39] ; [8 7],[13.78125 35.21875] ; [ 4.21875 10.78125],0
s6,1,0.020626,5.35814,[12 37] ; [8 6],[15.55555556 33.44444444] ; [4.44444444 9.55555556],0
v2,1,0.039672,4.231837,[15 34] ; [9 6],[18.375 30.625] ; [5.625 9.375],0
s2,1,0.052301,3.766111,[ 9 41] ; [6 8],[11.71875 38.28125] ; [ 3.28125 10.71875],0
p12,1,0.070218,3.277915,[ 1 48] ; [ 2 13],[ 2.296875 46.703125] ; [ 0.703125 14.296875],0
p8,1,0.083521,2.995019,[ 9 40] ; [6 9],[11.484375 37.515625] ; [ 3.515625 11.484375],0
p4,1,0.17514,1.838384,[14 36] ; [7 8],[16.15384615 33.84615385] ; [ 4.84615385 10.15384615],0
p1,1,0.18853,1.729064,[ 4 46] ; [ 3 12],[ 5.38461538 44.61538462] ; [ 1.61538462 13.38461538],0
b4,1,0.196304,1.669662,[31 19] ; [12  3],[33.07692308 16.92307692] ; [9.92307692 5.07692308],0
a6,1,0.204262,1.611638,[24 26] ; [10  5],[26.15384615 23.84615385] ; [7.84615385 7.15384615],0
n6,1,0.20438,1.610795,[23 25] ; [10  5],[25.14285714 22.85714286] ; [7.85714286 7.14285714],0
a3,1,0.2084,1.582506,[27 22] ; [11  4],[29.09375 19.90625] ; [8.90625 6.09375],0
r4,1,0.295752,1.093249,[13 37] ; [6 9],[14.61538462 35.38461538] ; [ 4.38461538 10.61538462],0
s5,1,0.31078,1.027358,[ 9 40] ; [ 1 13],[ 7.77777778 41.22222222] ; [ 2.22222222 11.77777778],0
u2,1,0.333697,0.934497,[ 6 17] ; [2 2],[ 6.81481481 16.18518519] ; [1.18518519 2.81481481],0
u3,1,0.338232,0.91712,[ 2 21] ; [1 3],[ 2.55555556 20.44444444] ; [0.44444444 3.55555556],0
p3,1,0.371488,0.798682,[11 39] ; [ 5 10],[12.30769231 37.69230769] ; [ 3.69230769 11.30769231],0
r1,1,0.384902,0.754987,[23 27] ; [ 5 10],[21.53846154 28.46153846] ; [6.46153846 8.53846154],0
p6,1,0.389284,0.741176,[ 8 40] ; [ 4 11],[ 9.14285714 38.85714286] ; [ 2.85714286 12.14285714],0
b5,1,0.41488,0.664773,[24 26] ; [9 6],[25.38461538 24.61538462] ; [7.61538462 7.38461538],0
n5,1,0.420755,0.648206,[31 19] ; [11  4],[32.30769231 17.69230769] ; [9.69230769 5.30769231],0
a7,1,0.496447,0.462524,[25 25] ; [9 6],[26.15384615 23.84615385] ; [7.84615385 7.15384615],0
d3,1,0.524803,0.404444,[22 28] ; [8 7],[23.07692308 26.92307692] ; [6.92307692 8.07692308],0
p9,1,0.543524,0.369048,[23 25] ; [8 6],[24. 24.] ; [7. 7.],0
r2,1,0.591297,0.288324,[25 23] ; [9 6],[25.9047619 22.0952381] ; [8.0952381 6.9047619],0
p10,1,0.635256,0.225,[21 28] ; [7 7],[21.77777778 27.22222222] ; [6.22222222 7.77777778],0
d1,1,0.641592,0.216667,[20 30] ; [ 5 10],[19.23076923 30.76923077] ; [5.76923077 9.23076923],0
s3,1,0.677392,0.173077,[18 31] ; [6 8],[18.66666667 30.33333333] ; [5.33333333 8.66666667],0
p5,1,0.680872,0.169145,[ 5 44] ; [ 1 14],[ 4.59375 44.40625] ; [ 1.40625 13.59375],0
a8,1,0.681532,0.168407,[ 8 40] ; [ 3 11],[ 8.51612903 39.48387097] ; [ 2.48387097 11.51612903],0
r3,1,0.703239,0.145125,[30 19] ; [10  5],[30.625 18.375] ; [9.375 5.625],0
a1,1,0.714917,0.133415,[ 5 45] ; [ 2 13],[ 5.38461538 44.61538462] ; [ 1.61538462 13.38461538],0
p2,1,0.737931,0.111953,[22 27] ; [6 9],[21.4375 27.5625] ; [6.5625 8.4375],0
d5,1,0.742556,0.107893,[31 19] ; [10  5],[31.53846154 18.46153846] ; [9.46153846 5.53846154],0
n4,1,0.8034,0.061976,[35 15] ; [11  4],[35.38461538 14.61538462] ; [10.61538462  4.38461538],0
d4,1,0.8034,0.061976,[35 15] ; [11  4],[35.38461538 14.61538462] ; [10.61538462  4.38461538],0
b1,1,0.820826,0.051294,[25 25] ; [8 7],[25.38461538 24.61538462] ; [7.61538462 7.38461538],0
b2,1,0.832192,0.044898,[13 22] ; [3 6],[12.72727273 22.27272727] ; [3.27272727 5.72727273],0
b3,1,0.832192,0.044898,[13 22] ; [3 6],[12.72727273 22.27272727] ; [3.27272727 5.72727273],0
s1,1,0.865036,0.028889,[ 4 46] ; [ 1 14],[ 3.84615385 46.15384615] ; [ 1.15384615 13.84615385],0
d2,1,0.875371,0.024599,[24 25] ; [7 8],[23.734375 25.265625] ; [7.265625 7.734375],0
a5,1,0.89035,0.019006,[29 21] ; [9 6],[29.23076923 20.76923077] ; [8.76923077 6.23076923],0
n1,1,0.901694,0.015257,[10 12] ; [1 1],[10.08333333 11.91666667] ; [0.91666667 1.08333333],0
a4,1,0.922666,0.009424,[17 32] ; [ 5 10],[16.84375 32.15625] ; [5.15625 9.84375],0
p7,1,0.922847,0.00938,[16 34] ; [ 5 10],[16.15384615 33.84615385] ; [ 4.84615385 10.15384615],0
