Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,2e-06,22.876847,[17 70] ; [26 16],[29. 58.] ; [14. 28.],1
p8,1,0.00316,8.712923,[13 74] ; [16 26],[19.55813953 67.44186047] ; [ 9.44186047 32.55813953],0
p6,1,0.004193,8.198235,[11 76] ; [14 27],[16.9921875 70.0078125] ; [ 8.0078125 32.9921875],0
s6,1,0.020418,5.375818,[46 39] ; [31 10],[51.94444444 33.05555556] ; [25.05555556 15.94444444],0
r4,1,0.022822,5.182037,[73 14] ; [41  1],[76.88372093 10.11627907] ; [37.11627907  4.88372093],0
n6,1,0.036037,4.395351,[57 30] ; [35  7],[62.04651163 24.95348837] ; [29.95348837 12.04651163],0
p9,1,0.036983,4.351208,[47 39] ; [31 11],[52.40625 33.59375] ; [25.59375 16.40625],0
b1,1,0.038288,4.29216,[48 39] ; [15 27],[42.48837209 44.51162791] ; [20.51162791 21.48837209],0
p11,1,0.044726,4.028943,[46 41] ; [30 12],[51.25581395 35.74418605] ; [24.74418605 17.25581395],0
d5,1,0.085535,2.956452,[57 29] ; [34  8],[61.140625 24.859375] ; [29.859375 12.140625],0
p10,1,0.093342,2.815774,[46 40] ; [29 13],[50.390625 35.609375] ; [24.609375 17.390625],0
u1,1,0.10746,2.591185,[11 76] ; [10 32],[14.1627907 72.8372093] ; [ 6.8372093 35.1627907],0
p5,1,0.111292,2.535778,[ 4 82] ; [ 5 35],[ 6.14285714 79.85714286] ; [ 2.85714286 37.14285714],0
s5,1,0.118709,2.434276,[19 63] ; [14 24],[22.55 59.45] ; [10.45 27.55],0
v4,1,0.122275,2.387939,[75 12] ; [40  2],[77.55813953  9.44186047] ; [37.44186047  4.55813953],0
s2,1,0.132549,2.262392,[36 50] ; [23 18],[39.95275591 46.04724409] ; [19.04724409 21.95275591],0
b3,1,0.146686,2.106384,[14 38] ; [12 16],[16.9 35.1] ; [ 9.1 18.9],0
b2,1,0.146686,2.106384,[14 38] ; [12 16],[16.9 35.1] ; [ 9.1 18.9],0
a5,1,0.187487,1.737257,[54 33] ; [31 11],[57.3255814 29.6744186] ; [27.6744186 14.3255814],0
v1,1,0.200133,1.641404,[33 54] ; [20 20],[36.30708661 50.69291339] ; [16.69291339 23.30708661],0
s8,1,0.209234,1.576718,[31 55] ; [20 22],[34.265625 51.734375] ; [16.734375 25.265625],0
d2,1,0.21145,1.56147,[37 49] ; [23 19],[40.3125 45.6875] ; [19.6875 22.3125],0
n3,1,0.220055,1.504011,[21 13] ; [9 2],[22.66666667 11.33333333] ; [7.33333333 3.66666667],0
s1,1,0.224023,1.478415,[10 76] ; [ 2 39],[ 8.12598425 77.87401575] ; [ 3.87401575 37.12598425],0
