Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.0,57.6875,[90 52] ; [ 6 65],[64. 78.] ; [32. 39.],1
a3,1,0.0,43.732394,[117  26] ; [25 44],[95.78301887 47.21698113] ; [46.21698113 22.78301887],1
d2,1,3e-06,22.099769,[91 50] ; [22 50],[74.8028169 66.1971831] ; [38.1971831 33.8028169],1
d5,1,3.8e-05,16.982882,[123  19] ; [44 27],[111.33333333  30.66666667] ; [55.66666667 15.33333333],1
d1,1,9.1e-05,15.323725,[90 53] ; [25 47],[76.48837209 66.51162791] ; [38.51162791 33.48837209],1
u1,1,0.000457,12.284184,[ 33 110] ; [ 3 69],[ 23.94418605 119.05581395] ; [12.05581395 59.94418605],1
a6,1,0.001947,9.599211,[98 44] ; [34 38],[87.58878505 54.41121495] ; [44.41121495 27.58878505],0
n4,1,0.002019,9.531766,[99 42] ; [35 37],[88.70422535 52.29577465] ; [45.29577465 26.70422535],0
v2,1,0.003439,8.558422,[75 64] ; [22 46],[65.1352657 73.8647343] ; [31.8647343 36.1352657],0
r1,1,0.003588,8.481308,[114  27] ; [45 27],[105.25352113  35.74647887] ; [53.74647887 18.25352113],0
d3,1,0.008103,7.010461,[103  39] ; [38 32],[94.44339623 47.55660377] ; [46.55660377 23.44339623],0
a8,1,0.021306,5.301576,[ 17 111] ; [ 2 65],[ 12.47179487 115.52820513] ; [ 6.52820513 60.47179487],0
d4,1,0.02986,4.717362,[115  27] ; [48 23],[108.66666667  33.33333333] ; [54.33333333 16.66666667],0
s5,1,0.030011,4.708649,[51 82] ; [16 53],[44.11386139 88.88613861] ; [22.88613861 46.11386139],0
p4,1,0.043235,4.086181,[69 71] ; [25 47],[62.0754717 77.9245283] ; [31.9245283 40.0754717],0
s6,1,0.059168,3.560559,[94 45] ; [38 32],[87.78947368 51.21052632] ; [44.21052632 25.78947368],0
u2,1,0.080104,3.062781,[ 8 18] ; [23 21],[11.51428571 14.48571429] ; [19.48571429 24.51428571],0
s7,1,0.081683,3.031096,[64 68] ; [23 42],[58.29441624 73.70558376] ; [28.70558376 36.29441624],0
p9,1,0.103537,2.650199,[93 46] ; [37 30],[87.7184466 51.2815534] ; [42.2815534 24.7184466],0
p7,1,0.109849,2.556395,[71 68] ; [28 43],[65.52857143 73.47142857] ; [33.47142857 37.52857143],0
v4,1,0.114267,2.494185,[131  12] ; [60 11],[127.63084112  15.36915888] ; [63.36915888  7.63084112],0
n6,1,0.119251,2.427133,[101  40] ; [44 28],[95.98591549 45.01408451] ; [49.01408451 22.98591549],0
a7,1,0.125684,2.34502,[107  36] ; [46 25],[102.23831776  40.76168224] ; [50.76168224 20.23831776],0
r4,1,0.139585,2.182526,[121  22] ; [55 17],[117.06046512  25.93953488] ; [58.93953488 13.06046512],0
p6,1,0.17107,1.873543,[46 93] ; [17 54],[41.7 97.3] ; [21.3 49.7],0
v3,1,0.175216,1.83774,[51 85] ; [19 49],[46.66666667 89.33333333] ; [23.33333333 44.66666667],0
s8,1,0.186886,1.741996,[54 87] ; [21 51],[49.64788732 91.35211268] ; [25.35211268 46.64788732],0
r3,1,0.187811,1.734704,[126  17] ; [57 13],[122.85915493  20.14084507] ; [60.14084507  9.85915493],0
n1,1,0.250432,1.320889,[26 27] ; [10 18],[23.55555556 29.44444444] ; [12.44444444 15.55555556],0
n3,1,0.255183,1.294705,[38 14] ; [17 11],[35.75 16.25] ; [19.25  8.75],0
p1,1,0.258982,1.274189,[ 11 131] ; [ 9 63],[ 13.27102804 128.72897196] ; [ 6.72897196 65.27102804],0
p3,1,0.26835,1.225161,[58 83] ; [24 48],[54.28169014 86.71830986] ; [27.71830986 44.28169014],0
p5,1,0.281121,1.161664,[  8 132] ; [ 7 65],[  9.90566038 130.09433962] ; [ 5.09433962 66.90566038],0
u3,1,0.313074,1.017665,[11 14] ; [26 20],[13.02816901 11.97183099] ; [23.97183099 22.02816901],0
p10,1,0.353624,0.86041,[79 60] ; [34 34],[75.87922705 63.12077295] ; [37.12077295 30.87922705],0
a1,1,0.411875,0.673382,[ 10 133] ; [ 3 69],[  8.64651163 134.35348837] ; [ 4.35348837 67.64651163],0
s1,1,0.417966,0.656027,[  8 134] ; [ 6 64],[  9.37735849 132.62264151] ; [ 4.62264151 65.37735849],0
n2,1,0.428028,0.628168,[40 15] ; [18 10],[38.43373494 16.56626506] ; [19.56626506  8.43373494],0
b4,1,0.470742,0.520234,[76 67] ; [42 30],[78.48372093 64.51627907] ; [39.51627907 32.48372093],0
p8,1,0.490917,0.474515,[48 92] ; [21 50],[45.78199052 94.21800948] ; [23.21800948 47.78199052],0
s2,1,0.500649,0.453561,[72 70] ; [33 39],[69.6728972 72.3271028] ; [35.3271028 36.6728972],0
p12,1,0.517737,0.418399,[  4 137] ; [ 1 70],[  3.3254717 137.6745283] ; [ 1.6745283 69.3254717],0
p2,1,0.540075,0.375402,[90 51] ; [49 23],[92.01408451 48.98591549] ; [46.98591549 25.01408451],0
b1,1,0.595337,0.282086,[75 68] ; [35 37],[73.1627907 69.8372093] ; [36.8372093 35.1627907],0
n5,1,0.628893,0.233565,[89 52] ; [43 29],[87.38028169 53.61971831] ; [44.61971831 27.38028169],0
s4,1,0.685627,0.16386,[ 31 111] ; [14 58],[ 29.85981308 112.14018692] ; [15.14018692 56.85981308],0
