Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.000882,11.060049,[7 1] ; [ 3 14],[3.2 4.8] ; [ 6.8 10.2],1
s7,1,0.004712,7.986926,[5 2] ; [ 2 14],[2.13043478 4.86956522] ; [ 4.86956522 11.13043478],0
v2,1,0.008401,6.945903,[5 3] ; [ 2 15],[2.24 5.76] ; [ 4.76 12.24],0
s5,1,0.010097,6.617647,[4 4] ; [ 1 16],[1.6 6.4] ; [ 3.4 13.6],0
a3,1,0.054181,3.707108,[7 1] ; [8 9],[4.8 3.2] ; [10.2  6.8],0
p7,1,0.054181,3.707108,[1 7] ; [9 8],[3.2 4.8] ; [ 6.8 10.2],0
a4,1,0.058274,3.585835,[5 3] ; [ 4 13],[2.88 5.12] ; [ 6.12 10.88],0
d3,1,0.063787,3.436086,[6 2] ; [ 6 11],[3.84 4.16] ; [8.16 8.84],0
b4,1,0.093102,2.819904,[7 1] ; [9 8],[5.12 2.88] ; [10.88  6.12],0
r3,1,0.093102,2.819904,[7 1] ; [9 8],[5.12 2.88] ; [10.88  6.12],0
b3,1,0.095205,2.784091,[3 3] ; [1 8],[1.6 4.4] ; [2.4 6.6],0
b2,1,0.095205,2.784091,[3 3] ; [1 8],[1.6 4.4] ; [2.4 6.6],0
n1,1,0.133614,2.25,[2 1] ; [1 5],[1. 2.] ; [2. 4.],0
r2,1,0.189225,1.723644,[6 2] ; [8 9],[4.48 3.52] ; [9.52 7.48],0
p2,1,0.189225,1.723644,[2 6] ; [9 8],[3.52 4.48] ; [7.48 9.52],0
v1,1,0.236386,1.402019,[1 7] ; [ 6 11],[2.24 5.76] ; [ 4.76 12.24],0
n5,1,0.236386,1.402019,[1 7] ; [ 6 11],[2.24 5.76] ; [ 4.76 12.24],0
b5,1,0.319499,0.990997,[3 5] ; [10  7],[4.16 3.84] ; [8.84 8.16],0
p4,1,0.431847,0.617851,[2 6] ; [ 7 10],[2.88 5.12] ; [ 6.12 10.88],0
p11,1,0.470989,0.519655,[5 3] ; [8 9],[4.16 3.84] ; [8.84 8.16],0
a7,1,0.470989,0.519655,[5 3] ; [8 9],[4.16 3.84] ; [8.84 8.16],0
a5,1,0.470989,0.519655,[5 3] ; [8 9],[4.16 3.84] ; [8.84 8.16],0
s3,1,0.48384,0.490196,[4 4] ; [ 6 11],[3.2 4.8] ; [ 6.8 10.2],0
s6,1,0.48384,0.490196,[4 4] ; [ 6 11],[3.2 4.8] ; [ 6.8 10.2],0
p9,1,0.653329,0.201728,[3 5] ; [8 9],[3.52 4.48] ; [7.48 9.52],0
n3,1,0.67329,0.177778,[1 1] ; [4 2],[1.25 0.75] ; [3.75 2.25],0
p6,1,0.74332,0.10723,[1 7] ; [ 3 14],[1.28 6.72] ; [ 2.72 14.28],0
p3,1,0.818733,0.052521,[2 6] ; [ 5 12],[2.24 5.76] ; [ 4.76 12.24],0
v3,1,0.840825,0.040336,[1 6] ; [ 3 14],[1.16666667 5.83333333] ; [ 2.83333333 14.16666667],0
a6,1,0.861052,0.030637,[3 5] ; [ 7 10],[3.2 4.8] ; [ 6.8 10.2],0
r1,1,0.861052,0.030637,[3 5] ; [ 7 10],[3.2 4.8] ; [ 6.8 10.2],0
b1,1,0.890787,0.018854,[4 4] ; [8 9],[3.84 4.16] ; [8.16 8.84],0
n6,1,0.914641,0.011489,[3 5] ; [ 6 11],[2.88 5.12] ; [ 6.12 10.88],0
p10,1,0.914641,0.011489,[3 5] ; [ 6 11],[2.88 5.12] ; [ 6.12 10.88],0
s4,1,0.935989,0.00645,[2 6] ; [ 4 13],[1.92 6.08] ; [ 4.08 12.92],0
s2,1,0.935989,0.00645,[2 6] ; [ 4 13],[1.92 6.08] ; [ 4.08 12.92],0
r4,1,0.935989,0.00645,[2 6] ; [ 4 13],[1.92 6.08] ; [ 4.08 12.92],0
p1,1,0.957911,0.002785,[1 7] ; [ 2 15],[0.96 7.04] ; [ 2.04 14.96],0
n2,1,1.0,0.0,[1 2] ; [2 4],[1. 2.] ; [2. 4.],0
