Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,6.2e-05,16.045781,[33 20] ; [ 5 25],[24.26506024 28.73493976] ; [13.73493976 16.26506024],1
s3,1,0.000231,13.561498,[38 15] ; [ 9 21],[30.01204819 22.98795181] ; [16.98795181 13.01204819],1
r3,1,0.00131,10.32807,[53  1] ; [23  7],[48.85714286  5.14285714] ; [27.14285714  2.85714286],0
s7,1,0.002897,8.8711,[29 24] ; [ 6 23],[22.62195122 30.37804878] ; [12.37804878 16.62195122],0
s5,1,0.005545,7.692658,[18 34] ; [ 2 27],[12.83950617 39.16049383] ; [ 7.16049383 21.83950617],0
n5,1,0.01796,5.6,[36 18] ; [12 18],[30.85714286 23.14285714] ; [17.14285714 12.85714286],0
u3,1,0.031444,4.628571,[17  7] ; [4 8],[14. 10.] ; [7. 5.],0
r1,1,0.033634,4.513234,[41 13] ; [16 14],[36.64285714 17.35714286] ; [20.35714286  9.64285714],0
d4,1,0.065686,3.387654,[44 10] ; [19 11],[40.5 13.5] ; [22.5  7.5],0
s8,1,0.07754,3.11572,[23 31] ; [ 7 23],[19.28571429 34.71428571] ; [10.71428571 19.28571429],0
d5,1,0.080206,3.060729,[45  9] ; [20 10],[41.78571429 12.21428571] ; [23.21428571  6.78571429],0
s4,1,0.10697,2.598425,[13 40] ; [ 3 27],[10.21686747 42.78313253] ; [ 5.78313253 24.21686747],0
u2,1,0.116018,2.470266,[11 13] ; [2 9],[ 8.91428571 15.08571429] ; [4.08571429 6.91428571],0
p8,1,0.129948,2.293127,[28 26] ; [10 19],[24.72289157 29.27710843] ; [13.27710843 15.72289157],0
r2,1,0.143109,2.144209,[49  5] ; [23  6],[46.84337349  7.15662651] ; [25.15662651  3.84337349],0
r4,1,0.153576,2.036364,[45  9] ; [21  9],[42.42857143 11.57142857] ; [23.57142857  6.42857143],0
d1,1,0.160804,1.966648,[32 22] ; [13 17],[28.92857143 25.07142857] ; [16.07142857 13.92857143],0
p5,1,0.161392,1.961136,[ 7 47] ; [ 1 28],[ 5.20481928 48.79518072] ; [ 2.79518072 26.20481928],0
