Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,43.606333,[10 22] ; [90 11],[24.06015038  7.93984962] ; [75.93984962 25.06015038],1
d1,1,0.0,40.122448,[ 1 31] ; [68 33],[16.60150376 15.39849624] ; [52.39849624 48.60150376],1
d3,1,0.0,27.659275,[ 8 24] ; [77 24],[20.45112782 11.54887218] ; [64.54887218 36.45112782],1
r3,1,0.000418,12.448175,[15 17] ; [80 21],[22.85714286  9.14285714] ; [72.14285714 28.85714286],1
r1,1,0.000458,12.278468,[13 19] ; [75 26],[21.17293233 10.82706767] ; [66.82706767 34.17293233],1
d2,1,0.000539,11.974784,[ 7 25] ; [57 43],[15.51515152 16.48484848] ; [48.48484848 51.51515152],1
u2,1,0.001746,9.798781,[ 2 16] ; [19 15],[ 7.26923077 10.73076923] ; [13.73076923 20.26923077],0
a4,1,0.002584,9.080453,[ 6 25] ; [50 50],[13.2519084 17.7480916] ; [42.7480916 57.2519084],0
v4,1,0.003089,8.75415,[19 13] ; [85 16],[25.02255639  6.97744361] ; [78.97744361 22.02255639],0
v2,1,0.004021,8.274442,[ 5 26] ; [44 54],[11.7751938 19.2248062] ; [37.2248062 60.7751938],0
n5,1,0.004441,8.094211,[25  7] ; [50 51],[18.04511278 13.95488722] ; [56.95488722 44.04511278],0
s5,1,0.004846,7.935885,[ 2 30] ; [29 64],[ 7.936 24.064] ; [23.064 69.936],0
r4,1,0.009008,6.821267,[14 18] ; [70 31],[20.21052632 11.78947368] ; [63.78947368 37.21052632],0
s6,1,0.009311,6.762193,[ 9 23] ; [54 45],[15.38931298 16.61068702] ; [47.61068702 51.38931298],0
s2,1,0.011867,6.330641,[ 7 25] ; [47 53],[13.09090909 18.90909091] ; [40.90909091 59.09090909],0
p3,1,0.019016,5.5,[ 3 29] ; [30 70],[ 8. 24.] ; [25. 75.],0
a7,1,0.019596,5.447567,[16 16] ; [73 28],[21.41353383 10.58646617] ; [67.58646617 33.41353383],0
p4,1,0.028106,4.821537,[ 6 26] ; [40 60],[11.15151515 20.84848485] ; [34.84848485 65.15151515],0
a5,1,0.030257,4.694642,[13 19] ; [63 38],[18.28571429 13.71428571] ; [57.71428571 43.28571429],0
s8,1,0.037915,4.308832,[ 5 27] ; [35 65],[ 9.6969697 22.3030303] ; [30.3030303 69.6969697],0
s7,1,0.040217,4.208686,[ 7 23] ; [40 50],[11.75 18.25] ; [35.25 54.75],0
a2,1,0.06297,3.457369,[ 3 29] ; [25 76],[ 6.73684211 25.26315789] ; [21.26315789 79.73684211],0
a3,1,0.065406,3.3947,[14 16] ; [66 35],[18.32061069 11.67938931] ; [61.67938931 39.32061069],0
a1,1,0.083053,3.004114,[ 5 27] ; [ 6 95],[ 2.64661654 29.35338346] ; [ 8.35338346 92.64661654],0
u3,1,0.09992,2.706816,[ 5 13] ; [18 17],[ 7.81132075 10.18867925] ; [15.18867925 19.81132075],0
b5,1,0.147379,2.099168,[15 17] ; [62 39],[18.52631579 13.47368421] ; [58.47368421 42.52631579],0
a6,1,0.176072,1.830469,[14 18] ; [58 43],[17.32330827 14.67669173] ; [54.67669173 46.32330827],0
s3,1,0.176611,1.825911,[10 21] ; [46 54],[13.2519084 17.7480916] ; [42.7480916 57.2519084],0
p1,1,0.179946,1.79807,[ 6 26] ; [10 91],[ 3.84962406 28.15037594] ; [12.15037594 88.84962406],0
a8,1,0.197052,1.664087,[ 3 25] ; [ 4 90],[ 1.60655738 26.39344262] ; [ 5.39344262 88.60655738],0
p6,1,0.209923,1.57196,[ 2 29] ; [15 84],[ 4.05384615 26.94615385] ; [12.94615385 86.05384615],0
b4,1,0.212888,1.551676,[15 17] ; [60 41],[18.04511278 13.95488722] ; [56.95488722 44.04511278],0
