Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,49.513722,[305  42] ; [22 25],[287.99238579  59.00761421] ; [39.00761421  7.99238579],1
n4,1,1e-06,24.680402,[300  47] ; [27 20],[287.99238579  59.00761421] ; [39.00761421  7.99238579],1
p10,1,5e-06,20.790191,[314  28] ; [32 14],[304.97938144  37.02061856] ; [41.02061856  4.97938144],1
p9,1,0.000762,11.330694,[320  23] ; [37 10],[313.97692308  29.02307692] ; [43.02307692  3.97692308],1
a7,1,0.00094,10.942792,[257  89] ; [24 23],[247.39440204  98.60559796] ; [33.60559796 13.39440204],1
b1,1,0.002915,8.859848,[115 232] ; [26 21],[124.18020305 222.81979695] ; [16.81979695 30.18020305],0
r4,1,0.004818,7.946486,[327  20] ; [39  8],[322.34010152  24.65989848] ; [43.65989848  3.34010152],0
d3,1,0.006218,7.485964,[252  95] ; [25 22],[243.95685279 103.04314721] ; [33.04314721 13.95685279],0
r2,1,0.006254,7.475634,[330  13] ; [40  6],[326.24678663  16.75321337] ; [43.75321337  2.24678663],0
u1,1,0.012639,6.218928,[ 76 271] ; [ 3 44],[ 69.57614213 277.42385787] ; [ 9.42385787 37.57614213],0
p4,1,0.014088,6.027084,[242 103] ; [24 22],[234.70588235 110.29411765] ; [31.29411765 14.70588235],0
p7,1,0.014096,6.026064,[246  90] ; [25 20],[238.99212598  97.00787402] ; [32.00787402 12.99212598],0
a6,1,0.016457,5.753427,[244 102] ; [25 22],[236.82951654 109.17048346] ; [32.17048346 14.82951654],0
d1,1,0.018403,5.557368,[224 123] ; [22 25],[216.65482234 130.34517766] ; [29.34517766 17.65482234],0
a4,1,0.023006,5.168068,[171 174] ; [15 32],[163.69897959 181.30102041] ; [22.30102041 24.69897959],0
p2,1,0.037338,4.334945,[307  38] ; [36 10],[302.64705882  42.35294118] ; [40.35294118  5.64705882],0
a2,1,0.037355,4.334143,[ 93 254] ; [ 6 41],[ 87.19035533 259.80964467] ; [11.80964467 35.19035533],0
s5,1,0.038373,4.288404,[133 202] ; [11 35],[126.61417323 208.38582677] ; [17.38582677 28.61417323],0
s2,1,0.041177,4.168698,[188 153] ; [18 28],[181.51421189 159.48578811] ; [24.48578811 21.51421189],0
d4,1,0.043402,4.079665,[297  49] ; [35 12],[292.29516539  53.70483461] ; [39.70483461  7.29516539],0
s7,1,0.043873,4.061461,[178 153] ; [17 28],[171.66223404 159.33776596] ; [23.33776596 21.66223404],0
p3,1,0.046221,3.973528,[204 142] ; [20 26],[197.71428571 148.28571429] ; [26.28571429 19.71428571],0
v3,1,0.047387,3.931598,[180 158] ; [16 27],[173.87926509 164.12073491] ; [22.12073491 20.87926509],0
s6,1,0.048193,3.903242,[244  97] ; [27 20],[238.17268041 102.82731959] ; [32.82731959 14.17268041],0
p6,1,0.049614,3.854448,[156 183] ; [13 30],[149.97643979 189.02356021] ; [19.02356021 23.97643979],0
d2,1,0.053838,3.717704,[177 169] ; [17 30],[170.79898219 175.20101781] ; [23.20101781 23.79898219],0
p8,1,0.081356,3.037608,[214 124] ; [23 23],[208.609375 129.390625] ; [28.390625 17.609375],0
p5,1,0.082824,3.008589,[ 56 288] ; [ 3 43],[ 52.04102564 291.95897436] ; [ 6.95897436 39.04102564],0
a8,1,0.120995,2.404394,[ 51 262] ; [ 3 39],[ 47.61126761 265.38873239] ; [ 6.38873239 35.61126761],0
v2,1,0.126637,2.333254,[239  97] ; [27 18],[234.58267717 101.41732283] ; [31.41732283 13.58267717],0
r3,1,0.157379,1.999229,[337   9] ; [44  3],[335.4351145  10.5648855] ; [45.5648855  1.4351145],0
u2,1,0.189245,1.723485,[45 33] ; [10  3],[47.14285714 30.85714286] ; [7.85714286 5.14285714],0
d5,1,0.19634,1.669392,[291  55] ; [36 11],[287.89312977  58.10687023] ; [39.10687023  7.89312977],0
n1,1,0.213487,1.547619,[22 30] ; [8 5],[24. 28.] ; [6. 7.],0
s8,1,0.222608,1.487478,[179 165] ; [20 27],[175.07928389 168.92071611] ; [23.92071611 23.07928389],0
n2,1,0.263177,1.251965,[41 11] ; [12  1],[42.4  9.6] ; [10.6  2.4],0
u3,1,0.324178,0.972016,[49 29] ; [10  3],[50.57142857 27.42857143] ; [8.42857143 4.57142857],0
b5,1,0.373919,0.7906,[213 134] ; [32 15],[215.77411168 131.22588832] ; [29.22588832 17.77411168],0
s4,1,0.40253,0.700754,[ 52 289] ; [ 5 42],[ 50.09536082 290.90463918] ; [ 6.90463918 40.09536082],0
a3,1,0.407967,0.684717,[269  77] ; [34 13],[266.76335878  79.23664122] ; [36.23664122 10.76335878],0
n3,1,0.413283,0.669336,[38 14] ; [8 5],[36.8 15.2] ; [9.2 3.8],0
b2,1,0.437625,0.602502,[105 133] ; [11 19],[103.01492537 134.98507463] ; [12.98507463 17.01492537],0
b3,1,0.437625,0.602502,[105 133] ; [11 19],[103.01492537 134.98507463] ; [12.98507463 17.01492537],0
s3,1,0.449629,0.571588,[194 146] ; [23 22],[191.63636364 148.36363636] ; [25.36363636 19.63636364],0
a5,1,0.452477,0.564439,[275  72] ; [35 12],[273.02030457  73.97969543] ; [36.97969543 10.02030457],0
v4,1,0.481771,0.494852,[337   9] ; [43  2],[336.26598465   9.73401535] ; [43.73401535  1.26598465],0
r1,1,0.528917,0.396472,[293  54] ; [38  9],[291.51522843  55.48477157] ; [39.48477157  7.51522843],0
b4,1,0.658458,0.195402,[211 136] ; [27 20],[209.60913706 137.39086294] ; [28.39086294 18.60913706],0
a1,1,0.663628,0.189146,[ 17 330] ; [ 3 44],[ 17.6142132 329.3857868] ; [ 2.3857868 44.6142132],0
p12,1,0.743389,0.10717,[ 36 308] ; [ 4 41],[ 35.37275064 308.62724936] ; [ 4.62724936 40.37275064],0
p1,1,0.764314,0.089893,[ 32 313] ; [ 5 42],[ 32.56377551 312.43622449] ; [ 4.43622449 42.56377551],0
s1,1,0.872971,0.025563,[  9 334] ; [ 1 44],[  8.84020619 334.15979381] ; [ 1.15979381 43.84020619],0
