Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,122.207966,[ 67 220] ; [258 131],[137.98076923 149.01923077] ; [187.01923077 201.98076923],1
p6,1,0.0,67.732149,[ 50 232] ; [188 199],[100.32286996 181.67713004] ; [137.67713004 249.32286996],1
p8,1,0.0,48.509611,[100 183] ; [241 144],[144.46556886 138.53443114] ; [196.53443114 188.46556886],1
p7,1,0.0,43.781102,[135 143] ; [283 101],[175.5347432 102.4652568] ; [242.4652568 141.5347432],1
p2,1,0.0,26.444304,[222  65] ; [354  33],[245.27002967  41.72997033] ; [330.72997033  56.27002967],1
n4,1,4e-06,21.299038,[191  95] ; [319  69],[216.40949555  69.59050445] ; [293.59050445  94.40949555],1
a5,1,7e-06,20.091622,[187 100] ; [313  76],[212.27810651  74.72189349] ; [287.72189349 101.27810651],1
d1,1,1.5e-05,18.695206,[139 148] ; [253 136],[166.4260355 120.5739645] ; [225.5739645 163.4260355],1
n5,1,1.9e-05,18.319833,[190  94] ; [314  72],[213.6358209  70.3641791] ; [290.3641791  95.6358209],1
s7,1,3e-05,17.436634,[109 173] ; [203 165],[135.36 146.64] ; [176.64 191.36],1
s6,1,0.000138,14.530122,[168 115] ; [281 102],[190.79129129  92.20870871] ; [258.20870871 124.79129129],1
v1,1,0.00025,13.412033,[126 152] ; [227 153],[149.13981763 128.86018237] ; [203.86018237 176.13981763],1
d5,1,0.000404,12.512831,[213  72] ; [332  56],[230.79494799  54.20505201] ; [314.20505201  73.79494799],1
a4,1,0.000466,12.248772,[110 176] ; [202 186],[132.39169139 153.60830861] ; [179.60830861 208.39169139],1
d2,1,0.000475,12.211026,[110 175] ; [203 186],[132.35163205 152.64836795] ; [180.64836795 208.35163205],1
d3,1,0.000948,10.92654,[178 106] ; [290  99],[197.49182764  86.50817236] ; [270.50817236 118.49182764],1
p10,1,0.001197,10.495258,[244  43] ; [359  28],[256.76706231  30.23293769] ; [346.23293769  40.76706231],0
a2,1,0.002542,9.110328,[ 53 234] ; [111 278],[ 69.62721893 217.37278107] ; [ 94.37278107 294.62721893],0
s8,1,0.002665,9.023686,[109 178] ; [192 195],[128.17062315 158.82937685] ; [172.82937685 214.17062315],0
r1,1,0.002809,8.92786,[209  77] ; [319  67],[224.71428571  61.28571429] ; [303.28571429  82.71428571],0
s2,1,0.005006,7.877294,[129 156] ; [217 169],[146.95976155 138.04023845] ; [199.04023845 186.95976155],0
n6,1,0.00722,7.217426,[227  57] ; [338  48],[239.49253731  44.50746269] ; [325.50746269  60.49253731],0
u1,1,0.013139,6.150256,[ 38 249] ; [ 80 309],[ 50.09763314 236.90236686] ; [ 67.90236686 321.09763314],0
d4,1,0.017202,5.67562,[222  64] ; [329  59],[233.80712166  52.19287834] ; [317.19287834  70.80712166],0
a3,1,0.021493,5.286398,[190  94] ; [291  97],[203.2797619  80.7202381] ; [277.7202381 110.2797619],0
r4,1,0.025246,5.006917,[249  38] ; [358  31],[257.7056213  29.2943787] ; [349.2943787  39.7056213],0
u2,1,0.030625,4.673838,[45 50] ; [61 36],[52.44791667 42.55208333] ; [53.55208333 43.44791667],0
p11,1,0.035792,4.407003,[223  64] ; [327  62],[233.50591716  53.49408284] ; [316.49408284  72.50591716],0
s5,1,0.042599,4.111259,[ 75 200] ; [131 246],[ 86.88650307 188.11349693] ; [119.11349693 257.88650307],0
v4,1,0.046619,3.95907,[266  19] ; [374  13],[271.42857143  13.57142857] ; [368.57142857  18.42857143],0
u3,1,0.057188,3.617119,[47 50] ; [59 36],[53.55208333 43.44791667] ; [52.44791667 42.55208333],0
n2,1,0.099021,2.721234,[67 16] ; [47 21],[62.66225166 20.33774834] ; [51.33774834 16.66225166],0
a6,1,0.121344,2.399892,[187  98] ; [277 112],[196.20178042  88.79821958] ; [267.79821958 121.20178042],0
a7,1,0.143541,2.139582,[200  86] ; [291  97],[208.34718101  77.65281899] ; [282.65281899 105.34718101],0
b1,1,0.180968,1.789658,[ 92 195] ; [144 245],[100.19526627 186.80473373] ; [135.80473373 253.19526627],0
v3,1,0.232085,1.428036,[ 96 183] ; [145 227],[103.28571429 175.71428571] ; [137.71428571 234.28571429],0
v2,1,0.270651,1.213444,[147 122] ; [223 155],[153.83307573 115.16692427] ; [216.16692427 161.83307573],0
p12,1,0.362914,0.827784,[ 15 271] ; [ 27 361],[ 17.82195846 268.17804154] ; [ 24.17804154 363.82195846],0
n3,1,0.423785,0.639794,[61 22] ; [53 14],[63.08 19.92] ; [50.92 16.08],0
a1,1,0.427369,0.629964,[ 13 274] ; [ 13 376],[ 11.03846154 275.96153846] ; [ 14.96153846 374.03846154],0
n1,1,0.481806,0.494773,[28 54] ; [27 41],[30.06666667 51.93333333] ; [24.93333333 43.06666667],0
r3,1,0.508945,0.436236,[271  14] ; [373  15],[272.7191679  12.2808321] ; [371.2808321  16.7191679],0
b4,1,0.557469,0.344106,[161 126] ; [227 162],[164.72781065 122.27218935] ; [223.27218935 165.72781065],0
b5,1,0.566011,0.329402,[184 103] ; [241 148],[180.43639053 106.56360947] ; [244.56360947 144.43639053],0
p1,1,0.596177,0.2808,[ 20 267] ; [ 23 363],[ 18.33729569 268.66270431] ; [ 24.66270431 361.33729569],0
s3,1,0.673416,0.177633,[157 127] ; [218 165],[159.67016492 124.32983508] ; [215.32983508 167.67016492],0
u4,1,0.768608,0.086551,[  5 282] ; [  8 381],[  5.51923077 281.48076923] ; [  7.48076923 381.51923077],0
r2,1,0.807544,0.059339,[267  16] ; [363  20],[267.7027027  15.2972973] ; [362.2972973  20.7027027],0
s4,1,0.810869,0.057267,[ 53 232] ; [ 69 317],[ 51.81818182 233.18181818] ; [ 70.18181818 315.81818182],0
b2,1,0.905222,0.014177,[57 99] ; [ 88 149],[57.55725191 98.44274809] ; [ 87.44274809 149.55725191],0
b3,1,0.905222,0.014177,[57 99] ; [ 88 149],[57.55725191 98.44274809] ; [ 87.44274809 149.55725191],0
s1,1,0.915717,0.0112,[  7 276] ; [ 10 374],[  7.21289355 275.78710645] ; [  9.78710645 374.21289355],0
