Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,6e-06,20.618182,[32  3] ; [1 6],[27.5  7.5] ; [5.5 1.5],1
r3,1,0.005604,7.673514,[33  2] ; [4 3],[30.83333333  4.16666667] ; [6.16666667 0.83333333],0
s7,1,0.015477,5.861299,[25  8] ; [2 5],[22.275 10.725] ; [4.725 2.275],0
r1,1,0.019172,5.485714,[26  9] ; [2 5],[23.33333333 11.66666667] ; [4.66666667 2.33333333],0
s8,1,0.027055,4.887273,[21 14] ; [1 6],[18.33333333 16.66666667] ; [3.66666667 3.33333333],0
s2,1,0.027055,4.887273,[21 14] ; [1 6],[18.33333333 16.66666667] ; [3.66666667 3.33333333],0
p2,1,0.035153,4.437709,[33  2] ; [4 2],[31.58536585  3.41463415] ; [5.41463415 0.58536585],0
s3,1,0.046658,3.957692,[24 11] ; [2 5],[21.66666667 13.33333333] ; [4.33333333 2.66666667],0
p6,1,0.056591,3.634577,[20 14] ; [1 5],[17.85 16.15] ; [3.15 2.85],0
p3,1,0.066798,3.36,[27  8] ; [3 4],[25. 10.] ; [5. 2.],0
a3,1,0.066798,3.36,[27  8] ; [3 4],[25. 10.] ; [5. 2.],0
n6,1,0.086791,2.93291,[32  3] ; [4 2],[30.73170732  4.26829268] ; [5.26829268 0.73170732],0
p4,1,0.130134,2.290909,[29  6] ; [4 3],[27.5  7.5] ; [5.5 1.5],0
v4,1,0.135805,2.224865,[32  3] ; [5 2],[30.83333333  4.16666667] ; [6.16666667 0.83333333],0
p8,1,0.143235,2.142857,[25 10] ; [3 4],[23.33333333 11.66666667] ; [4.66666667 2.33333333],0
b4,1,0.155318,2.019231,[20 15] ; [6 1],[21.66666667 13.33333333] ; [4.33333333 2.66666667],0
p9,1,0.194924,1.68,[34  1] ; [6 1],[33.33333333  1.66666667] ; [6.66666667 0.33333333],0
s5,1,0.211894,1.558442,[18 15] ; [2 5],[16.5 16.5] ; [3.5 3.5],0
n4,1,0.236724,1.4,[31  4] ; [5 2],[30.  5.] ; [6. 1.],0
a7,1,0.359397,0.84,[26  9] ; [4 3],[25. 10.] ; [5. 2.],0
p7,1,0.413783,0.667904,[24  9] ; [4 3],[23.1  9.9] ; [4.9 2.1],0
d1,1,0.482096,0.494118,[20 15] ; [5 2],[20.83333333 14.16666667] ; [4.16666667 2.83333333],0
d5,1,0.516937,0.42,[26  9] ; [6 1],[26.66666667  8.33333333] ; [5.33333333 1.66666667],0
v2,1,0.569764,0.323077,[14 21] ; [2 5],[13.33333333 21.66666667] ; [2.66666667 4.33333333],0
n1,1,0.611541,0.257937,[5 5] ; [2 1],[5.38461538 4.61538462] ; [1.61538462 1.38461538],0
a2,1,0.613893,0.254545,[ 8 27] ; [1 6],[ 7.5 27.5] ; [1.5 5.5],0
u3,1,0.665006,0.1875,[5 3] ; [3 1],[5.33333333 2.66666667] ; [2.66666667 1.33333333],0
a6,1,0.665706,0.186667,[22 13] ; [5 2],[22.5 12.5] ; [4.5 2.5],0
u2,1,0.678845,0.171429,[5 3] ; [2 2],[4.66666667 3.33333333] ; [2.33333333 1.66666667],0
p11,1,0.725238,0.123529,[28  7] ; [6 1],[28.33333333  6.66666667] ; [5.66666667 1.33333333],0
a4,1,0.769698,0.085714,[12 23] ; [2 5],[11.66666667 23.33333333] ; [2.33333333 4.66666667],0
b1,1,0.776258,0.080769,[13 22] ; [3 4],[13.33333333 21.66666667] ; [2.66666667 4.33333333],0
s1,1,0.83126,0.045405,[ 4 31] ; [1 6],[ 4.16666667 30.83333333] ; [0.83333333 6.16666667],0
n5,1,0.83126,0.045405,[31  4] ; [6 1],[30.83333333  4.16666667] ; [6.16666667 0.83333333],0
n3,1,0.835099,0.043333,[6 4] ; [2 1],[6.15384615 3.84615385] ; [1.84615385 1.15384615],0
n2,1,0.835099,0.043333,[6 4] ; [2 1],[6.15384615 3.84615385] ; [1.84615385 1.15384615],0
p10,1,0.852745,0.034454,[30  4] ; [6 1],[29.85365854  4.14634146] ; [6.14634146 0.85365854],0
d4,1,0.8531,0.034286,[29  6] ; [6 1],[29.16666667  5.83333333] ; [5.83333333 1.16666667],0
a5,1,0.881342,0.022281,[24 11] ; [5 2],[24.16666667 10.83333333] ; [4.83333333 2.16666667],0
d2,1,0.889732,0.019222,[19 16] ; [4 3],[19.16666667 15.83333333] ; [3.83333333 3.16666667],0
b5,1,0.889732,0.019222,[19 16] ; [4 3],[19.16666667 15.83333333] ; [3.83333333 3.16666667],0
v1,1,0.894187,0.017691,[18 16] ; [3 3],[17.85 16.15] ; [3.15 2.85],0
b2,1,0.940754,0.005524,[13 12] ; [2 2],[12.93103448 12.06896552] ; [2.06896552 1.93103448],0
b3,1,0.940754,0.005524,[13 12] ; [2 2],[12.93103448 12.06896552] ; [2.06896552 1.93103448],0
d3,1,1.0,0.0,[25 10] ; [5 2],[25. 10.] ; [5. 2.],0
