Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,90.603547,[151  21] ; [13 45],[122.64347826  49.35652174] ; [41.35652174 16.64347826],1
s6,1,0.0,28.871749,[153  17] ; [34 24],[139.42982456  30.57017544] ; [47.57017544 10.42982456],1
v4,1,0.002988,8.81507,[165   4] ; [51  7],[160.81057269   8.18942731] ; [55.18942731  2.81057269],0
s8,1,0.009086,6.80591,[116  56] ; [28 30],[107.68695652  64.31304348] ; [36.31304348 21.68695652],0
r2,1,0.010269,6.587564,[163   4] ; [51  6],[159.54464286   7.45535714] ; [54.45535714  2.54464286],0
d1,1,0.020447,5.373363,[107  65] ; [26 32],[99.46086957 72.53913043] ; [33.53913043 24.46086957],0
d4,1,0.044618,4.033023,[145  27] ; [42 16],[139.84347826  32.15652174] ; [47.15652174 10.84347826],0
n4,1,0.05796,3.59482,[140  30] ; [41 17],[134.95614035  35.04385965] ; [46.04385965 11.95614035],0
s1,1,0.128384,2.311933,[ 12 157] ; [ 1 57],[  9.6784141 159.3215859] ; [ 3.3215859 54.6784141],0
p1,1,0.148497,2.087621,[ 16 155] ; [ 2 56],[ 13.44104803 157.55895197] ; [ 4.55895197 53.44104803],0
r1,1,0.168306,1.897968,[141  30] ; [43 15],[137.39737991  33.60262009] ; [46.60262009 11.39737991],0
a8,1,0.185231,1.755151,[ 31 130] ; [ 6 47],[ 27.8364486 133.1635514] ; [ 9.1635514 43.8364486],0
u1,1,0.189996,1.717651,[ 36 136] ; [17 41],[ 39.63478261 132.36521739] ; [13.36521739 44.63478261],0
s4,1,0.199638,1.645022,[ 51 120] ; [12 45],[ 47.25 123.75] ; [15.75 41.25],0
b2,1,0.231253,1.433137,[44 80] ; [18 21],[47.16564417 76.83435583] ; [14.83435583 24.16564417],0
b3,1,0.231253,1.433137,[44 80] ; [18 21],[47.16564417 76.83435583] ; [14.83435583 24.16564417],0
r4,1,0.246029,1.345714,[150  22] ; [47 11],[147.32173913  24.67826087] ; [49.67826087  8.32173913],0
s5,1,0.24606,1.345538,[72 88] ; [21 37],[68.25688073 91.74311927] ; [24.74311927 33.25688073],0
n5,1,0.254572,1.29804,[132  38] ; [40 17],[128.81057269  41.18942731] ; [43.18942731 13.81057269],0
b4,1,0.283026,1.152503,[97 75] ; [28 30],[93.47826087 78.52173913] ; [31.52173913 26.47826087],0
d2,1,0.319272,0.991927,[96 76] ; [28 30],[92.73043478 79.26956522] ; [31.26956522 26.73043478],0
n2,1,0.334954,0.929649,[34  8] ; [14  6],[32.51612903  9.48387097] ; [15.48387097  4.51612903],0
p12,1,0.394897,0.72381,[ 15 156] ; [ 3 54],[ 13.5 157.5] ; [ 4.5 52.5],0
d3,1,0.405995,0.690498,[117  55] ; [36 22],[114.4173913  57.5826087] ; [38.5826087 19.4173913],0
p11,1,0.406515,0.68897,[131  41] ; [41 17],[128.62608696  43.37391304] ; [43.37391304 14.62608696],0
u3,1,0.421358,0.646525,[25  9] ; [8 5],[23.87234043 10.12765957] ; [9.12765957 3.87234043],0
a4,1,0.496556,0.46229,[83 89] ; [25 33],[80.76521739 91.23478261] ; [27.23478261 30.76521739],0
p9,1,0.497341,0.460606,[150  21] ; [48  9],[148.5  22.5] ; [49.5  7.5],0
p4,1,0.575121,0.314188,[108  63] ; [39 19],[109.76855895  61.23144105] ; [37.23144105 20.76855895],0
p6,1,0.580204,0.305905,[77 92] ; [24 34],[75.1938326 93.8061674] ; [25.8061674 32.1938326],0
p7,1,0.603805,0.269295,[108  56] ; [36 22],[106.37837838  57.62162162] ; [37.62162162 20.37837838],0
v1,1,0.611627,0.257813,[74 93] ; [27 29],[75.6367713 91.3632287] ; [25.3632287 30.6367713],0
a5,1,0.622539,0.242316,[131  41] ; [46 12],[132.36521739  39.63478261] ; [44.63478261 13.36521739],0
r3,1,0.649498,0.206533,[161   9] ; [54  4],[160.30701754   9.69298246] ; [54.69298246  3.30701754],0
d5,1,0.665574,0.186823,[138  34] ; [45 13],[136.85217391  35.14782609] ; [46.14782609 11.85217391],0
a3,1,0.665574,0.186823,[138  34] ; [45 13],[136.85217391  35.14782609] ; [46.14782609 11.85217391],0
n6,1,0.687402,0.161912,[144  26] ; [47 10],[143.03964758  26.96035242] ; [47.96035242  9.03964758],0
a6,1,0.735242,0.114353,[111  61] ; [36 22],[109.93043478  62.06956522] ; [37.06956522 20.93043478],0
u2,1,0.742295,0.10812,[22 11] ; [8 5],[21.52173913 11.47826087] ; [8.47826087 4.52173913],0
p10,1,0.772499,0.083583,[140  29] ; [49  9],[140.7092511  28.2907489] ; [48.2907489  9.7092511],0
p2,1,0.781212,0.077139,[147  24] ; [49  9],[146.3580786  24.6419214] ; [49.6419214  8.3580786],0
n1,1,0.788238,0.072146,[22 19] ; [10 10],[21.50819672 19.49180328] ; [10.49180328  9.50819672],0
n3,1,0.79705,0.066135,[28 13] ; [13  7],[27.55737705 13.44262295] ; [13.44262295  6.55737705],0
v2,1,0.859148,0.031492,[73 95] ; [24 33],[72.42666667 95.57333333] ; [24.57333333 32.42666667],0
b5,1,0.888739,0.019572,[102  70] ; [35 23],[102.45217391  69.54782609] ; [34.54782609 23.45217391],0
b1,1,0.888739,0.019572,[ 70 102] ; [23 35],[ 69.54782609 102.45217391] ; [23.45217391 34.54782609],0
a7,1,0.908619,0.013174,[120  52] ; [40 18],[119.65217391  52.34782609] ; [40.34782609 17.65217391],0
p3,1,0.911218,0.012433,[84 87] ; [28 30],[83.63318777 87.36681223] ; [28.36681223 29.63318777],0
p8,1,0.950471,0.003858,[89 79] ; [31 27],[89.20353982 78.79646018] ; [30.79646018 27.20353982],0
p5,1,0.954627,0.003237,[ 21 149] ; [ 7 51],[ 20.87719298 149.12280702] ; [ 7.12280702 50.87719298],0
a2,1,0.969298,0.001481,[ 47 125] ; [16 42],[ 47.11304348 124.88695652] ; [15.88695652 42.11304348],0
a1,1,0.988501,0.000208,[  6 166] ; [ 2 56],[  5.9826087 166.0173913] ; [ 2.0173913 55.9826087],0
