Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,82.347639,[ 4 76] ; [161  94],[39.40298507 40.59701493] ; [125.59701493 129.40298507],1
d3,1,0.0,72.563252,[18 62] ; [192  63],[50.14925373 29.85074627] ; [159.85074627  95.14925373],1
d5,1,0.0,60.385851,[34 46] ; [218  37],[60.17910448 19.82089552] ; [191.82089552  63.17910448],1
a3,1,5e-06,20.872486,[32 47] ; [176  79],[49.19760479 29.80239521] ; [158.80239521  96.19760479],1
a5,1,5e-06,20.82211,[34 46] ; [180  75],[51.10447761 28.89552239] ; [162.89552239  92.10447761],1
a7,1,5e-06,20.750321,[39 41] ; [193  62],[55.40298507 24.59701493] ; [176.59701493  78.40298507],1
r1,1,2.1e-05,18.071604,[42 38] ; [196  58],[57.00598802 22.99401198] ; [180.99401198  73.00598802],1
d2,1,2.3e-05,17.959712,[18 62] ; [125 128],[34.35435435 45.64564565] ; [108.64564565 144.35435435],1
a4,1,0.00024,13.485067,[15 65] ; [105 149],[28.74251497 51.25748503] ; [ 91.25748503 162.74251497],1
r3,1,0.000335,12.863118,[60 20] ; [230  24],[69.46107784 10.53892216] ; [220.53892216  33.46107784],1
u1,1,0.001103,10.646556,[ 1 79] ; [ 37 218],[ 9.07462687 70.92537313] ; [ 28.92537313 226.07462687],0
a2,1,0.002229,9.350356,[ 5 75] ; [ 54 201],[14.08955224 65.91044776] ; [ 44.91044776 210.08955224],0
p10,1,0.002639,9.041865,[42 35] ; [184  69],[52.73333333 24.26666667] ; [173.26666667  79.73333333],0
r4,1,0.007829,7.072196,[54 26] ; [208  47],[62.56716418 17.43283582] ; [199.43283582  55.56716418],0
u2,1,0.008964,6.830074,[15 33] ; [42 34],[22.06451613 25.93548387] ; [34.93548387 41.06451613],0
a6,1,0.025409,4.995766,[44 36] ; [175  80],[52.29850746 27.70149254] ; [166.70149254  88.29850746],0
v2,1,0.02674,4.907505,[22 53] ; [107 138],[30.234375 44.765625] ; [ 98.765625 146.234375],0
r2,1,0.032249,4.585211,[64 16] ; [224  27],[69.60725076 10.39274924] ; [218.39274924  32.60725076],0
b4,1,0.036383,4.379085,[40 40] ; [161  94],[48. 32.] ; [153. 102.],0
p9,1,0.057502,3.608017,[46 30] ; [180  70],[52.68711656 23.31288344] ; [173.31288344  76.68711656],0
u3,1,0.126912,2.32987,[17 31] ; [38 39],[21.12 26.88] ; [33.88 43.12],0
s7,1,0.126964,2.329244,[20 55] ; [ 88 155],[25.47169811 49.52830189] ; [ 82.52830189 160.47169811],0
n6,1,0.154596,2.026307,[55 25] ; [194  59],[59.81981982 20.18018018] ; [189.18018018  63.81981982],0
s2,1,0.186301,1.74663,[24 55] ; [ 98 156],[28.94294294 50.05705706] ; [ 93.05705706 160.94294294],0
b2,1,0.204534,1.609701,[ 8 35] ; [ 41 104],[11.20744681 31.79255319] ; [ 37.79255319 107.20744681],0
b3,1,0.204534,1.609701,[ 8 35] ; [ 41 104],[11.20744681 31.79255319] ; [ 37.79255319 107.20744681],0
b5,1,0.250941,1.318057,[39 41] ; [143 112],[43.46268657 36.53731343] ; [138.53731343 116.46268657],0
