Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,7e-06,20.277734,[43 15] ; [ 8 24],[32.86666667 25.13333333] ; [18.13333333 13.86666667],1
s2,1,2.7e-05,17.597343,[40 20] ; [ 7 26],[30.32258065 29.67741935] ; [16.67741935 16.32258065],1
s5,1,0.000534,11.994373,[26 33] ; [ 3 30],[18.59782609 40.40217391] ; [10.40217391 22.59782609],1
s7,1,0.000678,11.547631,[39 19] ; [10 23],[31.23076923 26.76923077] ; [17.76923077 15.23076923],1
r4,1,0.002077,9.480364,[54  6] ; [21 12],[48.38709677 11.61290323] ; [26.61290323  6.38709677],0
p10,1,0.013059,6.161113,[54  6] ; [23 10],[49.67741935 10.32258065] ; [27.32258065  5.67741935],0
s8,1,0.015438,5.865837,[32 28] ; [ 9 24],[26.4516129 33.5483871] ; [14.5483871 18.4516129],0
a4,1,0.028852,4.776399,[ 7 52] ; [10 23],[10.90217391 48.09782609] ; [ 6.09782609 26.90217391],0
a6,1,0.03102,4.651836,[41 19] ; [15 18],[36.12903226 23.87096774] ; [19.87096774 13.12903226],0
d4,1,0.032734,4.559613,[32 28] ; [10 23],[27.09677419 32.90322581] ; [14.90322581 18.09677419],0
b5,1,0.03365,4.512387,[32 28] ; [25  8],[36.77419355 23.22580645] ; [20.22580645 12.77419355],0
p5,1,0.05025,3.833089,[13 47] ; [ 2 31],[ 9.67741935 50.32258065] ; [ 5.32258065 27.67741935],0
p9,1,0.056401,3.64019,[53  7] ; [24  9],[49.67741935 10.32258065] ; [27.32258065  5.67741935],0
p11,1,0.079895,3.067028,[51  9] ; [23 10],[47.74193548 12.25806452] ; [26.25806452  6.74193548],0
s1,1,0.098835,2.724242,[ 2 58] ; [ 4 29],[ 3.87096774 56.12903226] ; [ 2.12903226 30.87096774],0
r1,1,0.119859,2.419163,[44 16] ; [19 14],[40.64516129 19.35483871] ; [22.35483871 10.64516129],0
n5,1,0.153887,2.033292,[48 12] ; [22 11],[45.16129032 14.83870968] ; [24.83870968  8.16129032],0
r3,1,0.159383,1.98007,[55  5] ; [27  6],[52.90322581  7.09677419] ; [29.09677419  3.90322581],0
a5,1,0.203646,1.616034,[39 21] ; [17 16],[36.12903226 23.87096774] ; [19.87096774 13.12903226],0
u2,1,0.220671,1.5,[17 10] ; [ 8 10],[15. 12.] ; [10.  8.],0
n3,1,0.3017,1.066667,[4 4] ; [6 2],[5. 3.] ; [5. 3.],0
s4,1,0.313429,1.016171,[10 50] ; [ 3 30],[ 8.38709677 51.61290323] ; [ 4.61290323 28.38709677],0
p4,1,0.322001,0.980801,[39 21] ; [18 15],[36.77419355 23.22580645] ; [20.22580645 12.77419355],0
a3,1,0.334582,0.931083,[33 26] ; [15 18],[30.7826087 28.2173913] ; [17.2173913 15.7826087],0
p12,1,0.33893,0.914476,[10 50] ; [ 3 29],[ 8.47826087 51.52173913] ; [ 4.52173913 27.47826087],0
b1,1,0.361173,0.833811,[25 35] ; [17 16],[27.09677419 32.90322581] ; [14.90322581 18.09677419],0
v4,1,0.383161,0.760535,[55  4] ; [29  4],[53.86956522  5.13043478] ; [30.13043478  2.86956522],0
v1,1,0.390678,0.73683,[30 30] ; [13 19],[28.04347826 31.95652174] ; [14.95652174 17.04347826],0
d2,1,0.42221,0.644156,[12 48] ; [ 9 24],[13.5483871 46.4516129] ; [ 7.4516129 25.5483871],0
a8,1,0.440621,0.594665,[ 7 50] ; [ 2 27],[ 5.96511628 51.03488372] ; [ 3.03488372 25.96511628],0
n4,1,0.445626,0.581753,[39 21] ; [24  9],[40.64516129 19.35483871] ; [22.35483871 10.64516129],0
p7,1,0.520986,0.41194,[45 15] ; [22 10],[43.69565217 16.30434783] ; [23.30434783  8.69565217],0
p3,1,0.52631,0.401512,[35 25] ; [17 16],[33.5483871 26.4516129] ; [18.4516129 14.5483871],0
r2,1,0.653425,0.201609,[52  7] ; [28  5],[51.30434783  7.69565217] ; [28.69565217  4.30434783],0
u1,1,0.654175,0.200677,[ 3 57] ; [ 1 32],[ 2.58064516 57.41935484] ; [ 1.41935484 31.58064516],0
u4,1,0.664472,0.188137,[ 1 59] ; [ 1 32],[ 1.29032258 58.70967742] ; [ 0.70967742 32.29032258],0
a2,1,0.671576,0.179764,[ 4 56] ; [ 3 30],[ 4.51612903 55.48387097] ; [ 2.48387097 30.51612903],0
p6,1,0.683315,0.166418,[26 33] ; [16 17],[26.93478261 32.06521739] ; [15.06521739 17.93478261],0
n6,1,0.689769,0.159336,[51  9] ; [27  6],[50.32258065  9.67741935] ; [27.67741935  5.32258065],0
u3,1,0.711645,0.13664,[12 15] ; [ 7 11],[11.4 15.6] ; [ 7.6 10.4],0
b4,1,0.712604,0.13569,[34 26] ; [20 13],[34.83870968 25.16129032] ; [19.16129032 13.83870968],0
p1,1,0.736709,0.11304,[11 49] ; [ 7 26],[11.61290323 48.38709677] ; [ 6.38709677 26.61290323],0
v3,1,0.780764,0.077464,[25 34] ; [13 20],[24.36956522 34.63043478] ; [13.63043478 19.36956522],0
b2,1,0.781838,0.076687,[13 18] ; [ 8 13],[12.51923077 18.48076923] ; [ 8.48076923 12.51923077],0
b3,1,0.781838,0.076687,[13 18] ; [ 8 13],[12.51923077 18.48076923] ; [ 8.48076923 12.51923077],0
p2,1,0.831837,0.045091,[48 12] ; [27  6],[48.38709677 11.61290323] ; [26.61290323  6.38709677],0
d1,1,0.909373,0.012957,[ 4 56] ; [ 2 31],[ 3.87096774 56.12903226] ; [ 2.12903226 30.87096774],0
d3,1,0.919971,0.010094,[23 37] ; [13 20],[23.22580645 36.77419355] ; [12.77419355 20.22580645],0
v2,1,0.953474,0.003404,[29 28] ; [17 16],[29.13333333 27.86666667] ; [16.86666667 16.13333333],0
a7,1,0.976838,0.000843,[38 22] ; [21 12],[38.06451613 21.93548387] ; [20.93548387 12.06451613],0
n2,1,1.0,0.0,[6 2] ; [6 2],[6. 2.] ; [6. 2.],0
n1,1,1.0,0.0,[3 5] ; [3 5],[3. 5.] ; [3. 5.],0
