Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.014524,5.973333,[ 2 13] ; [4 2],[ 4.28571429 10.71428571] ; [1.71428571 4.28571429],0
p2,1,0.072461,3.226364,[6 9] ; [5 1],[7.85714286 7.14285714] ; [3.14285714 2.85714286],0
p3,1,0.088158,2.907692,[ 4 11] ; [4 2],[5.71428571 9.28571429] ; [2.28571429 3.71428571],0
r2,1,0.111017,2.539683,[10  4] ; [2 4],[8.4 5.6] ; [3.6 2.4],0
p7,1,0.111017,2.539683,[ 4 10] ; [4 2],[5.6 8.4] ; [2.4 3.6],0
a3,1,0.163187,1.944444,[10  5] ; [2 4],[8.57142857 6.42857143] ; [3.42857143 2.57142857],0
d5,1,0.163187,1.944444,[10  5] ; [2 4],[8.57142857 6.42857143] ; [3.42857143 2.57142857],0
a6,1,0.169202,1.89,[ 3 12] ; [3 3],[ 4.28571429 10.71428571] ; [1.71428571 4.28571429],0
s3,1,0.226023,1.465714,[ 2 12] ; [2 3],[ 2.94736842 11.05263158] ; [1.05263158 3.94736842],0
p9,1,0.269004,1.221818,[6 9] ; [4 2],[7.14285714 7.85714286] ; [2.85714286 3.14285714],0
a7,1,0.269004,1.221818,[9 6] ; [2 4],[7.85714286 7.14285714] ; [3.14285714 2.85714286],0
s2,1,0.291699,1.111765,[ 2 13] ; [2 4],[ 2.85714286 12.14285714] ; [1.14285714 4.85714286],0
b1,1,0.305507,1.05,[11  4] ; [3 3],[10.  5.] ; [4. 2.],0
p8,1,0.305507,1.05,[ 4 11] ; [3 3],[ 5. 10.] ; [2. 4.],0
p11,1,0.305507,1.05,[ 4 11] ; [3 3],[ 5. 10.] ; [2. 4.],0
a4,1,0.305507,1.05,[6 9] ; [1 5],[ 5. 10.] ; [2. 4.],0
d3,1,0.305507,1.05,[9 6] ; [5 1],[10.  5.] ; [4. 2.],0
n3,1,0.342782,0.9,[4 2] ; [1 2],[3.33333333 2.66666667] ; [1.66666667 1.33333333],0
u3,1,0.342782,0.9,[4 1] ; [2 2],[3.33333333 1.66666667] ; [2.66666667 1.33333333],0
u2,1,0.342782,0.9,[4 1] ; [2 2],[3.33333333 1.66666667] ; [2.66666667 1.33333333],0
a5,1,0.477395,0.504808,[ 5 10] ; [3 3],[5.71428571 9.28571429] ; [2.28571429 3.71428571],0
p1,1,0.480659,0.497368,[ 1 14] ; [1 5],[ 1.42857143 13.57142857] ; [0.57142857 5.42857143],0
s5,1,0.480659,0.497368,[ 1 14] ; [1 5],[ 1.42857143 13.57142857] ; [0.57142857 5.42857143],0
s8,1,0.480659,0.497368,[ 1 14] ; [1 5],[ 1.42857143 13.57142857] ; [0.57142857 5.42857143],0
s6,1,0.516937,0.42,[ 3 12] ; [2 4],[ 3.57142857 11.42857143] ; [1.42857143 4.57142857],0
v3,1,0.516937,0.42,[ 3 12] ; [2 4],[ 3.57142857 11.42857143] ; [1.42857143 4.57142857],0
d4,1,0.516937,0.42,[12  3] ; [4 2],[11.42857143  3.57142857] ; [4.57142857 1.42857143],0
b5,1,0.576999,0.311111,[8 7] ; [4 2],[8.57142857 6.42857143] ; [3.42857143 2.57142857],0
v4,1,0.675706,0.175,[9 6] ; [3 3],[8.57142857 6.42857143] ; [3.42857143 2.57142857],0
n4,1,0.759982,0.093333,[ 4 11] ; [2 4],[ 4.28571429 10.71428571] ; [1.71428571 4.28571429],0
r1,1,0.776258,0.080769,[6 9] ; [2 4],[5.71428571 9.28571429] ; [2.28571429 3.71428571],0
v1,1,0.776258,0.080769,[6 9] ; [2 4],[5.71428571 9.28571429] ; [2.28571429 3.71428571],0
b4,1,0.776258,0.080769,[9 6] ; [4 2],[9.28571429 5.71428571] ; [3.71428571 2.28571429],0
s7,1,0.813945,0.055385,[ 2 11] ; [1 4],[ 2.16666667 10.83333333] ; [0.83333333 4.16666667],0
p10,1,0.890106,0.019091,[7 8] ; [3 3],[7.14285714 7.85714286] ; [2.85714286 3.14285714],0
n1,1,1.0,0.0,[2 4] ; [1 2],[2. 4.] ; [1. 2.],0
