Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.010572,6.535948,[4 6] ; [ 2 28],[1.5 8.5] ; [ 4.5 25.5],0
a2,1,0.053337,3.733333,[3 7] ; [ 2 28],[1.25 8.75] ; [ 3.75 26.25],0
s2,1,0.065769,3.38558,[5 5] ; [ 6 24],[2.75 7.25] ; [ 8.25 21.75],0
p11,1,0.066515,3.367003,[2 8] ; [16 14],[4.5 5.5] ; [13.5 16.5],0
a8,1,0.090303,2.868966,[2 8] ; [ 1 28],[0.76923077 9.23076923] ; [ 2.23076923 26.76923077],0
b1,1,0.096519,2.762148,[8 2] ; [15 15],[5.75 4.25] ; [17.25 12.75],0
v1,1,0.172469,1.861349,[5 5] ; [ 8 22],[3.25 6.75] ; [ 9.75 20.25],0
u2,1,0.182422,1.777778,[2 2] ; [ 2 10],[1. 3.] ; [3. 9.],0
d1,1,0.200679,1.637427,[3 7] ; [16 14],[4.75 5.25] ; [14.25 15.75],0
p1,1,0.223543,1.481481,[2 8] ; [ 2 28],[1. 9.] ; [ 3. 27.],0
s1,1,0.223543,1.481481,[2 8] ; [ 2 28],[1. 9.] ; [ 3. 27.],0
p2,1,0.234713,1.412069,[3 7] ; [15 14],[4.61538462 5.38461538] ; [13.38461538 15.61538462],0
b3,1,0.307434,1.041667,[1 4] ; [ 9 11],[2. 3.] ; [ 8. 12.],0
b2,1,0.307434,1.041667,[1 4] ; [ 9 11],[2. 3.] ; [ 8. 12.],0
d2,1,0.308418,1.037438,[4 6] ; [17 12],[5.38461538 4.61538462] ; [15.61538462 13.38461538],0
n4,1,0.329804,0.949668,[8 2] ; [19 11],[6.75 3.25] ; [20.25  9.75],0
b4,1,0.355842,0.852515,[7 3] ; [16 14],[5.75 4.25] ; [17.25 12.75],0
r1,1,0.360709,0.835422,[4 6] ; [17 13],[5.25 4.75] ; [15.75 14.25],0
a1,1,0.407626,0.685714,[2 8] ; [ 3 27],[1.25 8.75] ; [ 3.75 26.25],0
d4,1,0.425556,0.634921,[6 4] ; [22  8],[7. 3.] ; [21.  9.],0
s7,1,0.451198,0.56764,[3 5] ; [ 7 22],[2.16216216 5.83783784] ; [ 7.83783784 21.16216216],0
r3,1,0.558746,0.34188,[6 4] ; [21  9],[6.75 3.25] ; [20.25  9.75],0
v2,1,0.579585,0.306905,[5 5] ; [12 18],[4.25 5.75] ; [12.75 17.25],0
d3,1,0.579585,0.306905,[5 5] ; [18 12],[5.75 4.25] ; [17.25 12.75],0
a7,1,0.583411,0.300752,[6 4] ; [15 15],[5.25 4.75] ; [15.75 14.25],0
s6,1,0.588355,0.292921,[4 5] ; [10 19],[3.31578947 5.68421053] ; [10.68421053 18.31578947],0
a4,1,0.604027,0.268966,[4 6] ; [ 9 20],[3.33333333 6.66666667] ; [ 9.66666667 19.33333333],0
s4,1,0.609134,0.261438,[1 9] ; [ 5 25],[1.5 8.5] ; [ 4.5 25.5],0
p8,1,0.635672,0.224447,[2 8] ; [ 8 21],[2.56410256 7.43589744] ; [ 7.43589744 21.56410256],0
n5,1,0.701883,0.14652,[7 3] ; [19 11],[6.5 3.5] ; [19.5 10.5],0
p3,1,0.701883,0.14652,[4 6] ; [10 20],[3.5 6.5] ; [10.5 19.5],0
b5,1,0.713628,0.13468,[5 5] ; [13 17],[4.5 5.5] ; [13.5 16.5],0
a6,1,0.713628,0.13468,[6 4] ; [16 14],[5.5 4.5] ; [16.5 13.5],0
p10,1,0.713628,0.13468,[4 6] ; [14 16],[4.5 5.5] ; [13.5 16.5],0
r4,1,0.713628,0.13468,[5 5] ; [13 17],[4.5 5.5] ; [13.5 16.5],0
s3,1,0.713628,0.13468,[5 5] ; [13 17],[4.5 5.5] ; [13.5 16.5],0
d5,1,0.838007,0.041797,[7 3] ; [22  8],[7.25 2.75] ; [21.75  8.25],0
p4,1,0.84547,0.037987,[3 7] ; [10 20],[3.25 6.75] ; [ 9.75 20.25],0
a5,1,0.854953,0.033417,[5 5] ; [16 14],[5.25 4.75] ; [15.75 14.25],0
n6,1,0.92506,0.008848,[5 5] ; [15 14],[5.12820513 4.87179487] ; [14.87179487 14.12820513],0
p6,1,0.962853,0.002169,[2 8] ; [ 6 23],[2.05128205 7.94871795] ; [ 5.94871795 23.05128205],0
a3,1,1.0,0.0,[6 4] ; [18 12],[6. 4.] ; [18. 12.],0
p7,1,1.0,0.0,[3 7] ; [ 9 21],[3. 7.] ; [ 9. 21.],0
u3,1,1.0,0.0,[1 3] ; [3 9],[1. 3.] ; [3. 9.],0
p9,1,1.0,0.0,[5 5] ; [15 15],[5. 5.] ; [15. 15.],0
