Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a2,1,0.013225,6.138745,[ 4 49] ; [3 5],[ 6.08196721 46.91803279] ; [0.91803279 7.08196721],0
b5,1,0.020026,5.409589,[23 30] ; [7 1],[26.06557377 26.93442623] ; [3.93442623 4.06557377],0
v3,1,0.033522,4.518928,[ 9 44] ; [4 4],[11.29508197 41.70491803] ; [1.70491803 6.29508197],0
d5,1,0.052331,3.765171,[27 26] ; [7 1],[29.54098361 23.45901639] ; [4.45901639 3.54098361],0
v4,1,0.052331,3.765171,[27 26] ; [7 1],[29.54098361 23.45901639] ; [4.45901639 3.54098361],0
d1,1,0.072984,3.214592,[16 37] ; [5 3],[18.24590164 34.75409836] ; [2.75409836 5.24590164],0
d4,1,0.09543,2.780312,[30 23] ; [7 1],[32.14754098 20.85245902] ; [4.85245902 3.14754098],0
n6,1,0.104957,2.628562,[23 29] ; [6 2],[25.13333333 26.86666667] ; [3.86666667 4.13333333],0
a3,1,0.142293,2.15299,[31 20] ; [7 1],[32.84745763 18.15254237] ; [5.15254237 2.84745763],0
s7,1,0.169708,1.885522,[ 8 40] ; [3 5],[ 9.42857143 38.57142857] ; [1.57142857 6.42857143],0
s6,1,0.184844,1.758242,[14 38] ; [4 4],[15.6 36.4] ; [2.4 5.6],0
d2,1,0.239938,1.380961,[21 31] ; [5 3],[22.53333333 29.46666667] ; [3.46666667 4.53333333],0
p4,1,0.245679,1.347709,[12 41] ; [3 4],[13.25 39.75] ; [1.75 5.25],0
a7,1,0.265207,1.24137,[22 31] ; [5 3],[23.45901639 29.54098361] ; [3.54098361 4.45901639],0
s8,1,0.297075,1.087278,[ 6 46] ; [2 6],[ 6.93333333 45.06666667] ; [1.06666667 6.93333333],0
p8,1,0.324732,0.969791,[11 40] ; [3 5],[12.10169492 38.89830508] ; [1.89830508 6.10169492],0
a4,1,0.35999,0.837928,[17 34] ; [4 4],[18.15254237 32.84745763] ; [2.84745763 5.15254237],0
b4,1,0.372934,0.793866,[31 22] ; [6 2],[32.14754098 20.85245902] ; [4.85245902 3.14754098],0
r4,1,0.380674,0.768525,[ 7 46] ; [2 6],[ 7.81967213 45.18032787] ; [1.18032787 6.81967213],0
p7,1,0.401115,0.704982,[15 36] ; [1 6],[14.06896552 36.93103448] ; [1.93103448 5.06896552],0
s2,1,0.48055,0.497614,[ 8 45] ; [2 6],[ 8.68852459 44.31147541] ; [1.31147541 6.68852459],0
p11,1,0.594926,0.282717,[15 38] ; [3 5],[15.63934426 37.36065574] ; [2.36065574 5.63934426],0
n5,1,0.614728,0.253348,[35 18] ; [6 2],[35.62295082 17.37704918] ; [5.37704918 2.62295082],0
r1,1,0.6508,0.204893,[22 31] ; [4 4],[22.59016393 30.40983607] ; [3.40983607 4.59016393],0
s5,1,0.662343,0.19069,[10 43] ; [1 7],[ 9.55737705 43.44262295] ; [1.44262295 6.55737705],0
v1,1,0.687087,0.162257,[17 36] ; [2 6],[16.50819672 36.49180328] ; [2.49180328 5.50819672],0
a5,1,0.725945,0.122868,[30 23] ; [4 4],[29.54098361 23.45901639] ; [4.45901639 3.54098361],0
p9,1,0.730326,0.118812,[22 28] ; [3 5],[21.55172414 28.44827586] ; [3.44827586 4.55172414],0
a1,1,0.749637,0.101836,[ 9 44] ; [1 7],[ 8.68852459 44.31147541] ; [1.31147541 6.68852459],0
s3,1,0.772989,0.083214,[15 35] ; [2 6],[14.65517241 35.34482759] ; [2.34482759 5.65517241],0
s1,1,0.786055,0.073678,[ 5 48] ; [1 7],[ 5.21311475 47.78688525] ; [0.78688525 7.21311475],0
p5,1,0.814541,0.055024,[ 5 46] ; [1 7],[ 5.18644068 45.81355932] ; [0.81355932 7.18644068],0
p3,1,0.822178,0.05051,[15 37] ; [2 6],[14.73333333 37.26666667] ; [2.26666667 5.73333333],0
r2,1,0.826605,0.047987,[35 17] ; [5 2],[35.25423729 16.74576271] ; [4.74576271 2.25423729],0
p1,1,0.847065,0.037197,[ 8 45] ; [1 7],[ 7.81967213 45.18032787] ; [1.18032787 6.81967213],0
s4,1,0.847065,0.037197,[ 8 45] ; [1 7],[ 7.81967213 45.18032787] ; [1.18032787 6.81967213],0
d3,1,0.881228,0.022324,[25 28] ; [4 4],[25.19672131 27.80327869] ; [3.80327869 4.19672131],0
n1,1,0.894036,0.017742,[14 17] ; [1 1],[14.09090909 16.90909091] ; [0.90909091 1.09090909],0
b3,1,0.895405,0.017284,[13 23] ; [2 4],[12.85714286 23.14285714] ; [2.14285714 3.85714286],0
b2,1,0.895405,0.017284,[13 23] ; [2 4],[12.85714286 23.14285714] ; [2.14285714 3.85714286],0
p10,1,0.908797,0.013123,[21 32] ; [3 5],[20.85245902 32.14754098] ; [3.14754098 4.85245902],0
b1,1,0.908797,0.013123,[32 21] ; [5 3],[32.14754098 20.85245902] ; [4.85245902 3.14754098],0
p2,1,0.958469,0.002712,[20 32] ; [3 5],[19.93333333 32.06666667] ; [3.06666667 4.93333333],0
a6,1,0.960321,0.002475,[26 27] ; [4 4],[26.06557377 26.93442623] ; [3.93442623 4.06557377],0
n4,1,0.989763,0.000165,[33 20] ; [5 3],[33.01639344 19.98360656] ; [4.98360656 3.01639344],0
