Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.009346,6.755556,[ 5 13] ; [14  6],[9. 9.] ; [10. 10.],0
d5,1,0.04568,3.993341,[10  8] ; [17  3],[12.78947368  5.21052632] ; [14.21052632  5.78947368],0
n6,1,0.052276,3.766923,[17  1] ; [14  6],[14.68421053  3.31578947] ; [16.31578947  3.68421053],0
v3,1,0.082789,3.009288,[ 2 15] ; [ 7 12],[ 4.25 12.75] ; [ 4.75 14.25],0
p6,1,0.083721,2.991145,[ 2 16] ; [ 7 13],[ 4.26315789 13.73684211] ; [ 4.73684211 15.26315789],0
n4,1,0.089687,2.879987,[13  5] ; [ 9 11],[10.42105263  7.57894737] ; [11.57894737  8.42105263],0
d4,1,0.094962,2.788175,[11  7] ; [17  3],[13.26315789  4.73684211] ; [14.73684211  5.26315789],0
b2,1,0.097788,2.741259,[ 1 10] ; [5 8],[2.75 8.25] ; [3.25 9.75],0
b3,1,0.097788,2.741259,[ 1 10] ; [5 8],[2.75 8.25] ; [3.25 9.75],0
p11,1,0.100208,2.702222,[12  6] ; [ 8 12],[9.47368421 8.52631579] ; [10.52631579  9.47368421],0
d3,1,0.110669,2.544643,[9 9] ; [15  5],[11.36842105  6.63157895] ; [12.63157895  7.36842105],0
s8,1,0.111126,2.538131,[10  8] ; [ 6 14],[ 7.57894737 10.42105263] ; [ 8.42105263 11.57894737],0
d2,1,0.193748,1.688889,[ 7 11] ; [12  8],[9. 9.] ; [10. 10.],0
u2,1,0.197703,1.659259,[4 4] ; [1 5],[2.85714286 5.14285714] ; [2.14285714 3.85714286],0
n2,1,0.210096,1.570767,[7 2] ; [5 5],[5.68421053 3.31578947] ; [6.31578947 3.68421053],0
p12,1,0.264201,1.246611,[ 3 15] ; [ 1 18],[ 1.94594595 16.05405405] ; [ 2.05405405 16.94594595],0
s7,1,0.300115,1.073684,[ 6 11] ; [9 8],[7.5 9.5] ; [7.5 9.5],0
b1,1,0.337605,0.919506,[10  8] ; [ 8 12],[8.52631579 9.47368421] ; [ 9.47368421 10.52631579],0
v1,1,0.349731,0.874432,[9 9] ; [ 7 13],[ 7.57894737 10.42105263] ; [ 8.42105263 11.57894737],0
b5,1,0.349731,0.874432,[9 9] ; [13  7],[10.42105263  7.57894737] ; [11.57894737  8.42105263],0
a3,1,0.356702,0.849471,[10  8] ; [14  6],[11.36842105  6.63157895] ; [12.63157895  7.36842105],0
s3,1,0.368209,0.809699,[11  6] ; [10 10],[9.64864865 7.35135135] ; [11.35135135  8.64864865],0
u3,1,0.393153,0.729167,[5 3] ; [5 1],[5.71428571 2.28571429] ; [4.28571429 1.71428571],0
n3,1,0.405187,0.692877,[7 2] ; [6 4],[6.15789474 2.84210526] ; [6.84210526 3.15789474],0
p3,1,0.427801,0.628786,[ 5 13] ; [ 8 12],[ 6.15789474 11.84210526] ; [ 6.84210526 13.15789474],0
n1,1,0.462527,0.539773,[3 6] ; [5 5],[3.78947368 5.21052632] ; [4.21052632 5.78947368],0
s1,1,0.497727,0.459779,[ 3 14] ; [ 2 18],[ 2.2972973 14.7027027] ; [ 2.7027027 17.2972973],0
p1,1,0.543831,0.368485,[ 3 15] ; [ 2 18],[ 2.36842105 15.63157895] ; [ 2.63157895 17.36842105],0
p10,1,0.556067,0.346559,[13  5] ; [12  7],[12.16216216  5.83783784] ; [12.83783784  6.16216216],0
r1,1,0.632487,0.228704,[13  5] ; [13  7],[12.31578947  5.68421053] ; [13.68421053  6.31578947],0
p4,1,0.632487,0.228704,[ 5 13] ; [ 7 13],[ 5.68421053 12.31578947] ; [ 6.31578947 13.68421053],0
s6,1,0.673669,0.17734,[15  3] ; [14  4],[14.5  3.5] ; [14.5  3.5],0
p9,1,0.700311,0.148148,[14  4] ; [13  5],[13.5  4.5] ; [13.5  4.5],0
r3,1,0.723264,0.125387,[16  2] ; [17  3],[15.63157895  2.36842105] ; [17.36842105  2.63157895],0
b4,1,0.757914,0.095,[9 9] ; [11  9],[9.47368421 8.52631579] ; [10.52631579  9.47368421],0
s2,1,0.789993,0.070926,[10  7] ; [12  7],[10.38888889  6.61111111] ; [11.61111111  7.38888889],0
a5,1,0.804025,0.061574,[11  7] ; [13  7],[11.36842105  6.63157895] ; [12.63157895  7.36842105],0
v2,1,0.820596,0.051429,[9 7] ; [12  8],[9.33333333 6.66666667] ; [11.66666667  8.33333333],0
p7,1,0.825309,0.048718,[ 6 12] ; [ 6 14],[ 5.68421053 12.31578947] ; [ 6.31578947 13.68421053],0
s5,1,0.86583,0.028547,[8 8] ; [9 8],[8.24242424 7.75757576] ; [8.75757576 8.24242424],0
r4,1,0.866761,0.028148,[14  4] ; [16  4],[14.21052632  3.78947368] ; [15.78947368  4.21052632],0
p8,1,0.88812,0.019792,[ 3 15] ; [ 3 17],[ 2.84210526 15.15789474] ; [ 3.15789474 16.84210526],0
v4,1,0.88812,0.019792,[15  3] ; [17  3],[15.15789474  2.84210526] ; [16.84210526  3.15789474],0
u1,1,0.911269,0.012418,[ 2 16] ; [ 2 18],[ 1.89473684 16.10526316] ; [ 2.10526316 17.89473684],0
a2,1,0.938959,0.005864,[ 1 17] ; [ 1 19],[ 0.94736842 17.05263158] ; [ 1.05263158 18.94736842],0
a1,1,0.938959,0.005864,[ 1 17] ; [ 1 19],[ 0.94736842 17.05263158] ; [ 1.05263158 18.94736842],0
a6,1,0.94422,0.004895,[ 7 11] ; [ 8 12],[ 7.10526316 10.89473684] ; [ 7.89473684 12.10526316],0
a4,1,0.972566,0.001183,[ 8 10] ; [ 9 11],[8.05263158 9.94736842] ; [ 8.94736842 11.05263158],0
a7,1,0.972566,0.001183,[10  8] ; [11  9],[9.94736842 8.05263158] ; [11.05263158  8.94736842],0
