Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-05,19.438133,[74  5] ; [4 5],[70.02272727  8.97727273] ; [7.97727273 1.02272727],1
p2,1,0.003658,8.44636,[67 12] ; [4 5],[63.73863636 15.26136364] ; [7.26136364 1.73863636],0
p10,1,0.004004,8.281965,[66 12] ; [4 5],[62.75862069 15.24137931] ; [7.24137931 1.75862069],0
r3,1,0.00813,7.004686,[73  5] ; [6 3],[70.82758621  7.17241379] ; [8.17241379 0.82758621],0
p9,1,0.009721,6.685401,[64 14] ; [4 5],[60.96551724 17.03448276] ; [7.03448276 1.96551724],0
p7,1,0.013488,6.103925,[58 21] ; [3 6],[54.76136364 24.23863636] ; [6.23863636 2.76136364],0
n6,1,0.013503,6.101972,[69 10] ; [5 4],[66.43181818 12.56818182] ; [7.56818182 1.43181818],0
r2,1,0.015758,5.829693,[73  6] ; [6 3],[70.92045455  8.07954545] ; [8.07954545 0.92045455],0
s3,1,0.021051,5.322534,[11 68] ; [4 5],[13.46590909 65.53409091] ; [1.53409091 7.46590909],0
p8,1,0.04321,4.087173,[45 33] ; [2 7],[42.13793103 35.86206897] ; [4.86206897 4.13793103],0
d2,1,0.044068,4.053971,[42 36] ; [8 1],[44.82758621 33.17241379] ; [5.17241379 3.82758621],0
v1,1,0.048136,3.90523,[35 42] ; [1 8],[32.23255814 44.76744186] ; [3.76744186 5.23255814],0
p4,1,0.087609,2.917773,[49 29] ; [3 6],[46.62068966 31.37931034] ; [5.37931034 3.62068966],0
p1,1,0.097675,2.743109,[10 69] ; [3 6],[11.67045455 67.32954545] ; [1.32954545 7.67045455],0
p11,1,0.126317,2.337191,[62 17] ; [5 4],[60.14772727 18.85227273] ; [6.85227273 2.14772727],0
b1,1,0.1333,2.253644,[32 47] ; [6 3],[34.11363636 44.88636364] ; [3.88636364 5.11363636],0
p3,1,0.1333,2.253644,[47 32] ; [3 6],[44.88636364 34.11363636] ; [5.11363636 3.88636364],0
n4,1,0.155079,2.021566,[61 18] ; [5 4],[59.25 19.75] ; [6.75 2.25],0
v2,1,0.177384,1.819409,[45 34] ; [3 6],[43.09090909 35.90909091] ; [4.90909091 4.09090909],0
n2,1,0.180802,1.791019,[13  5] ; [2 3],[11.73913043  6.26086957] ; [3.26086957 1.73913043],0
n5,1,0.222156,1.490389,[59 20] ; [5 4],[57.45454545 21.54545455] ; [6.54545455 2.45454545],0
n3,1,0.291699,1.111765,[13  4] ; [2 2],[12.14285714  4.85714286] ; [2.85714286 1.14285714],0
d3,1,0.307233,1.042531,[49 30] ; [4 5],[47.57954545 31.42045455] ; [5.42045455 3.57954545],0
s6,1,0.319484,0.991059,[52 25] ; [4 4],[50.72941176 26.27058824] ; [5.27058824 2.72941176],0
a7,1,0.361788,0.831678,[47 31] ; [4 5],[45.72413793 32.27586207] ; [5.27586207 3.72413793],0
p6,1,0.413776,0.667926,[28 50] ; [2 7],[26.89655172 51.10344828] ; [3.10344828 5.89655172],0
s8,1,0.455192,0.557692,[27 51] ; [2 7],[26. 52.] ; [3. 6.],0
r1,1,0.506212,0.441888,[68 11] ; [7 2],[67.32954545 11.67045455] ; [7.67045455 1.32954545],0
d5,1,0.510401,0.433244,[63 16] ; [8 1],[63.73863636 15.26136364] ; [7.26136364 1.73863636],0
u3,1,0.541193,0.373333,[13 12] ; [1 2],[12.5 12.5] ; [1.5 1.5],0
a1,1,0.589703,0.290808,[ 5 74] ; [1 8],[ 5.38636364 73.61363636] ; [0.61363636 8.38636364],0
a8,1,0.592575,0.28634,[11 61] ; [2 7],[11.55555556 60.44444444] ; [1.44444444 7.55555556],0
s4,1,0.607122,0.264387,[14 64] ; [1 8],[13.44827586 64.55172414] ; [1.55172414 7.44827586],0
n1,1,0.61093,0.258824,[8 9] ; [3 2],[8.5 8.5] ; [2.5 2.5],0
d1,1,0.625641,0.238018,[46 33] ; [6 3],[46.68181818 32.31818182] ; [5.31818182 3.68181818],0
b5,1,0.676981,0.173544,[32 47] ; [3 6],[31.42045455 47.57954545] ; [3.57954545 5.42045455],0
b4,1,0.730214,0.118916,[48 31] ; [6 3],[48.47727273 30.52272727] ; [5.52272727 3.47727273],0
a6,1,0.8199,0.051835,[47 32] ; [5 4],[46.68181818 32.31818182] ; [5.31818182 3.68181818],0
a5,1,0.839044,0.041256,[59 20] ; [7 2],[59.25 19.75] ; [6.75 2.25],0
a3,1,0.874901,0.024786,[54 24] ; [6 3],[53.79310345 24.20689655] ; [6.20689655 2.79310345],0
p5,1,0.902956,0.014866,[19 60] ; [2 7],[18.85227273 60.14772727] ; [2.14772727 6.85227273],0
a4,1,0.935672,0.006514,[34 45] ; [4 5],[34.11363636 44.88636364] ; [3.88636364 5.11363636],0
b2,1,0.957373,0.002857,[20 26] ; [4 5],[20.07272727 25.92727273] ; [3.92727273 5.07272727],0
b3,1,0.957373,0.002857,[20 26] ; [4 5],[20.07272727 25.92727273] ; [3.92727273 5.07272727],0
s7,1,0.97847,0.000728,[25 49] ; [3 6],[24.96385542 49.03614458] ; [3.03614458 5.96385542],0
