Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,45.110251,[80 14] ; [12 32],[62.66666667 31.33333333] ; [29.33333333 14.66666667],1
d1,1,0.0,37.249898,[56 38] ; [ 2 42],[39.50724638 54.49275362] ; [18.49275362 25.50724638],1
d3,1,3.5e-05,17.102266,[59 35] ; [11 33],[47.68115942 46.31884058] ; [22.31884058 21.68115942],1
a7,1,0.000276,13.225342,[63 31] ; [15 29],[53.13043478 40.86956522] ; [24.86956522 19.13043478],1
r1,1,0.00159,9.971109,[65 29] ; [18 26],[56.53623188 37.46376812] ; [26.46376812 17.53623188],0
r2,1,0.002134,9.430797,[81 11] ; [29 15],[74.41176471 17.58823529] ; [35.58823529  8.41176471],0
a3,1,0.002375,9.234212,[59 35] ; [15 28],[50.77372263 43.22627737] ; [23.22627737 19.77372263],0
r3,1,0.005534,7.696094,[78 16] ; [27 17],[71.52173913 22.47826087] ; [33.47826087 10.52173913],0
r4,1,0.006289,7.465659,[71 23] ; [23 21],[64.02898551 29.97101449] ; [29.97101449 14.02898551],0
a5,1,0.007494,7.150466,[55 39] ; [15 29],[47.68115942 46.31884058] ; [22.31884058 21.68115942],0
s7,1,0.009595,6.70856,[27 61] ; [ 4 37],[21.14728682 66.85271318] ; [ 9.85271318 31.14728682],0
d2,1,0.015239,5.888667,[48 45] ; [13 31],[41.40875912 51.59124088] ; [19.59124088 24.40875912],0
a4,1,0.031597,4.620242,[41 52] ; [11 33],[35.29927007 57.70072993] ; [16.70072993 27.29927007],0
s6,1,0.048092,3.906774,[43 51] ; [12 31],[37.73722628 56.26277372] ; [17.26277372 25.73722628],0
a8,1,0.051292,3.798701,[ 4 84] ; [ 6 36],[ 6.76923077 81.23076923] ; [ 3.23076923 38.76923077],0
s8,1,0.06672,3.361921,[21 73] ; [ 4 39],[17.15328467 76.84671533] ; [ 7.84671533 35.15328467],0
u2,1,0.069919,3.284918,[17 17] ; [ 8 21],[13.49206349 20.50793651] ; [11.50793651 17.49206349],0
v2,1,0.077396,3.118759,[31 62] ; [ 8 35],[26.66911765 66.33088235] ; [12.33088235 30.66911765],0
s5,1,0.109396,2.562928,[18 72] ; [ 4 40],[14.7761194 75.2238806] ; [ 7.2238806 36.7761194],0
s2,1,0.109531,2.560982,[29 64] ; [ 8 36],[25.11678832 67.88321168] ; [11.88321168 32.11678832],0
