Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,7e-06,20.173913,[14  4] ; [15 54],[ 6. 12.] ; [23. 46.],1
s6,1,1.3e-05,19.068036,[15  3] ; [19 51],[ 6.95454545 11.04545455] ; [27.04545455 42.95454545],1
s7,1,0.000482,12.182962,[11  7] ; [12 51],[ 5.11111111 12.88888889] ; [17.88888889 45.11111111],1
d1,1,0.001079,10.687159,[12  6] ; [18 52],[ 6.13636364 11.86363636] ; [23.86363636 46.13636364],0
p6,1,0.003497,8.528192,[ 8 10] ; [ 9 58],[ 3.6 14.4] ; [13.4 53.6],0
u3,1,0.003504,8.524418,[7 1] ; [12 26],[3.30434783 4.69565217] ; [15.69565217 22.30434783],0
p5,1,0.003648,8.451361,[ 4 14] ; [ 2 68],[ 1.22727273 16.77272727] ; [ 4.77272727 65.22727273],0
p4,1,0.004997,7.880435,[11  7] ; [18 51],[ 6. 12.] ; [23. 46.],0
p3,1,0.010297,6.582805,[10  8] ; [17 53],[ 5.52272727 12.47727273] ; [21.47727273 48.52272727],0
v1,1,0.015526,5.855735,[9 8] ; [16 53],[ 4.94186047 12.05813953] ; [20.05813953 48.94186047],0
r4,1,0.019002,5.501343,[15  3] ; [37 33],[10.63636364  7.36363636] ; [41.36363636 28.63636364],0
v2,1,0.021488,5.286776,[10  8] ; [18 49],[ 5.92941176 12.07058824] ; [22.07058824 44.92941176],0
s3,1,0.022699,5.191363,[12  6] ; [25 43],[ 7.74418605 10.25581395] ; [29.25581395 38.74418605],0
r3,1,0.025868,4.96485,[17  1] ; [48 22],[13.29545455  4.70454545] ; [51.70454545 18.29545455],0
a5,1,0.026223,4.941225,[13  5] ; [30 40],[8.79545455 9.20454545] ; [34.20454545 35.79545455],0
n6,1,0.03427,4.481195,[14  3] ; [38 32],[10.16091954  6.83908046] ; [41.83908046 28.16091954],0
n4,1,0.03427,4.481195,[14  3] ; [38 32],[10.16091954  6.83908046] ; [41.83908046 28.16091954],0
r1,1,0.044792,4.026467,[13  5] ; [32 38],[9.20454545 8.79545455] ; [35.79545455 34.20454545],0
s5,1,0.046928,3.947954,[ 7 10] ; [13 57],[ 3.90804598 13.09195402] ; [16.09195402 53.90804598],0
u2,1,0.0551,3.679054,[6 2] ; [14 23],[3.55555556 4.44444444] ; [16.44444444 20.55555556],0
d5,1,0.057441,3.609767,[13  5] ; [33 37],[9.40909091 8.59090909] ; [36.59090909 33.40909091],0
v3,1,0.064804,3.409956,[ 7 10] ; [13 53],[ 4.09638554 12.90361446] ; [15.90361446 50.09638554],0
p8,1,0.071813,3.241093,[ 7 11] ; [13 56],[ 4.13793103 13.86206897] ; [15.86206897 53.13793103],0
p9,1,0.092119,2.836957,[9 9] ; [20 49],[ 6. 12.] ; [23. 46.],0
d4,1,0.155192,2.020458,[13  5] ; [37 32],[10.34482759  7.65517241] ; [39.65517241 29.34482759],0
b1,1,0.169155,1.890415,[13  5] ; [38 32],[10.43181818  7.56818182] ; [40.56818182 29.43181818],0
d3,1,0.177508,1.818367,[9 9] ; [23 47],[ 6.54545455 11.45454545] ; [25.45454545 44.54545455],0
n1,1,0.237256,1.396825,[4 3] ; [11 22],[2.625 4.375] ; [12.375 20.625],0
u4,1,0.294712,1.09797,[ 1 17] ; [ 1 69],[ 0.40909091 17.59090909] ; [ 1.59090909 68.40909091],0
d2,1,0.304103,1.056113,[10  8] ; [29 40],[8.06896552 9.93103448] ; [30.93103448 38.06896552],0
n5,1,0.324481,0.970797,[11  6] ; [36 34],[9.18390805 7.81609195] ; [37.81609195 32.18390805],0
a8,1,0.369239,0.806225,[ 3 15] ; [ 6 59],[ 1.95180723 16.04819277] ; [ 7.04819277 57.95180723],0
a4,1,0.380702,0.768433,[ 8 10] ; [23 46],[ 6.4137931 11.5862069] ; [24.5862069 44.4137931],0
a2,1,0.417836,0.656394,[ 2 16] ; [ 4 66],[ 1.22727273 16.77272727] ; [ 4.77272727 65.22727273],0
a3,1,0.487669,0.481666,[10  8] ; [32 37],[8.68965517 9.31034483] ; [33.31034483 35.68965517],0
b4,1,0.512602,0.428752,[9 9] ; [41 29],[10.22727273  7.77272727] ; [39.77272727 30.22727273],0
p2,1,0.524238,0.405549,[10  8] ; [33 37],[8.79545455 9.20454545] ; [34.20454545 35.79545455],0
p11,1,0.524238,0.405549,[10  8] ; [33 37],[8.79545455 9.20454545] ; [34.20454545 35.79545455],0
a6,1,0.5314,0.391714,[ 6 12] ; [29 41],[ 7.15909091 10.84090909] ; [27.84090909 42.15909091],0
n3,1,0.540417,0.374767,[4 2] ; [17 15],[3.31578947 2.68421053] ; [17.68421053 14.31578947],0
b2,1,0.577735,0.30991,[5 8] ; [13 30],[4.17857143 8.82142857] ; [13.82142857 29.17857143],0
b3,1,0.577735,0.30991,[5 8] ; [13 30],[4.17857143 8.82142857] ; [13.82142857 29.17857143],0
s4,1,0.623506,0.24097,[ 2 16] ; [11 59],[ 2.65909091 15.34090909] ; [10.34090909 59.65909091],0
n2,1,0.631342,0.230246,[4 3] ; [22 11],[4.55 2.45] ; [21.45 11.55],0
s1,1,0.673212,0.177867,[ 1 17] ; [ 6 64],[ 1.43181818 16.56818182] ; [ 5.56818182 64.43181818],0
p7,1,0.732312,0.116999,[ 8 10] ; [28 42],[ 7.36363636 10.63636364] ; [28.63636364 41.36363636],0
a1,1,0.811657,0.056782,[ 1 17] ; [ 5 65],[ 1.22727273 16.77272727] ; [ 4.77272727 65.22727273],0
b5,1,0.913884,0.011694,[9 9] ; [36 34],[9.20454545 8.79545455] ; [35.79545455 34.20454545],0
p1,1,0.979301,0.000673,[ 1 17] ; [ 4 66],[ 1.02272727 16.97727273] ; [ 3.97727273 66.02272727],0
