Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,43.220779,[53 57] ; [129  21],[77. 33.] ; [105.  45.],1
p2,1,0.0,34.84474,[77 37] ; [146   8],[94.85820896 19.14179104] ; [128.14179104  25.85820896],1
p4,1,0.0,29.097351,[54 60] ; [121  32],[74.71910112 39.28089888] ; [100.28089888  52.71910112],1
p3,1,1e-06,23.25317,[44 69] ; [105  48],[63.29699248 49.70300752] ; [85.70300752 67.29699248],1
p6,1,5e-06,20.940799,[32 80] ; [86 65],[50.25095057 61.74904943] ; [67.74904943 83.25095057],1
v3,1,9.7e-05,15.199033,[41 66] ; [95 56],[56.40310078 50.59689922] ; [79.59689922 71.40310078],1
p5,1,0.000321,12.94323,[  8 103] ; [ 37 117],[18.8490566 92.1509434] ; [ 26.1509434 127.8490566],1
p11,1,0.00038,12.62617,[80 34] ; [135  19],[91.45522388 22.54477612] ; [123.54477612  30.45522388],1
n6,1,0.000469,12.236221,[88 25] ; [141  11],[97.6490566 15.3509434] ; [131.3509434  20.6490566],1
n5,1,0.000567,11.880379,[82 31] ; [137  17],[92.68539326 20.31460674] ; [126.31460674  27.68539326],1
s5,1,0.000769,11.314463,[41 68] ; [86 60],[54.28627451 54.71372549] ; [72.71372549 73.28627451],1
s8,1,0.000983,10.859857,[61 53] ; [111  41],[73.71428571 40.28571429] ; [98.28571429 53.71428571],1
p9,1,0.002498,9.141909,[91 22] ; [143  11],[99.03370787 13.96629213] ; [134.96629213  19.03370787],0
p10,1,0.002506,9.136433,[86 25] ; [139  14],[94.60227273 16.39772727] ; [130.39772727  22.60227273],0
d4,1,0.003705,8.422983,[89 25] ; [138  14],[97.28571429 16.71428571] ; [129.71428571  22.28571429],0
s7,1,0.009844,6.662973,[63 43] ; [112  38],[72.4609375 33.5390625] ; [102.5390625  47.4609375],0
d1,1,0.012284,6.269348,[63 51] ; [108  46],[72.73880597 41.26119403] ; [98.26119403 55.73880597],0
n4,1,0.018251,5.571848,[84 28] ; [133  21],[91.36842105 20.63157895] ; [125.63157895  28.36842105],0
d3,1,0.021312,5.301089,[75 39] ; [120  33],[83.25842697 30.74157303] ; [111.74157303  41.25842697],0
b5,1,0.028311,4.809022,[78 36] ; [85 69],[69.3358209 44.6641791] ; [93.6641791 60.3358209],0
s1,1,0.040445,4.199137,[  9 102] ; [  4 150],[  5.44528302 105.55471698] ; [  7.55471698 146.44528302],0
a5,1,0.04957,3.855944,[80 34] ; [124  30],[86.7761194 27.2238806] ; [117.2238806  36.7761194],0
r4,1,0.05928,3.557418,[102  12] ; [147   7],[105.91791045   8.08208955] ; [143.08208955  10.91791045],0
