Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,62.066891,[100   4] ; [12 22],[84.4057971 19.5942029] ; [27.5942029  6.4057971],1
v4,1,0.0,47.146145,[101   2] ; [17 16],[89.36764706 13.63235294] ; [28.63235294  4.36764706],1
r1,1,0.0,40.623627,[77 25] ; [ 5 30],[61.05109489 40.94890511] ; [20.94890511 14.05109489],1
r2,1,0.0,31.950998,[99  5] ; [19 15],[88.92753623 15.07246377] ; [29.07246377  4.92753623],1
s6,1,3.5e-05,17.139578,[63 38] ; [ 8 28],[52.34306569 48.65693431] ; [18.65693431 17.34306569],1
p10,1,0.000192,13.909091,[75 27] ; [13 21],[66. 36.] ; [22. 12.],1
n6,1,0.000218,13.6667,[84 20] ; [17 18],[75.56834532 28.43165468] ; [25.43165468  9.56834532],1
s3,1,0.00061,11.745709,[57 44] ; [ 8 27],[48.27205882 52.72794118] ; [16.72794118 18.27205882],1
n2,1,0.000723,11.428571,[26  2] ; [10 10],[21.  7.] ; [15.  5.],1
d5,1,0.000728,11.416612,[57 47] ; [ 8 28],[48.28571429 55.71428571] ; [16.71428571 19.28571429],1
p11,1,0.000768,11.31771,[78 26] ; [16 20],[69.82857143 34.17142857] ; [24.17142857 11.82857143],1
a7,1,0.000975,10.874971,[66 38] ; [11 24],[57.61151079 46.38848921] ; [19.38848921 15.61151079],1
p3,1,0.001129,10.602778,[42 61] ; [ 4 32],[34.08633094 68.91366906] ; [11.91366906 24.08633094],0
s8,1,0.001218,10.46302,[38 65] ; [ 3 33],[30.38129496 72.61870504] ; [10.61870504 25.38129496],0
p9,1,0.001306,10.334347,[78 24] ; [16 18],[70.5 31.5] ; [23.5 10.5],0
n3,1,0.003275,8.647632,[24  2] ; [11  9],[19.7826087  6.2173913] ; [15.2173913  4.7826087],0
b2,1,0.004971,7.889835,[ 8 54] ; [ 9 13],[12.54761905 49.45238095] ; [ 4.45238095 17.54761905],0
b3,1,0.004971,7.889835,[ 8 54] ; [ 9 13],[12.54761905 49.45238095] ; [ 4.45238095 17.54761905],0
p2,1,0.005348,7.757692,[77 27] ; [17 18],[70.33093525 33.66906475] ; [23.66906475 11.33093525],0
s7,1,0.011975,6.314538,[35 61] ; [ 5 31],[29.09090909 66.90909091] ; [10.90909091 25.09090909],0
p4,1,0.015006,5.915718,[47 57] ; [ 8 28],[40.85714286 63.14285714] ; [14.14285714 21.85714286],0
v2,1,0.022191,5.230767,[38 59] ; [ 6 28],[32.58015267 64.41984733] ; [11.41984733 22.58015267],0
v3,1,0.023104,5.160693,[32 69] ; [ 4 30],[26.93333333 74.06666667] ; [ 9.06666667 24.93333333],0
b5,1,0.031429,4.629372,[62 42] ; [14 22],[56.45714286 47.54285714] ; [19.54285714 16.45714286],0
p7,1,0.04085,4.182215,[51 52] ; [10 24],[45.86131387 57.13868613] ; [15.13868613 18.86131387],0
a6,1,0.051419,3.794564,[60 44] ; [14 22],[54.97142857 49.02857143] ; [19.02857143 16.97142857],0
v1,1,0.056787,3.628825,[46 54] ; [10 26],[41.17647059 58.82352941] ; [14.82352941 21.17647059],0
a5,1,0.066584,3.365278,[56 48] ; [13 23],[51.25714286 52.74285714] ; [17.74285714 18.25714286],0
s2,1,0.072127,3.233933,[36 65] ; [ 7 29],[31.70072993 69.29927007] ; [11.29927007 24.70072993],0
b1,1,0.102164,2.671437,[36 68] ; [18 18],[40.11428571 63.88571429] ; [13.88571429 22.11428571],0
s5,1,0.146899,2.104163,[19 83] ; [ 3 33],[16.26086957 85.73913043] ; [ 5.73913043 30.26086957],0
p1,1,0.168647,1.894933,[ 7 97] ; [ 5 30],[ 8.97841727 95.02158273] ; [ 3.02158273 31.97841727],0
u3,1,0.192713,1.696751,[26 28] ; [ 7 15],[23.44736842 30.55263158] ; [ 9.55263158 12.44736842],0
d2,1,0.252008,1.312139,[22 82] ; [11 25],[24.51428571 79.48571429] ; [ 8.48571429 27.51428571],0
s1,1,0.276417,1.18462,[ 6 96] ; [ 4 31],[ 7.44525547 94.55474453] ; [ 2.55474453 32.44525547],0
u2,1,0.337248,0.920864,[21 33] ; [ 6 16],[19.18421053 34.81578947] ; [ 7.81578947 14.18421053],0
a3,1,0.381219,0.766767,[50 53] ; [14 21],[47.76811594 55.23188406] ; [16.23188406 18.76811594],0
p8,1,0.410899,0.676197,[40 62] ; [11 24],[37.97080292 64.02919708] ; [13.02919708 21.97080292],0
a8,1,0.527152,0.399879,[ 9 84] ; [ 2 31],[ 8.11904762 84.88095238] ; [ 2.88095238 30.11904762],0
a2,1,0.551527,0.354589,[ 9 95] ; [ 2 34],[ 8.17142857 95.82857143] ; [ 2.82857143 33.17142857],0
n4,1,0.579996,0.306241,[70 33] ; [22 13],[68.66666667 34.33333333] ; [23.33333333 11.66666667],0
n5,1,0.607827,0.263352,[76 28] ; [24 11],[74.82014388 29.17985612] ; [25.17985612  9.82014388],0
u1,1,0.760192,0.093164,[  2 102] ; [ 1 35],[  2.22857143 101.77142857] ; [ 0.77142857 35.22857143],0
a4,1,0.807704,0.059238,[22 81] ; [ 7 29],[21.48920863 81.51079137] ; [ 7.51079137 28.48920863],0
s4,1,0.827328,0.047581,[22 82] ; [ 7 29],[21.54285714 82.45714286] ; [ 7.45714286 28.54285714],0
d3,1,0.90942,0.012944,[27 77] ; [ 9 27],[26.74285714 77.25714286] ; [ 9.25714286 26.74285714],0
n1,1,0.959196,0.002618,[11 16] ; [ 8 12],[10.91489362 16.08510638] ; [ 8.08510638 11.91489362],0
d1,1,0.973544,0.0011,[  3 101] ; [ 1 35],[  2.97142857 101.02857143] ; [ 1.02857143 34.97142857],0
b4,1,0.991169,0.000123,[49 55] ; [17 19],[49.02857143 54.97142857] ; [16.97142857 19.02857143],0
