Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a1,1,5.3e-05,16.348646,[2 5] ; [ 12 457],[0.20588235 6.79411765] ; [ 13.79411765 455.20588235],1
b2,1,0.013414,6.113713,[6 1] ; [106 164],[2.83032491 4.16967509] ; [109.16967509 160.83032491],0
b3,1,0.013414,6.113713,[6 1] ; [106 164],[2.83032491 4.16967509] ; [109.16967509 160.83032491],0
a2,1,0.024116,5.086299,[4 3] ; [101 368],[1.54411765 5.45588235] ; [103.45588235 365.54411765],0
d2,1,0.02665,4.913312,[6 1] ; [204 262],[3.10782241 3.89217759] ; [206.89217759 259.10782241],0
a8,1,0.029163,4.757967,[2 2] ; [ 55 372],[0.52900232 3.47099768] ; [ 56.47099768 370.52900232],0
v3,1,0.03736,4.333943,[5 1] ; [186 266],[2.50218341 3.49781659] ; [188.49781659 263.50218341],0
u1,1,0.077961,3.106914,[3 4] ; [ 81 388],[1.23529412 5.76470588] ; [ 82.76470588 386.23529412],0
p5,1,0.100989,2.689853,[2 4] ; [ 54 413],[0.71035941 5.28964059] ; [ 55.28964059 411.71035941],0
a4,1,0.102422,2.667419,[5 2] ; [191 277],[2.88842105 4.11157895] ; [193.11157895 274.88842105],0
s8,1,0.150386,2.068328,[5 2] ; [206 260],[3.12262156 3.87737844] ; [207.87737844 258.12262156],0
d1,1,0.17244,1.861601,[6 1] ; [283 186],[4.25 2.75] ; [284.75 184.25],0
s7,1,0.236549,1.401044,[5 2] ; [220 230],[3.4463895 3.5536105] ; [221.5536105 228.4463895],0
v2,1,0.251553,1.314656,[5 1] ; [272 179],[3.63676149 2.36323851] ; [273.36323851 177.63676149],0
s3,1,0.373043,0.793504,[5 2] ; [252 210],[3.8358209 3.1641791] ; [253.1641791 208.8358209],0
b4,1,0.508644,0.436855,[5 2] ; [277 192],[4.14705882 2.85294118] ; [277.85294118 191.14705882],0
p4,1,0.539839,0.375838,[5 2] ; [279 186],[4.21186441 2.78813559] ; [279.78813559 185.21186441],0
n4,1,0.584797,0.298543,[6 1] ; [361 108],[5.39705882 1.60294118] ; [361.60294118 107.39705882],0
b5,1,0.61913,0.247093,[5 2] ; [292 177],[4.36764706 2.63235294] ; [292.63235294 176.36764706],0
p3,1,0.625699,0.237939,[4 3] ; [224 244],[3.36 3.64] ; [224.64 243.36],0
p12,1,0.678344,0.171996,[1 6] ; [ 45 423],[0.67789474 6.32210526] ; [ 45.32210526 422.67789474],0
s5,1,0.687369,0.161948,[2 5] ; [162 289],[2.50655022 4.49344978] ; [161.49344978 289.50655022],0
p6,1,0.689146,0.160011,[3 4] ; [165 299],[2.49681529 4.50318471] ; [165.50318471 298.49681529],0
p7,1,0.699565,0.148925,[5 2] ; [293 162],[4.51515152 2.48484848] ; [293.48484848 161.51515152],0
r1,1,0.729864,0.119237,[6 1] ; [376  91],[5.64135021 1.35864979] ; [376.35864979  90.64135021],0
a7,1,0.762124,0.091623,[5 2] ; [358 111],[5.33823529 1.66176471] ; [357.66176471 111.33823529],0
s2,1,0.771352,0.084452,[4 3] ; [240 225],[3.61864407 3.38135593] ; [240.38135593 224.61864407],0
d5,1,0.844534,0.038454,[6 1] ; [388  80],[5.80631579 1.19368421] ; [388.19368421  79.80631579],0
p8,1,0.918065,0.010583,[4 3] ; [255 207],[3.86567164 3.13432836] ; [255.13432836 206.86567164],0
p2,1,0.949455,0.004018,[6 1] ; [405  63],[6.05684211 0.94315789] ; [404.94315789  63.05684211],0
a6,1,0.957932,0.002782,[5 2] ; [330 138],[4.93684211 2.06315789] ; [330.06315789 137.93684211],0
