Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.003124,8.733516,[5 4] ; [ 2 22],[1.90909091 7.09090909] ; [ 5.09090909 18.90909091],0
d5,1,0.025827,4.967575,[8 1] ; [11 13],[5.18181818 3.81818182] ; [13.81818182 10.18181818],0
s6,1,0.053239,3.736413,[5 4] ; [ 5 19],[2.72727273 6.27272727] ; [ 7.27272727 16.72727273],0
a7,1,0.084433,2.977444,[6 3] ; [ 8 16],[3.81818182 5.18181818] ; [10.18181818 13.81818182],0
d1,1,0.097254,2.75,[4 5] ; [ 4 20],[2.18181818 6.81818182] ; [ 5.81818182 18.18181818],0
d4,1,0.100728,2.693981,[7 2] ; [11 13],[4.90909091 4.09090909] ; [13.09090909 10.90909091],0
a3,1,0.102116,2.672188,[6 3] ; [ 8 15],[3.9375 5.0625] ; [10.0625 12.9375],0
a1,1,0.108089,2.581944,[2 7] ; [ 1 23],[0.81818182 8.18181818] ; [ 2.18181818 21.81818182],0
p11,1,0.160475,1.969742,[5 4] ; [ 7 17],[3.27272727 5.72727273] ; [ 8.72727273 15.27272727],0
a5,1,0.160475,1.969742,[5 4] ; [ 7 17],[3.27272727 5.72727273] ; [ 8.72727273 15.27272727],0
n3,1,0.196667,1.666955,[4 1] ; [5 6],[2.8125 2.1875] ; [6.1875 4.8125],0
a6,1,0.200618,1.637868,[6 3] ; [10 14],[4.36363636 4.63636364] ; [11.63636364 12.36363636],0
r3,1,0.200618,1.637868,[6 3] ; [10 14],[4.36363636 4.63636364] ; [11.63636364 12.36363636],0
d2,1,0.279044,1.171739,[4 5] ; [ 6 18],[2.72727273 6.27272727] ; [ 7.27272727 16.72727273],0
n5,1,0.286201,1.137408,[3 6] ; [13 11],[4.36363636 4.63636364] ; [11.63636364 12.36363636],0
v4,1,0.286201,1.137408,[6 3] ; [11 13],[4.63636364 4.36363636] ; [12.36363636 11.63636364],0
n4,1,0.286201,1.137408,[6 3] ; [11 13],[4.63636364 4.36363636] ; [12.36363636 11.63636364],0
p7,1,0.301071,1.069444,[2 7] ; [10 14],[3.27272727 5.72727273] ; [ 8.72727273 15.27272727],0
d3,1,0.349963,0.87359,[5 4] ; [ 9 15],[3.81818182 5.18181818] ; [10.18181818 13.81818182],0
p9,1,0.356859,0.848916,[1 8] ; [ 6 17],[1.96875 7.03125] ; [ 5.03125 17.96875],0
n2,1,0.377026,0.780375,[3 2] ; [4 7],[2.1875 2.8125] ; [4.8125 6.1875],0
r1,1,0.384742,0.755495,[1 8] ; [ 6 18],[1.90909091 7.09090909] ; [ 5.09090909 18.90909091],0
p4,1,0.407016,0.6875,[2 7] ; [ 9 15],[3. 6.] ; [ 8. 16.],0
a4,1,0.455522,0.556875,[3 6] ; [ 5 19],[2.18181818 6.81818182] ; [ 5.81818182 18.18181818],0
p12,1,0.456511,0.554435,[1 8] ; [ 1 23],[0.54545455 8.45454545] ; [ 1.45454545 22.54545455],0
u3,1,0.569653,0.323264,[1 2] ; [ 3 13],[0.63157895 2.36842105] ; [ 3.36842105 12.63157895],0
n6,1,0.618698,0.247702,[4 5] ; [13 11],[4.63636364 4.36363636] ; [12.36363636 11.63636364],0
b4,1,0.662597,0.190385,[6 3] ; [14 10],[5.45454545 3.54545455] ; [14.54545455  9.45454545],0
s4,1,0.691801,0.157143,[1 8] ; [ 4 20],[1.36363636 7.63636364] ; [ 3.63636364 20.36363636],0
s2,1,0.71249,0.135802,[2 7] ; [ 4 20],[1.63636364 7.36363636] ; [ 4.36363636 19.63636364],0
b5,1,0.71615,0.132212,[5 4] ; [15  9],[5.45454545 3.54545455] ; [14.54545455  9.45454545],0
p8,1,0.752917,0.099096,[2 7] ; [ 4 19],[1.6875 7.3125] ; [ 4.3125 18.6875],0
n1,1,0.755497,0.09697,[1 4] ; [3 8],[1.25 3.75] ; [2.75 8.25],0
p2,1,0.776105,0.080882,[4 5] ; [12 12],[4.36363636 4.63636364] ; [11.63636364 12.36363636],0
b3,1,0.795418,0.067227,[2 4] ; [ 5 13],[1.75 4.25] ; [ 5.25 12.75],0
b2,1,0.795418,0.067227,[2 4] ; [ 5 13],[1.75 4.25] ; [ 5.25 12.75],0
v3,1,0.804748,0.061111,[1 8] ; [ 2 22],[0.81818182 8.18181818] ; [ 2.18181818 21.81818182],0
s1,1,0.804748,0.061111,[1 8] ; [ 2 22],[0.81818182 8.18181818] ; [ 2.18181818 21.81818182],0
p1,1,0.804748,0.061111,[1 8] ; [ 2 22],[0.81818182 8.18181818] ; [ 2.18181818 21.81818182],0
a2,1,0.804748,0.061111,[1 8] ; [ 2 22],[0.81818182 8.18181818] ; [ 2.18181818 21.81818182],0
b1,1,0.824624,0.049107,[6 3] ; [15  9],[5.72727273 3.27272727] ; [15.27272727  8.72727273],0
s7,1,0.900807,0.015536,[1 7] ; [ 3 18],[1.10344828 6.89655172] ; [ 2.89655172 18.10344828],0
s3,1,0.93814,0.006023,[3 6] ; [ 8 15],[3.09375 5.90625] ; [ 7.90625 15.09375],0
p6,1,0.968494,0.00156,[1 7] ; [ 3 20],[1.03225806 6.96774194] ; [ 2.96774194 20.03225806],0
