Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000177,14.065711,[13 40] ; [15  6],[20.05405405 32.94594595] ; [ 7.94594595 13.05405405],1
p4,1,0.001793,9.75,[12 42] ; [14 10],[18. 36.] ; [ 8. 16.],0
p11,1,0.003241,8.666667,[21 33] ; [18  6],[27. 27.] ; [12. 12.],0
p10,1,0.021274,5.304212,[27 27] ; [18  5],[31.55844156 22.44155844] ; [13.44155844  9.55844156],0
a7,1,0.025614,4.981874,[23 30] ; [17  7],[27.53246753 25.46753247] ; [12.46753247 11.53246753],0
p5,1,0.035881,4.402741,[ 3 50] ; [ 5 18],[ 5.57894737 47.42105263] ; [ 2.42105263 20.57894737],0
s7,1,0.06517,3.400675,[13 37] ; [11 12],[16.43835616 33.56164384] ; [ 7.56164384 15.43835616],0
a3,1,0.065594,3.38998,[36 17] ; [11 13],[32.35064935 20.64935065] ; [14.64935065  9.35064935],0
s8,1,0.068862,3.309939,[ 7 47] ; [ 7 16],[ 9.81818182 44.18181818] ; [ 4.18181818 18.81818182],0
b1,1,0.069949,3.284211,[30 24] ; [ 8 16],[26.30769231 27.69230769] ; [11.69230769 12.30769231],0
p6,1,0.078995,3.085451,[10 43] ; [ 9 15],[13.07792208 39.92207792] ; [ 5.92207792 18.07792208],0
s2,1,0.088643,2.89884,[15 39] ; [11 12],[18.23376623 35.76623377] ; [ 7.76623377 15.23376623],0
v4,1,0.09903,2.721088,[36 18] ; [18  3],[38.88 15.12] ; [15.12  5.88],0
n4,1,0.115721,2.474298,[35 19] ; [11 13],[31.84615385 22.15384615] ; [14.15384615  9.84615385],0
d2,1,0.138701,2.192308,[29 23] ; [ 9 15],[26. 26.] ; [12. 12.],0
n3,1,0.139464,2.183863,[14 11] ; [4 9],[11.84210526 13.15789474] ; [6.15789474 6.84210526],0
u3,1,0.141454,2.162075,[ 5 13] ; [7 6],[ 6.96774194 11.03225806] ; [5.03225806 7.96774194],0
s1,1,0.143229,2.142922,[ 2 52] ; [ 3 21],[ 3.46153846 50.53846154] ; [ 1.53846154 22.46153846],0
a1,1,0.174287,1.845679,[ 8 46] ; [ 1 23],[ 6.23076923 47.76923077] ; [ 2.76923077 21.23076923],0
u2,1,0.175823,1.832579,[ 5 12] ; [7 6],[ 6.8 10.2] ; [5.2 7.8],0
p1,1,0.188804,1.726925,[ 4 50] ; [ 4 19],[ 5.61038961 48.38961039] ; [ 2.38961039 20.61038961],0
a4,1,0.235637,1.406506,[23 30] ; [ 7 17],[20.64935065 32.35064935] ; [ 9.35064935 14.64935065],0
d1,1,0.241373,1.372555,[28 26] ; [ 9 15],[25.61538462 28.38461538] ; [11.38461538 12.61538462],0
n2,1,0.253579,1.303476,[13 13] ; [9 4],[14.66666667 11.33333333] ; [7.33333333 5.66666667],0
v1,1,0.299109,1.078162,[20 32] ; [ 6 17],[18.02666667 33.97333333] ; [ 7.97333333 15.02666667],0
n5,1,0.312626,1.019549,[37 17] ; [13 10],[35.06493506 18.93506494] ; [14.93506494  8.06493506],0
b2,1,0.316578,1.003031,[11 15] ; [ 4 11],[ 9.51219512 16.48780488] ; [5.48780488 9.51219512],0
b3,1,0.316578,1.003031,[11 15] ; [ 4 11],[ 9.51219512 16.48780488] ; [5.48780488 9.51219512],0
p3,1,0.324932,0.968992,[14 39] ; [ 9 15],[15.83116883 37.16883117] ; [ 7.16883117 16.83116883],0
p2,1,0.358561,0.842926,[28 24] ; [15  8],[29.81333333 22.18666667] ; [13.18666667  9.81333333],0
s4,1,0.373914,0.790614,[ 7 47] ; [ 5 19],[ 8.30769231 45.69230769] ; [ 3.69230769 20.30769231],0
b5,1,0.382837,0.761573,[28 26] ; [15  9],[29.76923077 24.23076923] ; [13.23076923 10.76923077],0
v3,1,0.386425,0.750161,[17 37] ; [ 5 18],[15.42857143 38.57142857] ; [ 6.57142857 16.42857143],0
