Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,47.577308,[84  4] ; [2 8],[77.2244898 10.7755102] ; [8.7755102 1.2244898],1
n6,1,0.000964,10.896419,[84  3] ; [7 3],[81.6185567  5.3814433] ; [9.3814433 0.6185567],1
s6,1,0.019536,5.452877,[73 10] ; [6 4],[70.50537634 12.49462366] ; [8.49462366 1.50537634],0
d5,1,0.021534,5.283053,[71 16] ; [5 5],[68.16494845 18.83505155] ; [7.83505155 2.16494845],0
p6,1,0.026935,4.894968,[56 29] ; [3 7],[52.78947368 32.21052632] ; [6.21052632 3.78947368],0
s7,1,0.029163,4.757985,[61 22] ; [4 6],[58.01075269 24.98924731] ; [6.98924731 3.01075269],0
a4,1,0.036407,4.377935,[39 49] ; [1 9],[35.91836735 52.08163265] ; [4.08163265 5.91836735],0
v1,1,0.040945,4.178281,[61 24] ; [4 6],[58.15789474 26.84210526] ; [6.84210526 3.15789474],0
d2,1,0.041552,4.153351,[47 40] ; [2 8],[43.94845361 43.05154639] ; [5.05154639 4.94845361],0
p7,1,0.068911,3.308766,[72 14] ; [6 4],[69.875 16.125] ; [8.125 1.875],0
s3,1,0.125693,2.344903,[57 31] ; [4 6],[54.7755102 33.2244898] ; [6.2244898 3.7755102],0
p8,1,0.130945,2.281267,[71 17] ; [6 4],[69.14285714 18.85714286] ; [7.85714286 2.14285714],0
a7,1,0.135574,2.227491,[59 29] ; [9 1],[61.06122449 26.93877551] ; [6.93877551 3.06122449],0
r2,1,0.153706,2.035083,[81  6] ; [8 2],[79.82474227  7.17525773] ; [9.17525773 0.82474227],0
d1,1,0.16837,1.897392,[55 33] ; [4 6],[52.97959184 35.02040816] ; [6.02040816 3.97959184],0
a3,1,0.193038,1.694277,[69 19] ; [6 4],[67.34693878 20.65306122] ; [7.65306122 2.34693878],0
p1,1,0.211485,1.561233,[25 63] ; [1 9],[23.34693878 64.65306122] ; [2.65306122 7.34693878],0
s2,1,0.219167,1.509818,[53 35] ; [4 6],[51.18367347 36.81632653] ; [5.81632653 4.18367347],0
s5,1,0.23568,1.40625,[55 25] ; [5 5],[53.33333333 26.66666667] ; [6.66666667 3.33333333],0
b2,1,0.248025,1.334394,[33 31] ; [2 5],[31.54929577 32.45070423] ; [3.45070423 3.54929577],0
b3,1,0.248025,1.334394,[33 31] ; [2 5],[31.54929577 32.45070423] ; [3.45070423 3.54929577],0
p2,1,0.28727,1.132372,[79  8] ; [8 2],[78.03092784  8.96907216] ; [8.96907216 1.03092784],0
p12,1,0.319851,0.989557,[22 65] ; [4 6],[23.31958763 63.68041237] ; [2.68041237 7.31958763],0
p4,1,0.370268,0.802766,[77  9] ; [8 2],[76.14583333  9.85416667] ; [8.85416667 1.14583333],0
r1,1,0.370356,0.802471,[72 16] ; [7 3],[70.93877551 17.06122449] ; [8.06122449 1.93877551],0
v3,1,0.390357,0.737829,[51 35] ; [4 5],[49.78947368 36.21052632] ; [5.21052632 3.78947368],0
r4,1,0.457588,0.551789,[84  4] ; [9 1],[83.51020408  4.48979592] ; [9.48979592 0.51020408],0
s8,1,0.459025,0.548271,[54 33] ; [5 5],[52.91752577 34.08247423] ; [6.08247423 3.91752577],0
p3,1,0.4984,0.458342,[69 18] ; [7 3],[68.16494845 18.83505155] ; [7.83505155 2.16494845],0
u1,1,0.517311,0.419251,[16 72] ; [1 9],[15.26530612 72.73469388] ; [1.73469388 8.26530612],0
a8,1,0.538859,0.377659,[14 65] ; [1 9],[13.31460674 65.68539326] ; [1.68539326 8.31460674],0
v2,1,0.575345,0.313821,[49 37] ; [6 3],[49.78947368 36.21052632] ; [5.21052632 3.78947368],0
d3,1,0.618586,0.24786,[59 28] ; [6 4],[58.29896907 28.70103093] ; [6.70103093 3.29896907],0
u3,1,0.651291,0.204276,[12  7] ; [3 1],[12.39130435  6.60869565] ; [2.60869565 1.39130435],0
a5,1,0.673152,0.177938,[65 23] ; [8 2],[65.55102041 22.44897959] ; [7.44897959 2.55102041],0
d4,1,0.675278,0.17549,[74 13] ; [8 2],[73.54639175 13.45360825] ; [8.45360825 1.54639175],0
s4,1,0.729475,0.119594,[12 74] ; [1 9],[11.64583333 74.35416667] ; [1.35416667 8.64583333],0
a1,1,0.748022,0.1032,[12 76] ; [1 9],[11.67346939 76.32653061] ; [1.32653061 8.67346939],0
b5,1,0.784599,0.074709,[40 48] ; [5 5],[40.40816327 47.59183673] ; [4.59183673 5.40816327],0
b4,1,0.901113,0.015439,[51 37] ; [6 4],[51.18367347 36.81632653] ; [5.81632653 4.18367347],0
a6,1,0.955011,0.003183,[53 34] ; [6 4],[52.91752577 34.08247423] ; [6.08247423 3.91752577],0
b1,1,0.988899,0.000194,[35 53] ; [4 6],[35.02040816 52.97959184] ; [3.97959184 6.02040816],0
