Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1e-06,24.366126,[ 8 26] ; [82 34],[20.4 13.6] ; [69.6 46.4],1
s2,1,3e-06,21.950028,[14 20] ; [95 21],[24.70666667  9.29333333] ; [84.29333333 31.70666667],1
s7,1,3e-06,21.809798,[10 20] ; [88 25],[20.55944056  9.44055944] ; [77.44055944 35.55944056],1
p9,1,0.0004,12.533511,[19 15] ; [98 18],[26.52  7.48] ; [90.48 25.52],1
p6,1,0.000505,12.097148,[ 4 30] ; [50 62],[12.57534247 21.42465753] ; [41.42465753 70.57534247],1
p4,1,0.000871,11.084528,[10 23] ; [73 43],[18.38255034 14.61744966] ; [64.61744966 51.38255034],1
d5,1,0.001292,10.353829,[17 17] ; [90 25],[24.41610738  9.58389262] ; [82.58389262 32.41610738],0
n4,1,0.001453,10.137591,[20 14] ; [97 18],[26.69798658  7.30201342] ; [90.30201342 24.69798658],0
n5,1,0.002081,9.47668,[18 15] ; [93 22],[24.75  8.25] ; [86.25 28.75],0
p3,1,0.002719,8.987362,[10 24] ; [68 48],[17.68 16.32] ; [60.32 55.68],0
n6,1,0.003049,8.777663,[19 15] ; [93 22],[25.55704698  8.44295302] ; [86.44295302 28.55704698],0
r3,1,0.003514,8.51927,[28  6] ; [112   4],[31.73333333  2.26666667] ; [108.26666667   7.73333333],0
s5,1,0.003824,8.365498,[ 7 26] ; [56 57],[14.23972603 18.76027397] ; [48.76027397 64.23972603],0
p8,1,0.005581,7.680825,[ 9 25] ; [61 53],[16.08108108 17.91891892] ; [53.91891892 60.08108108],0
p10,1,0.012043,6.304497,[20 14] ; [92 23],[25.55704698  8.44295302] ; [86.44295302 28.55704698],0
p11,1,0.013677,6.079368,[21 13] ; [95 21],[26.29333333  7.70666667] ; [89.70666667 26.29333333],0
r1,1,0.021781,5.263186,[20 14] ; [91 25],[25.16  8.84] ; [85.84 30.16],0
v1,1,0.027317,4.870677,[13 20] ; [69 44],[18.53424658 14.46575342] ; [63.46575342 49.53424658],0
v3,1,0.03144,4.628754,[ 8 25] ; [51 62],[13.33561644 19.66438356] ; [45.66438356 67.33561644],0
r4,1,0.034368,4.476316,[24 10] ; [100  16],[28.10666667  5.89333333] ; [95.89333333 20.10666667],0
v4,1,0.044412,4.040818,[26  6] ; [107   8],[28.95238095  3.04761905] ; [104.04761905  10.95238095],0
d4,1,0.051171,3.802653,[21 12] ; [92 23],[25.19594595  7.80405405] ; [87.80405405 27.19594595],0
p2,1,0.102846,2.660839,[23 11] ; [93 22],[26.46979866  7.53020134] ; [89.53020134 25.46979866],0
a5,1,0.129294,2.300963,[19 15] ; [81 35],[22.66666667 11.33333333] ; [77.33333333 38.66666667],0
n3,1,0.160902,1.965726,[7 1] ; [19 12],[5.33333333 2.66666667] ; [20.66666667 10.33333333],0
s4,1,0.169057,1.891284,[ 5 29] ; [30 85],[ 7.98657718 26.01342282] ; [27.01342282 87.98657718],0
p1,1,0.173738,1.850387,[ 1 33] ; [ 12 103],[ 2.96644295 31.03355705] ; [ 10.03355705 104.96644295],0
