Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,3.7e-05,17.015625,[53 91] ; [27  9],[64. 80.] ; [16. 20.],1
s7,1,0.000386,12.596715,[43 98] ; [23 14],[52.28089888 88.71910112] ; [13.71910112 23.28089888],1
p2,1,0.002098,9.462113,[123  19] ; [24 13],[116.61452514  25.38547486] ; [30.38547486  6.61452514],0
s5,1,0.002409,9.208386,[ 35 100] ; [18 16],[42.33727811 92.66272189] ; [10.66272189 23.33727811],0
p11,1,0.005228,7.798865,[114  30] ; [21 16],[107.40331492  36.59668508] ; [27.59668508  9.40331492],0
p6,1,0.005696,7.644058,[ 32 107] ; [17 20],[ 38.69886364 100.30113636] ; [10.30113636 26.69886364],0
p8,1,0.007839,7.069888,[71 72] ; [ 9 27],[63.91061453 79.08938547] ; [16.08938547 19.91061453],0
s6,1,0.008419,6.942067,[81 62] ; [29  7],[87.87709497 55.12290503] ; [22.12290503 13.87709497],0
u1,1,0.013323,6.125736,[ 11 133] ; [ 8 29],[ 15.1160221 128.8839779] ; [ 3.8839779 33.1160221],0
u3,1,0.098837,2.724213,[28 23] ; [9 2],[30.43548387 20.56451613] ; [6.56451613 4.43548387],0
p10,1,0.11367,2.502446,[115  27] ; [34  3],[118.20111732  23.79888268] ; [30.79888268  6.20111732],0
s3,1,0.121632,2.396173,[67 73] ; [23 14],[71.18644068 68.81355932] ; [18.81355932 18.18644068],0
d2,1,0.162484,1.950951,[52 92] ; [18 19],[55.69060773 88.30939227] ; [14.30939227 22.69060773],0
a5,1,0.176092,1.830301,[92 52] ; [28  9],[95.46961326 48.53038674] ; [24.53038674 12.46961326],0
p1,1,0.210779,1.566065,[ 10 131] ; [ 5 32],[ 11.88202247 129.11797753] ; [ 3.11797753 33.88202247],0
u2,1,0.234484,1.413453,[33 18] ; [5 6],[31.25806452 19.74193548] ; [6.74193548 4.25806452],0
b1,1,0.25098,1.317842,[45 99] ; [ 8 29],[ 42.16574586 101.83425414] ; [10.83425414 26.16574586],0
b5,1,0.269644,1.218556,[87 57] ; [26 11],[89.90055249 54.09944751] ; [23.09944751 13.90055249],0
p5,1,0.27455,1.19387,[ 11 131] ; [ 1 36],[  9.51955307 132.48044693] ; [ 2.48044693 34.51955307],0
v1,1,0.290005,1.119598,[58 80] ; [12 25],[55.2 82.8] ; [14.8 22.2],0
n4,1,0.30601,1.047817,[60 84] ; [12 25],[57.28176796 86.71823204] ; [14.71823204 22.28176796],0
n3,1,0.317403,0.99962,[30 11] ; [8 1],[31.16  9.84] ; [6.84 2.16],0
d3,1,0.347284,0.883355,[105  39] ; [29  7],[107.2  36.8] ; [26.8  9.2],0
r3,1,0.399561,0.709646,[135   9] ; [36  1],[136.0441989   7.9558011] ; [34.9558011  2.0441989],0
p12,1,0.399561,0.709646,[  9 135] ; [ 1 36],[  7.9558011 136.0441989] ; [ 2.0441989 34.9558011],0
n6,1,0.40311,0.699029,[94 49] ; [27 10],[96.12777778 46.87222222] ; [24.87222222 12.12777778],0
p4,1,0.405328,0.692463,[65 78] ; [14 23],[62.76111111 80.23888889] ; [16.23888889 20.76111111],0
a3,1,0.450808,0.568621,[91 52] ; [26 11],[92.95 50.05] ; [24.05 12.95],0
v2,1,0.450827,0.568573,[68 68] ; [20 15],[69.98830409 66.01169591] ; [18.01169591 16.98830409],0
d1,1,0.466897,0.52931,[76 68] ; [22 15],[77.96685083 66.03314917] ; [20.03314917 16.96685083],0
n1,1,0.469066,0.524176,[ 9 32] ; [3 6],[ 9.84 31.16] ; [2.16 6.84],0
s8,1,0.47205,0.517173,[53 91] ; [16 21],[54.89502762 89.10497238] ; [14.10497238 22.89502762],0
r4,1,0.489562,0.477489,[122  22] ; [33  4],[123.31491713  20.68508287] ; [31.68508287  5.31491713],0
b4,1,0.567691,0.326561,[86 58] ; [24 13],[87.51381215 56.48618785] ; [22.48618785 14.51381215],0
v4,1,0.576722,0.311564,[134   8] ; [34  3],[133.27374302   8.72625698] ; [34.72625698  2.27374302],0
d4,1,0.590187,0.290052,[122  22] ; [30  7],[120.9281768  23.0718232] ; [31.0718232  5.9281768],0
a6,1,0.676331,0.174285,[92 52] ; [25 12],[93.08287293 50.91712707] ; [23.91712707 13.08287293],0
a2,1,0.718832,0.129614,[ 20 124] ; [ 6 31],[ 20.68508287 123.31491713] ; [ 5.31491713 31.68508287],0
p3,1,0.728849,0.120171,[59 85] ; [14 23],[58.07734807 85.92265193] ; [14.92265193 22.07734807],0
r1,1,0.78131,0.077069,[105  38] ; [28  9],[105.66111111  37.33888889] ; [27.33888889  9.66111111],0
a4,1,0.845678,0.037883,[52 92] ; [14 23],[52.50828729 91.49171271] ; [13.49171271 23.50828729],0
d5,1,0.861237,0.030555,[110  34] ; [27  9],[109.6  34.4] ; [27.4  8.6],0
b3,1,0.888103,0.019798,[26 52] ; [ 7 13],[26.26530612 51.73469388] ; [ 6.73469388 13.26530612],0
b2,1,0.888103,0.019798,[26 52] ; [ 7 13],[26.26530612 51.73469388] ; [ 6.73469388 13.26530612],0
v3,1,0.893735,0.017843,[36 99] ; [10 26],[36.31578947 98.68421053] ; [ 9.68421053 26.31578947],0
p7,1,0.923461,0.00923,[81 60] ; [21 15],[81.25423729 59.74576271] ; [20.74576271 15.25423729],0
n2,1,0.962813,0.002174,[27 14] ; [6 3],[27.06 13.94] ; [5.94 3.06],0
a7,1,1.0,0.0,[112  32] ; [28  8],[112.  32.] ; [28.  8.],0
