Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1e-06,23.489937,[13 91] ; [17 15],[22.94117647 81.05882353] ; [ 7.05882353 24.94117647],1
p7,1,1.8e-05,18.353651,[24 79] ; [20 11],[33.82089552 69.17910448] ; [10.17910448 20.82089552],1
p3,1,0.000645,11.642234,[28 77] ; [19 13],[36.02189781 68.97810219] ; [10.97810219 21.02189781],1
p4,1,0.001323,10.309992,[28 76] ; [18 13],[35.43703704 68.56296296] ; [10.56296296 20.43703704],0
p5,1,0.012781,6.199172,[ 5 97] ; [ 6 26],[ 8.37313433 93.62686567] ; [ 2.62686567 29.37313433],0
v1,1,0.029666,4.728521,[35 66] ; [18 14],[40.2481203 60.7518797] ; [12.7518797 19.2481203],0
s5,1,0.03196,4.600629,[25 75] ; [14 17],[29.77099237 70.22900763] ; [ 9.22900763 21.77099237],0
p9,1,0.040269,4.206506,[58 42] ; [25  7],[62.87878788 37.12121212] ; [20.12121212 11.87878788],0
v2,1,0.057589,3.60548,[45 55] ; [20 11],[49.61832061 50.38167939] ; [15.38167939 15.61832061],0
d4,1,0.057805,3.599273,[83 22] ; [20 12],[78.94160584 26.05839416] ; [24.05839416  7.94160584],0
d2,1,0.060057,3.535808,[55 48] ; [11 21],[50.35555556 52.64444444] ; [15.64444444 16.35555556],0
d5,1,0.066518,3.366915,[77 28] ; [18 14],[72.81021898 32.18978102] ; [22.18978102  9.81021898],0
b5,1,0.087741,2.915337,[70 35] ; [16 16],[65.91240876 39.08759124] ; [20.08759124 11.91240876],0
p10,1,0.087856,2.913233,[60 43] ; [24  8],[64.08888889 38.91111111] ; [19.91111111 12.08888889],0
u1,1,0.166282,1.916144,[21 84] ; [ 3 29],[18.39416058 86.60583942] ; [ 5.60583942 26.39416058],0
b1,1,0.198119,1.656183,[53 52] ; [12 20],[49.81751825 55.18248175] ; [15.18248175 16.81751825],0
n1,1,0.247621,1.336678,[14 21] ; [5 3],[15.46511628 19.53488372] ; [3.53488372 4.46511628],0
v4,1,0.274731,1.192971,[91 14] ; [30  2],[92.73722628 12.26277372] ; [28.26277372  3.73722628],0
u2,1,0.275756,1.187888,[18 18] ; [ 5 10],[16.23529412 19.76470588] ; [6.76470588 8.23529412],0
p12,1,0.287747,1.130135,[ 7 98] ; [ 4 28],[ 8.43065693 96.56934307] ; [ 2.56934307 29.43065693],0
a3,1,0.315971,1.00555,[68 37] ; [17 14],[65.625 39.375] ; [19.375 11.625],0
a1,1,0.369004,0.807017,[ 8 97] ; [ 1 31],[ 6.89781022 98.10218978] ; [ 2.10218978 29.89781022],0
p1,1,0.392526,0.731102,[ 8 97] ; [ 4 28],[ 9.19708029 95.80291971] ; [ 2.80291971 29.19708029],0
s6,1,0.414457,0.665978,[62 42] ; [21 10],[63.94074074 40.05925926] ; [19.05925926 11.94074074],0
b3,1,0.418258,0.655205,[27 44] ; [ 5 13],[25.52808989 45.47191011] ; [ 6.47191011 11.52808989],0
b2,1,0.418258,0.655205,[27 44] ; [ 5 13],[25.52808989 45.47191011] ; [ 6.47191011 11.52808989],0
s2,1,0.428489,0.626915,[42 62] ; [15 16],[43.91111111 60.08888889] ; [13.08888889 17.91111111],0
s3,1,0.460362,0.545015,[46 58] ; [11 19],[44.23880597 59.76119403] ; [12.76119403 17.23880597],0
d3,1,0.476617,0.506594,[60 45] ; [16 16],[58.24817518 46.75182482] ; [17.75182482 14.24817518],0
p11,1,0.481331,0.495847,[65 40] ; [22 10],[66.67883212 38.32116788] ; [20.32116788 11.67883212],0
a5,1,0.481331,0.495847,[65 40] ; [22 10],[66.67883212 38.32116788] ; [20.32116788 11.67883212],0
a6,1,0.505046,0.444318,[62 43] ; [21 11],[63.61313869 41.38686131] ; [19.38686131 12.61313869],0
s4,1,0.516529,0.420818,[25 78] ; [ 6 26],[23.65185185 79.34814815] ; [ 7.34814815 24.65185185],0
d1,1,0.522106,0.409731,[56 49] ; [15 17],[54.41605839 50.58394161] ; [16.58394161 15.41605839],0
r3,1,0.528453,0.397365,[93 12] ; [27  5],[91.97080292 13.02919708] ; [28.02919708  3.97080292],0
b4,1,0.566597,0.32841,[65 40] ; [18 14],[63.61313869 41.38686131] ; [19.38686131 12.61313869],0
n3,1,0.578403,0.308824,[22 12] ; [6 2],[22.66666667 11.33333333] ; [5.33333333 2.66666667],0
a2,1,0.580582,0.305295,[21 84] ; [ 5 27],[19.9270073 85.0729927] ; [ 6.0729927 25.9270073],0
a4,1,0.585725,0.297071,[46 58] ; [12 19],[44.68148148 59.31851852] ; [13.31851852 17.68148148],0
s1,1,0.61626,0.25116,[ 7 97] ; [ 3 29],[ 7.64705882 96.35294118] ; [ 2.35294118 29.64705882],0
r1,1,0.677361,0.173112,[73 32] ; [21 11],[72.04379562 32.95620438] ; [21.95620438 10.04379562],0
a8,1,0.690573,0.158466,[ 8 92] ; [ 3 26],[ 8.52713178 91.47286822] ; [ 2.47286822 26.52713178],0
n4,1,0.692799,0.156072,[75 30] ; [24  8],[75.87591241 29.12408759] ; [23.12408759  8.87591241],0
a7,1,0.722322,0.126279,[66 39] ; [19 13],[65.1459854 39.8540146] ; [19.8540146 12.1459854],0
v3,1,0.730844,0.118338,[37 61] ; [11 21],[36.18461538 61.81538462] ; [11.81538462 20.18461538],0
n5,1,0.770189,0.085338,[76 29] ; [24  8],[76.64233577 28.35766423] ; [23.35766423  8.64233577],0
s8,1,0.770563,0.085053,[42 62] ; [12 20],[41.29411765 62.70588235] ; [12.70588235 19.29411765],0
s7,1,0.789158,0.071505,[41 58] ; [12 19],[40.36153846 58.63846154] ; [12.63846154 18.36153846],0
r4,1,0.83415,0.043841,[87 18] ; [26  6],[86.60583942 18.39416058] ; [26.39416058  5.60583942],0
u4,1,0.856542,0.032681,[  4 101] ; [ 1 31],[  3.83211679 101.16788321] ; [ 1.16788321 30.83211679],0
u3,1,0.962329,0.002231,[20 17] ; [8 7],[19.92307692 17.07692308] ; [8.07692308 6.92307692],0
r2,1,0.995879,2.7e-05,[93 10] ; [28  3],[93.00746269  9.99253731] ; [27.99253731  3.00746269],0
